index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
0,00-0035726,0.1385716642978189,-0.3895117626084317,-0.5280834269062507,0.1261990107690123
1,00-0031595,0.1385716642978189,-0.4300919528553346,-0.5686636171531536,0.0856188205221093
2,00-0031900,0.1426686690493663,-0.446597956420135,-0.5892666254695014,0.0650158122057615
3,00-0036984,0.1409335564759513,-0.5615161626592929,-0.7024497191352442,-0.0481672814599812
4,00-0036297,0.1341482673966049,-0.5633585725491382,-0.6975068399457431,-0.0432244022704801
5,00-0032780,0.1407512139890608,-0.4753912426763667,-0.6161424566654277,0.0381399810098352
6,00-0031085,0.1385716642978189,-0.5492345495848475,-0.6878062138826664,-0.0335237762074034
7,00-0032577,0.1385716642978189,-0.5474904387573865,-0.6860621030552054,-0.0317796653799424
8,00-0032897,0.1343100978452442,-0.4886907657565349,-0.6230008636017792,0.0312815740734837
9,00-0030112,0.1333703912918191,-0.4911626373976604,-0.6245330286894796,0.0297494089857833
10,00-0030968,0.1273015705055839,-0.5001444264231881,-0.6274459969287721,0.0268364407464908
11,00-0034845,0.1407626307878964,-0.54031486174837,-0.6810774925362664,-0.0267950548610034
12,00-0035628,0.1393057574100568,-0.4886004566259667,-0.6279062140360236,0.0263762236392393
13,00-0034164,0.1385716642978189,-0.5387783295471683,-0.6773499938449872,-0.0230675561697242
14,00-0031332,0.1385716642978189,-0.5376515482540195,-0.6762232125518384,-0.0219407748765754
15,00-0035184,0.1385716642978189,-0.5365928305043153,-0.6751644948021343,-0.0208820571268713
16,00-0031687,0.1588203475736617,-0.516025390002952,-0.6748457375766138,-0.0205632999013508
17,00-0034414,0.1380261209342548,-0.536301889265955,-0.6743280102002098,-0.0200455725249468
18,00-0034171,0.1333820155573495,-0.5394433707088268,-0.6728253862661763,-0.0185429485909133
19,00-0036360,0.1420867714181306,-0.4939937195939478,-0.6360804910120784,0.0182019466631845
20,00-0033856,0.1378311175884827,-0.5344918039374423,-0.672322921525925,-0.018040483850662
21,00-0031055,0.1385716642978189,-0.4984861873964863,-0.6370578516943053,0.0172245859809576
22,00-0034816,0.1384384367303696,-0.5330341968413722,-0.6714726335717418,-0.0171901958964788
23,00-0032104,0.1354096112965506,-0.5019369597516347,-0.6373465710481853,0.0169358666270776
24,00-0031301,0.1385716642978189,-0.4989081882963879,-0.6374798525942068,0.0168025850810561
25,00-0036370,0.1384280022610872,-0.5322184684367921,-0.6706464706978794,-0.0163640330226164
26,00-0033296,0.1385716642978189,-0.5002500438594811,-0.6388217081573,0.0154607295179629
27,00-0035311,0.1385716642978189,-0.5005957573774702,-0.6391674216752892,0.0151150159999737
28,00-0033025,0.1400103122677856,-0.5291343085077913,-0.6691446207755769,-0.0148621831003139
29,00-0029854,0.1420853956839647,-0.5265419709986188,-0.6686273666825835,-0.0143449290073205
30,00-0031590,0.1397377341846936,-0.5004054626339703,-0.640143196818664,0.0141392408565989
31,00-0032404,0.1385716642978189,-0.5017105166222338,-0.6402821809200527,0.0140002567552102
32,00-0035304,0.1385716642978189,-0.5289559543671949,-0.6675276186650139,-0.0132451809897509
33,00-0037557,0.1385716642978189,-0.5286997463644814,-0.6672714106623003,-0.0129889729870373
34,00-0033925,0.1450152940516241,-0.5221599710929009,-0.6671752651445251,-0.0128928274692621
35,00-0034808,0.1385716642978189,-0.5285693478143366,-0.6671410121121555,-0.0128585744368925
36,00-0030288,0.1513091724017209,-0.515710773377444,-0.6670199457791649,-0.0127375081039019
37,00-0028581,0.1385716642978189,-0.5030701973390145,-0.6416418616368333,0.0126405760384296
38,00-0032972,0.1400967048785508,-0.5268228316349799,-0.6669195365135308,-0.0126370988382678
39,00-0034208,0.1382818564294588,-0.5035833104346064,-0.6418651668640651,0.0124172708111978
40,00-0035924,0.1385716642978189,-0.5274845004878559,-0.6660561647856749,-0.0117737271104119
41,00-0033376,0.1385716642978189,-0.5040503498373246,-0.6426220141351435,0.0116604235401194
42,00-0034838,0.136548657356967,-0.5292093874287914,-0.6657580447857585,-0.0114756071104955
43,00-0032764,0.1271391068987614,-0.515710773377444,-0.6428498802762054,0.0114325573990575
44,00-0036425,0.1381426354388941,-0.5048285760416455,-0.6429712114805397,0.0113112261947232
45,00-0033854,0.1498735413826042,-0.515710773377444,-0.6655843147600482,-0.0113018770847852
46,00-0036139,0.1492248848145856,-0.515710773377444,-0.6649356581920296,-0.0106532205167666
47,00-0029931,0.1366514845830005,-0.5282533825680404,-0.6649048671510409,-0.0106224294757779
48,00-0033526,0.1490466376431839,-0.515710773377444,-0.6647574110206279,-0.0104749733453649
