index,state,n,pooled_slope,bootstrap_slope_mean,slope_ci_low,slope_ci_high,bootstrap_p_positive,quadratic_coef_mean,quadratic_ci_low,quadratic_ci_high,eligible_origin_slopes,origin_same_sign_share,origin_slope_median,origin_slope_min,origin_slope_max,loo_slope_min,loo_slope_max,loo_sign_flip,player_loo_slope_min,player_loo_slope_max,player_loo_sign_flip,abs_resid_slope_mean,abs_resid_slope_ci_low,abs_resid_slope_ci_high,residual_sd
0,depth,73,-0.9191327918474006,-0.893336529748318,-1.959915241417255,0.0100053863199772,0.0256,1.1759279216880376,-3.577816931065924,5.688385921604006,8,0.75,-0.649720049853004,-3.016610088658993,2.2205568475509767,-1.0049393709676837,-0.7359359319471496,False,-1.0119799392024582,-0.6739476022444194,False,-0.1051548660541985,-0.7933735440774298,0.6086393902817449,0.8440002846617575
1,usable,94,-0.3514186033979081,-0.3488978998546139,-0.998559812677035,0.1182357089460039,0.069,-0.3422306948584046,-2.323587175060165,2.2333687152692603,9,0.7777777777777778,-0.2359717204716208,-1.5135331803417489,0.7876827656476818,-0.4469188975260766,-0.1545799542189633,False,-0.4014834086695214,-0.2535438875392252,False,0.0431275640407559,-0.3569184997364484,0.385613211730329,0.4177502587560562
2,starter,107,0.1239873904037909,0.1277248536659147,-0.1817688589950215,0.4722138307593769,0.7696,-0.434927350843994,-1.830815351413144,0.9790422692462324,9,0.5555555555555556,0.191567405959076,-0.3849020632931848,0.6062781836498603,0.0662174613642054,0.1958732467411392,False,0.0938243380623612,0.1541284073425007,False,-0.0456481996969602,-0.256410494582061,0.1524226395708856,0.298087625944321
3,premium,127,0.0341977889124327,0.0311604589073022,-0.2346945229751308,0.2913299786193544,0.6028,0.1554104271975889,-0.7995758662195588,1.2135305775573504,9,0.4444444444444444,-0.0054223849628,-0.4905281329817874,1.2409974848433605,-0.0076218179516217,0.0759680155132674,True,0.0063614621507706,0.0585324491447059,False,-0.0089716530187778,-0.133318102618433,0.1247418717141475,0.2756814435952453
4,elite,118,0.044132129916624,0.0506402954755452,-0.2526527659892265,0.3867733265987727,0.611,0.1526018937903342,-0.914150671551238,1.0731358515548302,8,0.625,0.170389933354358,-0.57154103597419,0.7470994662810904,-0.0244170947087877,0.1323701291228248,True,0.0087602221406114,0.0860522702237637,False,0.0163043870805825,-0.1503239619820035,0.1750912556459738,0.2551658550110513
