index,state,n,residual_sd,abs_resid_slope_mean,abs_resid_slope_ci_low,abs_resid_slope_ci_high,magnitude_dependent_scale_supported
0,depth,73,0.8440002846617575,-0.1051548660541985,-0.7933735440774298,0.6086393902817449,False
1,usable,94,0.4177502587560562,0.0431275640407559,-0.3569184997364484,0.385613211730329,False
2,starter,107,0.298087625944321,-0.0456481996969602,-0.256410494582061,0.1524226395708856,False
3,premium,127,0.2756814435952453,-0.0089716530187778,-0.133318102618433,0.1247418717141475,False
4,elite,118,0.2551658550110513,0.0163043870805825,-0.1503239619820035,0.1750912556459738,False
