index,omit_origin,lower,upper,lower_minus_upper
0,2014,-0.5579694956162027,0.1387789906106822,-0.6967484862268849
1,2015,-0.488504063867329,0.1518446407127933,-0.6403487045801224
2,2016,-0.4403193238957904,0.1472025073775654,-0.5875218312733559
3,2017,-0.5305373554998958,0.1500754289255989,-0.6806127844254947
4,2018,-0.468189247439121,0.1191385283361978,-0.5873277757753189
5,2019,-0.5199191682831117,0.1209172538511903,-0.640836422134302
6,2020,-0.5148284828088479,0.1696959612467214,-0.6845244440555693
7,2021,-0.553595260238197,0.1387310947812162,-0.6923263550194133
8,2022,-0.5631517878228929,0.1085626261003657,-0.6717144139232587
