index,origin,lower,upper,lower_minus_upper
0,2014,-0.0899557617949367,0.0793207392560096,-0.1692765010509463
1,2015,-0.6878766730034429,0.0863984788944793,-0.7742751518979222
2,2016,-0.8788526660961363,0.0484958105513016,-0.927348476647438
3,2017,-0.2930225633577447,0.011703569461223,-0.3047261328189677
4,2018,-1.0727212292165371,0.2216626572049209,-1.2943838864214583
5,2019,-0.4883713946007911,0.2571792622592315,-0.7455506568600226
6,2020,-0.442755076811143,-0.0882605652950533,-0.3544945115160897
7,2021,-0.2663455288799487,0.1264776572335319,-0.3928231861134806
8,2022,-0.2311111178763432,0.3927833908640893,-0.6238945087404326
