index,group,states,n,unique_players,pooled_slope,bootstrap_slope_mean,slope_ci_low,slope_ci_high,bootstrap_p_positive,origin_same_sign_share,loo_slope_min,loo_slope_max
0,upper,"starter,premium,elite",352,173,0.1385716642978189,0.1373424928299649,-0.0228301988751217,0.3055845079424044,0.953,0.8888888888888888,0.1085626261003657,0.1696959612467214
1,lower,"depth,usable",167,121,-0.515710773377444,-0.4984200985211591,-1.0751101983227835,0.0160222438502803,0.0294,1.0,-0.5631517878228929,-0.4403193238957904
