index,state_a,state_b,slope_diff_mean,ci_low,ci_high,distinguishable
0,elite,premium,0.0131977198229375,-0.4524496533148308,0.4903666503668399,False
1,elite,starter,-0.0828375958757443,-0.5185613011808305,0.3276391674544564,False
2,premium,starter,-0.0960353156986818,-0.5368915317248202,0.3136607066165183,False
3,usable,depth,0.5585946438013969,-0.5910282745966884,1.8531644297090943,False
