index,state,omit_origin,slope
0,depth,2014,-0.9572764890116452
1,depth,2015,-0.9258197748797228
2,depth,2016,-0.832271360635612
3,depth,2017,-0.9292759936137572
4,depth,2018,-0.985256068631974
5,depth,2019,-0.7359359319471496
6,depth,2020,-0.9114212737177636
7,depth,2021,-0.9809087028055614
8,depth,2022,-1.0049393709676837
9,usable,2014,-0.3916017313699783
10,usable,2015,-0.3410191737856993
11,usable,2016,-0.4029872573180751
12,usable,2017,-0.3484767861517825
13,usable,2018,-0.1545799542189633
14,usable,2019,-0.4469188975260766
15,usable,2020,-0.3613019988450877
16,usable,2021,-0.3401531472514402
17,usable,2022,-0.3724581340913825
18,starter,2014,0.0881385514759528
19,starter,2015,0.1745177606035643
20,starter,2016,0.1323619489758177
21,starter,2017,0.1749607232400873
22,starter,2018,0.0662174613642054
23,starter,2019,0.081898706109278
24,starter,2020,0.1958732467411392
25,starter,2021,0.1395257917182214
26,starter,2022,0.0699575963489349
27,premium,2014,0.0759680155132674
28,premium,2015,-0.0004775571967495
29,premium,2016,-0.0076218179516217
30,premium,2017,0.0463467078665415
31,premium,2018,0.0213502006466769
32,premium,2019,0.0698202926329585
33,premium,2020,0.0384113056281467
34,premium,2021,0.0537247351132104
35,premium,2022,0.006141847556336
36,elite,2014,-0.0152869484376735
37,elite,2015,0.043014349682033
38,elite,2016,0.10595550265958
39,elite,2017,0.0158501717275588
40,elite,2018,0.0069614573577349
41,elite,2019,-0.0244170947087877
42,elite,2020,0.1085250064142723
43,elite,2021,0.0316176606332164
44,elite,2022,0.1323701291228248
