index,candidate,decile,n,active_n,source_percentile_mean,source_points_mean,crps_D1,crps_candidate,active_retention_realized,active_retention_D1,active_retention_candidate,bias_D1,bias_candidate
0,C1,0,111,31,0.0512932652449935,1.3495495495495493,8.558674412676822,8.625796810140384,43.48211527829525,35.578070068486944,25.796725275885656,-7.904045209808303,-17.685390002409584
1,C1,1,116,36,0.150653243850643,4.5137931034482754,5.53818495500652,5.353696679350232,4.65349983374217,9.43859547852435,6.881567499274981,4.785095644782181,2.2280676655328118
2,C1,2,93,35,0.2473201680965351,9.30537634408602,11.245057068378204,11.2820905850916,3.573216916614576,4.59986901545626,3.3676045973029787,1.0266520988416843,-0.2056123193115971
3,C1,3,94,41,0.3484126378795298,15.630212765957443,10.85149346327612,10.607700635787136,1.938286857812252,2.783572960962772,2.0485793102956213,0.8452861031505202,0.1102924524833699
4,C1,4,104,53,0.4487832732412531,26.66346153846154,13.718545486958025,13.69729493008052,1.2380451870024654,1.7175291016953778,1.2710290936054285,0.4794839146929125,0.032983906602963
5,C1,5,92,49,0.5466644813282359,42.51304347826087,18.699439719607746,18.259370880632183,0.9973185841054956,1.3543928329866848,1.008430595996587,0.3570742488811894,0.0111120118910913
6,C1,6,95,51,0.6523304670170643,64.39578947368422,26.950800773704653,26.983566888785816,1.1028203847385158,1.1068811228910618,0.8301665274044532,0.0040607381525459,-0.2726538573340627
7,C1,7,95,73,0.7510689903848624,93.8482105263158,37.91838721088022,38.464735541613145,0.8714871916605684,0.9186984154430256,0.691993306996377,0.0472112237824571,-0.1794938846641915
8,C1,8,93,65,0.8507034674316467,134.98731182795697,47.70840400073286,45.58808086668941,0.7349274073185179,0.8383746665276648,0.6350459954337999,0.1034472592091469,-0.099881411884718
9,C1,9,93,85,0.9509453777428944,215.5038709677419,52.71683682085121,60.25024535166492,0.6573898665139634,0.6250238410547566,0.4774049853419064,-0.0323660254592068,-0.179984881172057
10,C2,0,111,31,0.0512932652449935,1.3495495495495493,8.558674412676822,8.622562099962662,43.48211527829525,35.578070068486944,26.117195455988288,-7.904045209808303,-17.364919822306966
11,C2,1,116,36,0.150653243850643,4.5137931034482754,5.53818495500652,5.355525890973612,4.65349983374217,9.43859547852435,6.916222895324187,4.785095644782181,2.262723061582018
12,C2,2,93,35,0.2473201680965351,9.30537634408602,11.245057068378204,11.28177298196191,3.573216916614576,4.59986901545626,3.366855949260112,1.0266520988416843,-0.2063609673544641
13,C2,3,94,41,0.3484126378795298,15.630212765957443,10.85149346327612,10.606807528997596,1.938286857812252,2.783572960962772,2.040105153844725,0.8452861031505202,0.1018182960324739
14,C2,4,104,53,0.4487832732412531,26.66346153846154,13.718545486958025,13.702567899388365,1.2380451870024654,1.7175291016953778,1.262807416312117,0.4794839146929125,0.0247622293096515
15,C2,5,92,49,0.5466644813282359,42.51304347826087,18.699439719607746,18.249867052701468,0.9973185841054956,1.3543928329866848,1.0012603819500885,0.3570742488811894,0.0039417978445931
16,C2,6,95,51,0.6523304670170643,64.39578947368422,26.950800773704653,26.995923498481968,1.1028203847385158,1.1068811228910618,0.8257668655237116,0.0040607381525459,-0.2770535192148043
17,C2,7,95,73,0.7510689903848624,93.8482105263158,37.91838721088022,38.47209912205194,0.8714871916605684,0.9186984154430256,0.6914478202707466,0.0472112237824571,-0.1800393713898219
18,C2,8,93,65,0.8507034674316467,134.98731182795697,47.70840400073286,45.632560018248974,0.7349274073185179,0.8383746665276648,0.6392366712305744,0.1034472592091469,-0.0956907360879435
19,C2,9,93,85,0.9509453777428944,215.5038709677419,52.71683682085121,59.5799811775056,0.6573898665139634,0.6250238410547566,0.4859334976029336,-0.0323660254592068,-0.1714563689110299
