index,decile,n,source_pct_mean,log_ratio_cond_mean,log_ratio_cond_sd,abs_log_ratio_cond_mean,log_ratio_state_mean,log_ratio_state_sd,abs_log_ratio_state_mean
0,0,31,0.0531551692814394,-0.7288030734884738,1.5417892403030642,1.1630949311013816,0.59468989131168,4.137969108062781,1.3802117902234208
1,1,36,0.1594881548092922,-1.5735321384287646,1.3390641638570109,1.762843578712162,-0.476889045425989,0.7518244518253736,0.72944380255047
2,2,35,0.2459424337441899,-1.1987107422607477,1.5608820215310006,1.565300381274019,0.8648698452630726,5.102009705568108,1.7730073832105997
3,3,41,0.3518105107952771,-1.0895321307543735,1.4309171170579598,1.4178165880167102,-0.3450881144220219,0.8179129862099308,0.5613405185429803
4,4,53,0.4507293175279061,-1.0295494431613466,1.3920322625185375,1.2687371288645062,-0.3720813152499135,0.6313158429727335,0.467803822749023
5,5,49,0.5463295403161653,-1.0231284828984728,1.4172376680775534,1.3570736718271683,-0.3190904637819172,0.6103623154650888,0.478086609080079
6,6,51,0.6552732568135888,-0.3727056223337383,1.0390832837425878,0.7997794673280901,-0.1237613074292983,0.3383312594671476,0.2755476451251144
7,7,73,0.751451981109484,-0.6669319033028553,1.416286937163217,1.0734263841861085,-0.2382131296298745,0.61169280602487,0.3899625513723303
8,8,65,0.8517720401354876,-0.7141139797916276,1.3088076023538204,1.0551403633489207,-0.1856691947825163,0.4130878221517912,0.3245283300331839
9,9,85,0.9521995917438472,-0.2474654149498889,1.0267884598038952,0.6929184814095024,-0.0716497035555862,0.3564992197279796,0.2680789642610942
