index,origin,candidate,n,active_n,crps_D1,crps_candidate,crps_gain,mae_D1,mae_candidate,mae_gain,active_ret_bias_D1,active_ret_bias_candidate,mult_at_50,mult_at_75,mult_at_90,mult_at_95,mult_at_975,high_minus_mid
0,2014,C1,104,52,23.614660311494337,22.497460742995123,1.1171995684992138,37.08165041741748,33.322755463388255,3.758894954029225,0.248319386289767,-0.4770980678080804,0.7488387662750028,0.7648935308895648,0.7757903834949401,0.7796461227280334,0.781617022234412,0.0308073564530305
1,2014,C2,104,52,23.614660311494337,22.462240788165328,1.152419523329007,37.08165041741748,33.286023165408885,3.7956272520086034,0.248319386289767,-0.4574668392636714,0.7408553186270376,0.7640279320337858,0.791377867151963,0.8037853153026258,0.8107404058414935,0.0629299966755881
2,2015,C1,115,52,20.800757234505618,19.91764542670279,0.8831118078028285,33.28233234059587,30.788887775927705,2.49344456466817,0.5677563530376967,-0.6724587383041692,0.7490482926892281,0.7681272242862017,0.7813322395387746,0.7860468261255158,0.7884645140601504,0.0369985334362876
3,2015,C2,115,52,20.800757234505618,19.92233372251836,0.8784235119872578,33.28233234059587,30.74462831023761,2.5377040303582663,0.5677563530376967,-0.6373943372221281,0.7419265883276753,0.7668714705037654,0.7940966919854185,0.8061015537309466,0.8127621112013604,0.0641749654032712
4,2016,C1,110,53,20.51224442124824,19.914065188630847,0.5981792326173957,33.410177591688495,30.8517720642448,2.558405527443695,-2.595139510771124,-3.758333112124707,0.7447044683746666,0.7613731227216858,0.7728136882590703,0.7768834791393288,0.7789678823021651,0.0321790107646621
5,2016,C2,110,53,20.51224442124824,19.85378992995229,0.6584544912959523,33.410177591688495,30.72238410596274,2.6877934857257637,-2.595139510771124,-3.7392401657214753,0.7388530431054013,0.7605167254015246,0.7831971204700797,0.7930185860309298,0.7984328910401085,0.0541655429255284
6,2017,C1,108,57,24.52357206866009,25.192318077996887,-0.6687460093367847,37.05755040829048,34.60372748525789,2.4538229230325896,0.8633226810249492,0.0325157026410695,0.740879662761903,0.7530972755601171,0.7612606667994116,0.7641286848089909,0.7655909780179587,0.0232490220470878
7,2017,C2,108,57,24.52357206866009,25.139060394196125,-0.6154883255360248,37.05755040829048,34.553483974665035,2.5040664336254497,0.8633226810249492,0.0454119714384533,0.7358422335232888,0.7525372512659686,0.7700174355728265,0.7775459782271308,0.7816867301701388,0.0417037447038419
8,2018,C1,111,70,23.74904385422485,25.184212582738034,-1.4351687285131745,36.48257419651578,34.705102613446726,1.7774715830690466,-0.3720731693149939,-2.355131096448116,0.7421016173376177,0.7527643352014262,0.7597890232409898,0.7622403924937236,0.7634871545493439,0.0201387751561058
9,2018,C2,111,70,23.74904385422485,25.12067848582443,-1.3716346315995709,36.48257419651578,34.67021179417279,1.8123624023429896,-0.3720731693149939,-2.3088920411773617,0.7376309720200042,0.7521153538341248,0.7668452006787236,0.7730873614852724,0.7764985830175514,0.0354563894652681
10,2019,C1,112,66,24.078874465807072,27.196768379283203,-3.1178939134761285,37.4093419204707,38.15330246439118,-0.7439605439204853,1.4271808869781235,0.3854626979050863,0.7404025628405789,0.7481090326843387,0.7530729720822572,0.7547865407983287,0.7556545824715085,0.0143839779577498
11,2019,C2,112,66,24.078874465807072,27.01501589618931,-2.9361414303822406,37.4093419204707,38.01912996116285,-0.609788040692148,1.4271808869781235,0.4032274502940878,0.7360698941064919,0.7474790380633248,0.759642049248532,0.7648486687835548,0.7677017855465653,0.0287787746770629
12,2020,C1,113,64,23.433562921402288,23.0840642271414,0.3494986942608861,36.59656464906433,33.88396810145248,2.7125965476118465,0.7270716166548549,-0.1191915278449213,0.7382756777919858,0.7453478036962105,0.7498876368549157,0.7514522375365402,0.7522443383433036,0.0131765597445544
13,2020,C2,113,64,23.433562921402288,23.068460293086755,0.3651026283155285,36.59656464906433,33.857900874379624,2.738663774684706,0.7270716166548549,-0.1083840389106615,0.7340226104792915,0.7447115611943906,0.7562723473319765,0.7612405070821371,0.7639663940651074,0.0272178966028455
14,2021,C1,112,47,17.357485238153462,17.671393014370214,-0.3139077762167551,29.873945305608565,26.977704408093075,2.896240897515487,1.386267169693433,0.4767933849261124,0.7391421070789026,0.7458648263835227,0.7501632923133689,0.7516418420029165,0.7523898393542594,0.0124997349240139
15,2021,C2,112,47,17.357485238153462,17.625005919947856,-0.2675206817943986,29.873945305608565,26.960567401002294,2.913377904606272,1.386267169693433,0.4858278436638519,0.7350643053097448,0.745197498953019,0.7560461909875107,0.7606811619412417,0.7632181299310495,0.0256168566314969
16,2022,C1,101,58,26.03522038008206,27.911097157362928,-1.8758767772808624,38.64063463215359,38.62048113072523,0.0201535014283558,-1.4754402859567932,-2.335604222302625,0.7389246631605977,0.7452237924699269,0.7492369653025409,0.7506149661195314,0.7513116426042468,0.0116903029589336
17,2022,C2,101,58,26.03522038008206,27.841414838202283,-1.8061944581202176,38.64063463215359,38.56235234619061,0.0782822859629804,-1.4754402859567932,-2.3246066543415957,0.733962395953564,0.7445977609115185,0.7570593358082246,0.7625545364166161,0.7655969577685459,0.028592140463052
