index,position,career_stage,n,origins,pooled_crps_gain_D1_minus_C2,cluster_ci_low,cluster_ci_high,origins_improved,median_origin_gain,pooled_mae_gain,median_mult_50,median_mult_95
0,QB,developmental,265,9,-3.122801772544362,-8.931222909328627,2.418601697851262,2,-1.8613491036283965,1.6268494934477291,0.7191337408214931,0.7815200763109437
1,QB,established,199,9,-3.5617379713953063,-9.30175482809318,1.40622086784332,1,-2.708418320847627,-1.1171939330859342,0.7163242303771996,0.7735845954619628
2,TE,developmental,636,9,-0.1753677604291729,-0.8350831373799672,0.3855235544118884,4,-0.0628876802321325,0.7078560009998242,0.7550286752655491,0.8046658873953132
3,TE,established,380,9,-0.2002339988280368,-1.200898614636284,0.5404022360263204,4,-0.4855855239823867,0.6697649204240226,0.7364580377351408,0.7664782239466059
4,WR,developmental,1226,9,-0.5889474168404399,-1.483757260676244,0.1207605605672517,1,-0.5236814451426511,0.643208778316256,0.7514804991244177,0.7823933704254845
5,WR,established,597,9,-0.1481642928007379,-1.3295272305618224,0.5993876397089359,3,-0.1937544450334495,0.9247561613987704,0.7667618865679918,0.8116232525411231
