index,position,horizon,career_stage,route,n,median_conditional_points,median_anchor_conditional_points,median_individual_shift_points,median_abs_individual_shift_points,median_abs_individual_shift_pct_of_conditional,median_production_only_source_elasticity,median_state_mix_source_elasticity,median_combined_conditional_source_elasticity,median_active_probability_source_elasticity,median_pct_plus_05_conditional_points_change
0,QB,2,developmental,D1,265,101.83705090039764,107.35815389059142,-4.716907693401879,13.362158570695982,0.1107327482520193,0.0063017321246558,0.020738007028281,0.024388304803642,0.0749811891896404,4.811645222689393
1,QB,2,established,D1,199,85.03533217478211,94.25551041146966,-6.911018098373134,13.853381768284471,0.1380366045931576,0.0063162208651661,-0.000872412090601,0.00622921591015,0.0759168556111398,4.85805266714398
2,QB,2,veteran,D1,173,122.16924888734287,126.70603847946732,-4.255717129983097,14.919996545783391,0.104533240119988,0.0056898497543534,-0.0396031041507832,-0.0357421844748259,0.0758040443324474,4.747297710666544
3,QB,3,developmental,D1,265,113.34454211157718,114.7285015213976,2.847245112919268,12.672500363599951,0.1052511260100526,0.0532190137392187,0.0137166091296464,0.0651930189393783,0.1118285987124003,2.8556367671276632
4,QB,3,established,D1,199,87.48228900100366,89.01650076636219,-0.5099741612099322,11.778608863921804,0.1138364963884331,0.0594788825390021,-0.0018384646787168,0.0583978240377094,0.1377911099125329,2.735905015100947
5,QB,3,veteran,D1,173,118.57254270475129,111.42522323315876,3.559217816542088,13.461427147828768,0.1221855068983703,0.053750710002424,-0.0365490273665444,0.0203418389200647,0.1640843226193718,2.567718409956996
6,RB,2,developmental,D1,400,45.48946632237039,45.51196033463256,-0.4468051058082949,6.353500389539306,0.0988620122598478,0.1915001488551777,0.03039384463209,0.2249431375762552,0.096409442031147,0.0898859128700273
7,RB,2,established,D1,400,40.95430668783047,44.37432599981239,-1.82490794780783,6.629366490332689,0.1035305135192321,0.2092163543951232,0.0148516151928056,0.2283914955408423,0.1287197074919202,0.0770538170301282
8,RB,2,veteran,D1,61,36.7353030326099,43.30054691907103,-3.709653896181507,5.757099215322484,0.0887178454796236,0.2154540253430877,0.0082484196338258,0.2474359139449341,0.1911745900640294,0.1095329291733691
9,RB,3,developmental,D1,400,47.34132635764852,50.08543439512407,-0.1448376391346784,7.510461605754903,0.1120341685186518,0.1267601984813905,0.0270184083737973,0.1529638639709893,0.1647731622177812,0.4083290552512189
10,RB,3,established,D1,400,36.89400363625095,40.47948869973585,-2.609891751367688,6.840207876114175,0.1203436262796428,0.1493796626767073,0.015953350457333,0.1681489434413393,0.2461789212639726,0.3491430388913095
11,RB,3,veteran,D0,61,20.63649901251746,62.932512802593614,-34.52921260154886,34.52921260154886,1.7602020342415776,0.4264930071558458,0.0,0.4264930071558458,0.3123410681513913,3.714597485020775
12,WR,2,developmental,D1,400,39.95595648062107,44.51402230920755,-2.187934027307626,7.230092653641691,0.1308638404578814,0.1198641288465091,0.0314089781877482,0.1580118661965674,0.1105363925019491,0.8941903139151748
13,WR,2,established,D1,400,46.42593673955257,49.05581283231599,-1.1225736629574463,7.283178818964268,0.122850757015781,0.1172871594260197,-0.0058621035838293,0.1140550180771042,0.1156165641649069,1.0543367974426054
14,WR,2,veteran,D1,120,47.02227846993942,50.56665007448089,-3.3247630008422835,5.815318926800648,0.093693421089007,0.1148547864254469,-0.0179036703640106,0.1098291965797509,0.1790166890941626,1.1638400459968103
15,WR,3,developmental,D1,400,45.21499859112637,50.078598030460256,-1.779572916967698,8.290403030271587,0.1340948693776896,0.126079188620016,0.0260069277249295,0.1507231860021671,0.1694022955319285,0.6128797864254381
16,WR,3,established,D1,400,44.49181056825407,46.27175583023822,-1.21822605579041,7.433147274121454,0.1211114815611513,0.1408665818335231,-0.0018988372662079,0.140181391628653,0.2150972665690934,0.5913532396859296
17,WR,3,veteran,D0,120,29.91080396053832,61.70502816824949,-20.53619349210304,22.002246752145474,0.712690557335605,0.6507387802700748,0.0,0.6507387802700748,0.3025285250881898,1.461767012848668
18,TE,2,developmental,D1,400,26.89934753776948,36.34115766527331,-6.967085000603706,7.669151582113251,0.2781167678633771,0.3049719053213228,0.0422114371645605,0.3443598385327997,0.099422207206418,-0.5567099287246702
19,TE,2,established,D1,380,25.10706486272658,32.19090124459774,-5.833417390908208,7.188562649546037,0.2571536941607342,0.3508000072289489,0.03563803701974,0.3897607843209325,0.128787253634819,-0.5300528318922271
20,TE,2,veteran,D1,71,36.74238567358847,39.7360044198359,-2.6950467789939765,6.693798575548971,0.1376766225784761,0.2724281165511267,0.0041969871059835,0.2894685623941483,0.1510964976069587,-0.0431574033694275
21,TE,3,developmental,D1,400,32.26445697147884,42.17873942209386,-7.98464565889865,8.339940865497827,0.2826174798841744,0.3103711753300077,0.0336731487964108,0.344292191115905,0.1507039817544479,-0.8843100120160337
22,TE,3,established,D1,380,25.76650335649632,34.89750704576572,-6.723474594768367,7.565541716330864,0.2961484862055696,0.3873468255653568,0.0327780829544444,0.4177260954986764,0.2204254895705652,-0.777387781111381
23,TE,3,veteran,D0,71,27.3336095792738,56.16404507640118,-17.85879198455389,19.483322275168305,0.686299788816387,0.831947745407212,0.0,0.831947745407212,0.2926732323306216,0.2956080034199644
