index,position,horizon,future_state,d_mean_points_per_1sd_log_source,d_mean_points_per_unit_log1p_source,d_mean_points_per_1sd_source_percentile,d_mean_points_per_unit_source_percentile
0,QB,2,depth,-0.3257869272627443,-0.253271428921546,8.61679881529859,31.325235253135396
1,QB,2,usable,0.4435814016989083,0.3448465424786623,7.803067910605361,28.367023907060368
2,QB,2,starter,0.0321995123659335,0.0250323626427154,8.6751289905477,31.53728690958011
3,QB,2,premium,2.5363533507909044,1.9717974653006412,8.3888768794808,30.496655125888346
4,QB,2,elite,1.164671972718764,0.905432692569214,18.397399711950158,66.88131942916132
5,RB,2,depth,11.47431308106144,8.920295526744269,-6.790096296159874,-24.684499247100128
6,RB,2,usable,12.243681410023092,9.518413498144476,-7.603827200853102,-27.642710593175146
7,RB,2,starter,11.832299520690118,9.19859931830853,-6.731766120910764,-24.472447590655403
8,RB,2,premium,14.336453359115088,11.145364420966455,-7.018018231977662,-25.513079374347164
9,RB,2,elite,12.964771981042947,10.07899964823503,2.99050460049169,10.871584928925804
10,WR,2,depth,6.244027510806575,4.854196524012189,-0.1574144528057126,-0.5722594750184679
11,WR,2,usable,7.0133958397682274,5.452314495412398,-0.971145357498941,-3.5304708210934868
12,WR,2,starter,6.6020139504352535,5.132500315576452,-0.0990842775566025,-0.3602078185737452
13,WR,2,premium,9.106167788860224,7.079265418234377,-0.3853363886235006,-1.400839602265506
14,WR,2,elite,7.734486410788083,6.01290064550295,9.623186443845851,34.983824701007464
15,TE,2,depth,12.109157046585905,9.413832328977367,-6.600124676954634,-23.99388248899992
16,TE,2,usable,12.878525375547555,10.011950300377576,-7.413855581647862,-26.95209383507494
17,TE,2,starter,12.467143486214582,9.692136120541628,-6.541794501705524,-23.7818308325552
18,TE,2,premium,14.971297324639552,11.638901223199554,-6.828046612772422,-24.82246261624696
19,TE,2,elite,13.599615946567411,10.572536450468126,3.1804762196969305,11.562201687026008
20,QB,3,depth,6.046575696477055,4.735629160706142,-2.237968087351742,-8.173146069275546
21,QB,3,usable,6.184024146796897,4.843277674857342,-2.099342741329915,-7.666880940499301
22,QB,3,starter,2.850003460088808,2.2320996496535264,1.0478662724035877,3.826848181537872
23,QB,3,premium,11.59633136518522,9.082152895593174,-4.059050898042762,-14.823810973812792
24,QB,3,elite,12.212133526321846,9.564444165543462,1.151902601622469,4.2067928822790455
25,RB,3,depth,7.847322670754023,6.1459596205411,-2.283290044808948,-8.338663611968288
26,RB,3,usable,7.984771121073865,6.2536081346923,-2.1446646987871207,-7.832398483192042
27,RB,3,starter,4.650750434365776,3.642430109488484,1.0025443149463815,3.661330638845129
28,RB,3,premium,13.397078339462189,10.49248335542813,-4.104372855499967,-14.989328516505532
29,RB,3,elite,14.012880500598817,10.97477462537842,1.106580644165263,4.041275339586304
30,WR,3,depth,7.359819993513829,5.764151468266405,-0.5951526203670867,-2.1735204032906204
31,WR,3,usable,7.497268443833671,5.871799982417605,-0.4565272743452597,-1.6672552745143747
32,WR,3,starter,4.163247757125582,3.2606219572137896,2.6906817393882427,9.826473847522797
33,WR,3,premium,12.909575662221991,10.110675203153436,-2.416235431058107,-8.824185307827866
34,WR,3,elite,13.52537782335862,10.592966473103726,2.794718068607124,10.206418548263972
35,TE,3,depth,14.121295216504848,11.05968415365794,-8.423343255580797,-30.7623755712154
36,TE,3,usable,14.25874366682469,11.16733266780914,-8.284717909558971,-30.256110442439155
37,TE,3,starter,10.9247229801166,8.556154642605325,-5.137508895825468,-18.762381320401985
38,TE,3,premium,19.671050885213013,15.406207888544971,-10.244426066271815,-37.413040475752645
39,TE,3,elite,20.28685304634964,15.888499158495264,-5.033472566606587,-18.38243661966081
