index,position,horizon,career_stage,route,representative_source_state,evidence_quantile,source_points,source_percentile,state_percentile,p_active,conditional_active_points,expected_points,p_out,p_depth,p_usable,p_starter,p_premium,p_elite,mean_depth,mean_usable,mean_starter,mean_premium,mean_elite
0,QB,2,developmental,D1,premium,0.1,69.992,0.4680823401950162,0.1035714285714285,0.7309630407845017,79.67664756032637,58.240684580211216,0.2690369592154983,0.0856356718267746,0.2097331867839004,0.1573261292582143,0.1270148231162125,0.1512532297993997,3.302176152674434,14.021562283521376,37.39460257769716,99.53906627845063,241.25784711283444
1,QB,2,developmental,D1,premium,0.25,86.41,0.4981060606060606,0.3428571428571428,0.7422345730506055,101.92819489414757,75.65463021907652,0.2577654269493945,0.0636265340955843,0.152425671153814,0.1478827885045348,0.1729401059980606,0.2053594732986115,4.189985036991082,14.944988614309068,38.34667705764721,100.8649069955665,243.4542416271903
2,QB,2,developmental,D1,premium,0.5,103.5,0.5337669683257918,0.5,0.7512829992510801,114.09100888634386,85.71463534371405,0.2487170007489199,0.0629952173649601,0.1378012117457137,0.1300940611305422,0.176599350633277,0.2437931583765869,5.261842812747112,16.018164227790542,39.475795549566655,102.30456382267371,246.0009799844576
3,QB,2,developmental,D1,premium,0.75,130.855,0.5836267605633803,0.735576923076923,0.7621186928199699,132.51919989931434,100.99535940081373,0.2378813071800301,0.0624664317366802,0.1171116286472365,0.1031012829330655,0.174533224191958,0.3049061253110295,6.764822934832594,17.512720402984613,41.05405854150399,104.28359470244294,249.54619604872755
4,QB,2,developmental,D1,premium,0.9,145.57200000000003,0.6006073943661971,0.8825000000000001,0.7666675444897213,135.754239081034,104.0783691303269,0.2333324555102787,0.060132915907602,0.1049027859079239,0.087272721206108,0.2117750815115649,0.3025840399565224,7.269945635329648,18.03090001984401,41.59223043460227,105.01009089667824,250.7776906440241
5,QB,2,established,D1,premium,0.1,69.088,0.4486205336951605,0.0675213675213675,0.8393195044943744,77.4730464709596,65.02463897567546,0.1606804955056255,0.0638451066075964,0.2075513474269184,0.1772130999337524,0.2149453374441391,0.1757646130819679,0.0,3.504371070442573,26.8198109298801,88.95957824361206,229.98391388536896
6,QB,2,established,D1,premium,0.25,71.64,0.4850746268656716,0.15,0.8406863745472875,88.43660392055025,74.34744792724182,0.1593136254527125,0.0496857416983933,0.1650122586519077,0.1743321327373021,0.2548552249972837,0.1968010164624005,0.0,4.55079834257505,27.97036938612235,90.14182578944894,232.45439375581424
7,QB,2,established,D1,premium,0.5,90.46,0.54375,0.3461538461538461,0.8490608991122381,106.16088399199772,90.1370556127956,0.1509391008877618,0.0420866391091427,0.1281835375330573,0.147371834301778,0.282883960926138,0.2485349272421219,0.0,6.294691865028405,29.82659856868404,92.38550290747688,236.58727913080264
8,QB,2,established,D1,premium,0.75,119.14,0.5684931506849316,0.75,0.8579789371568605,135.42860394337137,116.19488967197118,0.1420210628431395,0.0385916380817344,0.0933625329005472,0.092513480379232,0.2650681177854154,0.3684431680099314,0.0,7.090640379443727,30.61375813826684,93.67790585215724,238.48909590507355
9,QB,2,established,D1,premium,0.9,136.084,0.6251584507042254,0.8425,0.8618863319738307,139.51393120376844,120.24515042446536,0.1381136680261693,0.0386412593900829,0.0873629618786911,0.0822815555169163,0.2836234631388212,0.369977092049319,0.0,8.743564023981492,32.40413063627513,95.66615932508016,242.3984052372193
