current_player_id,player_name,position,career_stage,route_cell,before_route,after_route,before_standard_y3_expected,after_standard_y3_expected,before_standard_y3_conditional,after_standard_y3_conditional,before_connected_y3_expected,after_connected_y3_expected,before_connected_y3_conditional,after_connected_y3_conditional,y3_active_probability,probability_max_abs_diff
sleeper:11256,Tyson Bagent,QB,developmental,QB|developmental,D0,D1,28.02827943635378,19.79275529811126,73.18899366663165,51.68393748350277,28.622538201153617,20.212403544524317,74.74075502508532,52.779746197651,0.3829575737032226,0
sleeper:11292,Tommy DeVito,QB,developmental,QB|developmental,D0,D1,15.583129216518197,16.408642081965226,41.48093560080618,43.67837910098247,19.132619760280676,20.146166111746197,50.92937093210092,53.62734322953959,0.37566966585525474,0
sleeper:11559,Michael Penix,QB,developmental,QB|developmental,D0,D1,70.8194027941954,91.62127945167704,94.25041185326998,121.93470972833288,74.26909805169466,96.0842582504247,98.84145874097723,127.87429087810297,0.7513962156945031,0
sleeper:11560,Caleb Williams,QB,developmental,QB|developmental,D0,D1,224.4671701349073,230.65915329903618,239.45750138570284,246.06299659559707,231.7962552011166,238.19041301426503,247.27603625805398,254.0972077125797,0.9373987819798968,0
sleeper:11562,Spencer Rattler,QB,developmental,QB|developmental,D0,D1,29.49240211368144,18.05786264426162,78.23524013708406,47.90254842215486,30.330495555041452,18.571017733792793,80.45847178126738,49.2638078917053,0.37697081343400685,0
sleeper:11563,Bo Nix,QB,developmental,QB|developmental,D0,D1,198.49722873884738,221.6331336912763,212.47681429685073,237.24211410178833,206.72700576865077,230.82213488935116,221.2861907137206,247.07827007001916,0.9342065363495495,0
sleeper:11564,Drake Maye,QB,developmental,QB|developmental,D0,D1,243.26384093021542,245.0991468100192,256.8907630700039,258.8288773665093,251.93358684428097,253.83430168742117,266.0461625530132,268.0533498298631,0.9469544098163035,0
sleeper:11565,J.J. McCarthy,QB,developmental,QB|developmental,D0,D1,62.81474946804359,50.9873202189364,124.82141379710338,101.31871016521458,67.75956590789089,55.00107401685006,134.6474337082853,109.29458251895146,0.5032369651744906,0
sleeper:11566,Jayden Daniels,QB,developmental,QB|developmental,D0,D1,214.6414291712074,213.56967769450978,239.50425595719088,238.30835896289375,222.28421718304241,221.1743035986408,248.03234050862673,246.79386092788906,0.8961904593861268,0
sleeper:12470,Riley Leonard,QB,developmental,QB|developmental,D0,D1,57.18357216634413,40.95542528470453,113.62233586213766,81.37741156741185,61.325588696962825,43.92197742758739,121.85241970543898,87.27187690355194,0.503277561867124,0
sleeper:12500,Quinn Ewers,QB,developmental,QB|developmental,D0,D1,41.39211325251655,36.595976601999965,92.81750037736813,82.0626637578059,42.746855123462446,37.7937434690461,95.85536784141001,84.74853113442008,0.4459516048614607,0
sleeper:12508,Jaxson Dart,QB,developmental,QB|developmental,D0,D1,202.50418577247274,216.66183875972104,212.2306314106014,227.06828832773726,210.70715509120149,225.43830137507769,220.82759621562343,236.26629179271984,0.9541703967354694,0
sleeper:12511,Will Howard,QB,developmental,QB|developmental,D0,D1,56.39258209356701,71.63397005484963,97.29364966168552,123.58948868183252,63.04712749521493,80.08705888911074,108.77468111882766,138.1735320624871,0.5796121564938533,0
sleeper:12522,Cam Ward,QB,developmental,QB|developmental,D0,D1,139.67493979024314,174.49818563689223,148.05702992252722,184.97006786662521,146.06061924668123,182.47591937266907,154.8259230094141,193.42655665556381,0.9433860713221782,0
sleeper:12524,Shedeur Sanders,QB,developmental,QB|developmental,D0,D1,74.0538172553887,92.06485247352018,107.62413912552859,133.79999652158907,79.46138346873059,98.78762253620572,115.48308117666053,143.57035498994685,0.6880781380189738,0
sleeper:12545,Tyler Shough,QB,developmental,QB|developmental,D0,D1,138.5878679808354,187.59692757779965,149.7015630495185,202.64077722566208,144.78152892963902,195.9808632092709,156.39190859378277,211.6970408569877,0.925760995127306,0
sleeper:13269,Fernando Mendoza,QB,developmental,QB|developmental,D0,D1,108.76064993223255,142.52051540181498,114.85165950582427,150.50220569409055,114.74601402818676,150.3637673164958,121.17222672931224,158.7847095121958,0.9469662902582366,0
sleeper:13272,Carson Beck,QB,developmental,QB|developmental,D0,D1,64.70547224965304,79.58216963324236,104.15114572183919,128.09695777124003,69.95198487298988,86.03492923852565,112.59603116609239,138.48344105606702,0.621265102761948,0
sleeper:13275,Ty Simpson,QB,developmental,QB|developmental,D0,D1,46.14404307228155,61.37784041536266,77.48773915415882,103.06921048294807,47.10421204934114,62.654995478551015,79.10011029211404,105.21388294350234,0.595501218334423,0
sleeper:13303,Cade Klubnik,QB,developmental,QB|developmental,D0,D1,71.57230431480356,73.22105033493598,112.33347346863798,114.92119743647955,77.85204913901286,79.6454559240247,122.1895980597562,125.00436859748407,0.6371413800783575,0
sleeper:13425,Jalon Daniels,QB,developmental,QB|developmental,D0,D1,28.507528279768923,37.55890174275655,51.50363553070357,67.8564611883679,29.75473264200881,39.20210369400214,53.75691958517185,70.825181365359,0.5535051649465471,0
sleeper:4866,Saquon Barkley,RB,established,RB|established,D0,D1,70.34630492624011,70.03052815137659,113.42801717035078,112.91885135874527,77.5242455656441,77.176247809911,125.00189549910965,124.44077582901576,0.6201845600509016,0
sleeper:5850,Josh Jacobs,RB,established,RB|established,D0,D1,25.991089098615934,31.492275654478554,62.629521750757654,75.88547581055582,28.1434373023207,34.10018264438232,67.81593537612244,82.16962831099217,0.4149974065274019,0
sleeper:5892,David Montgomery,RB,established,RB|established,D0,D1,66.8561127125594,64.98769485360621,100.14753108253231,97.34872289562554,73.33744644321322,71.28789571247232,109.85628537456854,106.78614807247048,0.667576244665111,0
sleeper:5967,Tony Pollard,RB,established,RB|established,D0,D1,59.98753044041546,61.15791298236896,94.23580153066264,96.07438258457073,65.4207936667621,66.69718151313916,102.77104062623464,104.77614786909426,0.6365683685610356,0
sleeper:5995,Justice Hill,RB,established,RB|established,D0,D1,16.467535218314467,16.833541424114593,43.57193760926317,44.54036423488168,20.262727637232985,20.713085505811698,53.61374927688638,54.8053644573858,0.37793901584063483,0
sleeper:6039,Ty Johnson,RB,established,RB|established,D0,D1,11.25635064246892,13.668364959287414,28.278422022233414,34.33793108881505,13.933323908428914,16.918960889317123,35.003566090813116,42.50414112018386,0.3980544117213758,0
sleeper:6790,D'Andre Swift,RB,established,RB|established,D0,D1,87.68477504431704,88.20689920113914,114.9560869383004,115.64059972782279,97.22848429820597,97.8074370338164,127.46803636337934,128.22705229259122,0.7627675695970714,0
sleeper:6806,J.K. Dobbins,RB,established,RB|established,D0,D1,66.73274155189729,69.07979007120966,97.04899515305559,100.46229266006107,71.09335424112544,73.59376929862488,103.39060603101034,107.02694350423066,0.6876190881384536,0
sleeper:6813,Jonathan Taylor,RB,established,RB|established,D0,D1,105.6141210623662,117.34423936449994,133.3862029699395,148.2008501494192,115.32420081792644,128.132777029951,145.64962623286317,161.82632049673123,0.7917919448248172,0
sleeper:7021,Rico Dowdle,RB,established,RB|established,D0,D1,70.63999485337783,68.58096315370423,97.8009350289563,94.9502096587136,79.69833359127733,77.37526723748987,110.34218733530786,107.12590650167674,0.7222834304443323,0
sleeper:7528,Najee Harris,RB,established,RB|established,D0,D1,7.8694256004378556,13.256619604340038,28.363706523705687,47.78072594434125,8.642189490109788,14.5583965636115,31.148973110069043,52.472710023845515,0.27744701116057535,0
sleeper:7543,Travis Etienne,RB,established,RB|established,D0,D1,82.88353256466108,89.17336954210484,106.66836896934952,114.76318142131167,92.5784430760637,99.60400408385155,119.14539859822473,128.18706357806553,0.7770207172519638,0
sleeper:7588,Javonte Williams,RB,established,RB|established,D0,D1,111.32364951216864,105.74253183844027,133.62493685686468,126.92576287172538,120.22928783074178,114.20169345926386,144.31462735124012,137.07953471084397,0.8331053479292974,0
sleeper:7594,Chuba Hubbard,RB,established,RB|established,D0,D1,66.6012310332938,74.93799292929589,88.23332054366003,99.27786391401317,74.89942856792447,84.27491145960343,99.22677384246863,111.64741493872071,0.7548308351416727,0
sleeper:7611,Rhamondre Stevenson,RB,established,RB|established,D0,D1,58.56295803044141,63.14832374884691,82.58377424975558,89.04992316157335,66.32143235577202,71.5142715248869,93.52454831162204,100.84733855446727,0.7091339498886458,0
sleeper:8132,Tyler Allgeier,RB,established,RB|established,D0,D1,34.69380095646688,39.77054590924201,57.1968228748644,65.56643571172528,38.99100485016504,44.696559779850794,64.2812703320179,73.68755058149333,0.6065686730951859,0
sleeper:8136,Rachaad White,RB,established,RB|established,D0,D1,62.72341688742786,75.11570960613868,81.73892104388068,97.88811517827088,72.70611279569454,87.07069108104058,94.7480145075761,113.46742088816004,0.7673629170338014,0
sleeper:8138,James Cook,RB,established,RB|established,D0,D1,105.0841983474467,111.6042831658245,126.37988633834448,134.2212896246738,113.13686345820506,120.15658628459752,136.06445278527613,144.50674750586688,0.8314946420043066,0
sleeper:8150,Kyren Williams,RB,established,RB|established,D0,D1,111.0027540213773,107.36122853271445,129.35231468775146,125.10881861321018,120.26019600835035,116.31497345151487,140.14007900639106,135.54268253470784,0.8581427730097535,0
sleeper:8151,Kenneth Walker,RB,established,RB|established,D0,D1,113.97435952432836,101.61278881308748,132.59315844138155,118.21220722796376,125.10726239539609,111.53822566603992,145.5447272017298,129.759058877194,0.8595794901040508,0
sleeper:8154,Brian Robinson,RB,established,RB|established,D0,D1,27.507654095866087,32.74432310419547,49.91089128916262,59.41249461313832,29.4291279135726,35.031590469997106,53.39728349463006,63.56259597932246,0.551135301040776,0
sleeper:8155,Breece Hall,RB,established,RB|established,D0,D1,114.73255691047768,103.23172694880469,131.94806192800132,118.72154397294251,126.66433679888506,113.96746122180967,145.6701934137948,131.0681643991074,0.8695281706606843,0
sleeper:8205,Isiah Pacheco,RB,established,RB|established,D0,D1,15.306349301313437,24.60646524092485,33.27124682075744,53.486808794239906,17.092940405872298,27.47858654487947,37.15474068578029,59.72990797627868,0.4600473611275677,0
sleeper:8228,Jaylen Warren,RB,established,RB|established,D0,D1,73.11276505125434,82.5382991817304,95.46179397076332,107.76851491883758,82.14577124019804,92.73582032336401,107.25599947155473,121.08320301130263,0.7658850940266875,0
