index,cohort,horizon,n,active_n,inactive_share,active_ret_p10,active_ret_p25,active_ret_median,active_ret_p75,active_ret_p90,active_ge_0_80,active_ge_0_70,active_ge_0_60,active_0_40_to_0_60,active_lt_0_40,premium_elite_share_all,premium_elite_share_active,premium_elite_active_ret_median,p0_expected_ret_median,p0_conditional_ret_median_active,realized_unconditional_ret_mean,p0_expected_ret_mean
0,top10_all,2,115,108,0.0608695652173912,0.1632748737124846,0.3750650382331899,0.6244668799614163,0.862147152390006,1.2253577037331365,0.324074074074074,0.4537037037037037,0.5370370370370371,0.1759259259259259,0.287037037037037,0.808695652173913,0.8611111111111112,0.7095416276894293,0.6421504016253834,0.697931773136591,0.6220918172004027,0.6414481563085558
1,top10_all,3,115,96,0.1652173913043478,0.0817735415324839,0.2548734372588362,0.5493384184554573,0.8252724132933122,1.1271427579527256,0.2916666666666667,0.3854166666666667,0.4895833333333333,0.1666666666666666,0.34375,0.6608695652173913,0.7916666666666666,0.6966415098704759,0.5017320265747647,0.599963884406921,0.4935967617865149,0.4893099285995919
2,top10_developmental,2,79,78,0.0126582278481012,0.215931497239699,0.4574579549096031,0.7055378863044718,0.8598448920701082,1.2253577037331365,0.3461538461538461,0.5128205128205128,0.6025641025641025,0.1794871794871795,0.2179487179487179,0.8734177215189873,0.8846153846153846,0.7184189079054605,0.6579043757353348,0.7134748580116038,0.6942545093343585,0.667484309923917
3,top10_developmental,3,79,72,0.0886075949367088,0.0969381439807207,0.385687861238954,0.6441050743380667,0.8839351453432779,1.1498806971645894,0.3472222222222222,0.4583333333333333,0.5555555555555556,0.1805555555555555,0.2638888888888889,0.759493670886076,0.8333333333333334,0.7486833110162582,0.5303458099350585,0.6123262255993134,0.5942440309919147,0.5414561827644032
4,top10_established,2,33,28,0.1515151515151515,0.0542989858942457,0.2976866610283434,0.4234661421820636,0.8157464379337978,1.098788685514692,0.25,0.2857142857142857,0.3571428571428571,0.1428571428571428,0.5,0.6666666666666666,0.7857142857142857,0.5417329807247138,0.612519043323556,0.6828790936345386,0.4634318179589115,0.5962115807532409
5,top10_established,3,33,22,0.3333333333333333,0.0224998005159986,0.1217462705703123,0.3019914651493599,0.6587822760433744,0.7938801494693649,0.1363636363636363,0.1818181818181818,0.3181818181818182,0.0454545454545454,0.6363636363636364,0.4242424242424242,0.6363636363636364,0.5725145824016187,0.3886151102509672,0.5867072304878638,0.2671542773559928,0.3972490881321439
6,top10_veteran,2,3,2,0.3333333333333333,0.5423400306256517,0.6016880343887686,0.7006013739939634,0.7995147135991583,0.8588627173622752,0.5,0.5,0.5,0.5,0.0,0.6666666666666666,1.0,0.7006013739939634,0.4607880345669833,0.6766775763513566,0.4670675826626422,0.4534317755458385
7,top10_veteran,3,3,2,0.3333333333333333,0.4638218048735317,0.4778120038597447,0.5011290021700999,0.524446000480455,0.5384361994666681,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.5011290021700999,0.128637603983955,0.4577056428386514,0.3340860014467333,0.1287944807348239
8,top5_all,2,58,54,0.0689655172413793,0.1775287106606584,0.3732571302034457,0.6218091380187953,0.7959443255098669,0.9768125132107378,0.2407407407407407,0.4259259259259259,0.5370370370370371,0.1481481481481481,0.3148148148148148,0.8103448275862069,0.8703703703703703,0.6637726913970007,0.5747256487157922,0.6160706825988267,0.5710673626627291,0.5711763186280833
9,top5_all,3,58,50,0.1379310344827586,0.2178168397712685,0.3585277357018137,0.6267388433973022,0.7892138373877441,0.9927835032559768,0.24,0.42,0.54,0.16,0.3,0.7758620689655172,0.9,0.6893470790378007,0.4417494741073001,0.5338272204789627,0.5314736433521106,0.4317174846791063
10,top5_developmental,2,41,40,0.024390243902439,0.2519122731608734,0.5204069463244453,0.7058892894039525,0.8466478950117781,1.0609750028789051,0.275,0.525,0.65,0.125,0.225,0.8780487804878049,0.9,0.715074265085931,0.5950044083198722,0.6345641449469946,0.6586316187579554,0.5997809520839429
11,top5_developmental,3,41,39,0.048780487804878,0.3065685237190297,0.4816882593134043,0.7013108614232211,0.8769715948047244,1.117235221846681,0.3076923076923077,0.5128205128205128,0.6410256410256411,0.1794871794871795,0.1794871794871795,0.8780487804878049,0.9230769230769232,0.7318763109867027,0.4802000292385686,0.5506149268085648,0.6556054929707158,0.4857063034424948
12,top5_established,2,16,14,0.125,0.1019299650619128,0.3175709208221896,0.380290032654253,0.5583148117597596,0.7929427757323454,0.1428571428571428,0.1428571428571428,0.2142857142857142,0.2142857142857142,0.5714285714285714,0.6875,0.7857142857142857,0.4608778625954198,0.5083806499356851,0.5841452366224897,0.3823756665851322,0.509362631083422
13,top5_established,3,16,11,0.3125,0.1689578713968958,0.2237115598867099,0.3513513513513513,0.4642548366950444,0.6893470790378007,0.0,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.7272727272727273,0.5625,0.8181818181818182,0.3545301069217783,0.3060037768342457,0.482646965349544,0.2466028814139415,0.3145911175130217
14,top5_veteran,2,1,0,1.0,,,,,,,,,,,0.0,,,0.3874053476524181,,0.0,0.3874053476524181
15,top5_veteran,3,1,0,1.0,,,,,,,,,,,0.0,,,0.0921977900375298,,0.0,0.0921977900375298
16,oot_top10_all,2,35,35,0.0,0.1004261949075231,0.2062533238709015,0.596529284164859,0.8339357822355342,1.0776204463721966,0.3714285714285714,0.4571428571428571,0.4857142857142857,0.1428571428571428,0.3714285714285714,0.7428571428571429,0.7428571428571429,0.8010089852748843,0.6071361205489733,0.6726384083509391,0.5791388516447753,0.6224394777196408
17,oot_top10_all,3,35,28,0.1999999999999999,0.083864532609724,0.311414946612842,0.7312917329958191,0.9695556259901036,1.1884137582392231,0.4285714285714285,0.5357142857142857,0.6071428571428571,0.0714285714285714,0.3214285714285714,0.6571428571428571,0.8214285714285714,0.8080380750925437,0.4401915159478634,0.5529939479335905,0.5503275892516089,0.4492067049720566
18,oot_top10_developmental,2,14,14,0.0,0.1455597445631263,0.4136847854051705,0.7590152277654069,0.826539085544618,0.880591258338502,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.2142857142857142,0.2142857142857142,0.8571428571428571,0.8571428571428571,0.7974356299662445,0.667444277323864,0.7268702127960032,0.605649477041666,0.6669149561467459
19,oot_top10_developmental,3,14,13,0.0714285714285714,0.143321302516472,0.4354920958694544,0.7276650841605524,0.8080380750925437,1.1695567789048076,0.3076923076923077,0.5384615384615384,0.6923076923076923,0.0769230769230769,0.2307692307692307,0.7857142857142857,0.8461538461538461,0.7349183818310858,0.5096240196934502,0.622656077630319,0.6380614432375451,0.5323744608082587
