index,stage,block,scope,n,D0_MAE,D1_MAE,D0_minus_D1_MAE_gain
0,developmental,early,full_cell,329,34.80504958123728,34.526077196552215,0.278972384685062
1,developmental,early,top10,27,72.19069838059521,72.39747311889862,-0.2067747383034088
2,developmental,mid,full_cell,219,36.94847249161823,36.76612410917179,0.1823483824464347
3,developmental,mid,top10,26,66.63418045415095,67.59628241877279,-0.9621019646218372
4,developmental,validation,full_cell,225,37.23050976526694,37.00114711305328,0.2293626522136591
5,developmental,validation,top10,26,81.18954884117692,81.87648049369237,-0.6869316525154545
6,developmental,postfreeze,full_cell,213,34.59983400445405,34.0309200566933,0.5689139477607554
7,developmental,postfreeze,top10,14,73.77675282446823,73.23048854277316,0.5462642816950734
8,established,early,full_cell,157,20.889455919213766,21.415288653355223,-0.5258327341414564
9,established,early,top10,20,60.07778102952899,58.77287678058305,1.3049042489459453
10,established,mid,full_cell,88,23.93879316466237,24.70961594711497,-0.7708227824525942
11,established,mid,top10,6,55.51273632585535,55.39549127489366,0.1172450509616922
12,established,validation,full_cell,91,24.369819047649585,24.3602466427867,0.0095724048628866
13,established,validation,top10,7,64.87293245271164,62.23338167575226,2.639550776959375
14,established,postfreeze,full_cell,118,29.58106216193244,29.65860545957476,-0.0775432976423218
15,established,postfreeze,top10,21,94.13838212529087,93.18589382576336,0.9524882995275163
