index,player_name,stage,historical_band,source_points,route,current_p_out,current_p_productive_state,current_conditional_retention,current_elite_state_retention,current_premium_state_retention,hist_n,hist_active_n,hist_inactive_share,hist_productive_state_share,hist_active_retention_median,hist_active_retention_mean,hist_middle_0_40_0_60_share_active,hist_lt_0_40_share_active,hist_ge_0_60_share_active,hist_elite_state_mean_points,hist_premium_state_mean_points
0,Derrick Henry,veteran,unsupported,252.05,D0,0.5602209303811033,0.3731393698017165,0.4044701856939512,0.4044701856939512,0.4044701856939512,3,2,0.3333333333333333,0.6666666666666666,0.5011290021700999,0.5011290021700999,1.0,0.0,0.0,,86.25
1,Christian McCaffrey,veteran,unsupported,276.7,D0,0.3980644265057358,0.525149695869587,0.4538832748126975,0.4538832748126975,0.4538832748126975,3,2,0.3333333333333333,0.6666666666666666,0.5011290021700999,0.5011290021700999,1.0,0.0,0.0,,86.25
2,Jonathan Taylor,established,high,241.85,D0,0.2082080551751828,0.6874320565601821,0.5515245109362807,0.5515245109362807,0.5515245109362807,11,8,0.2727272727272727,0.6363636363636364,0.3686441135502262,0.4128154477463212,0.125,0.625,0.25,180.62,73.625
3,Javonte Williams,established,mid,219.45,D0,0.1668946520707026,0.6672168207552138,0.6089083474908393,0.6089083474908393,0.6089083474908393,11,8,0.2727272727272727,0.4545454545454545,0.2900727107079265,0.4778858666000712,0.0,0.625,0.375,187.2,56.25
4,James Cook,established,high,231.05,D0,0.1685053579956934,0.6954250999711058,0.546980680970978,0.546980680970978,0.546980680970978,11,8,0.2727272727272727,0.6363636363636364,0.3686441135502262,0.4128154477463212,0.125,0.625,0.25,180.62,73.625
5,Kenneth Walker,established,high,222.75,D0,0.1404205098959492,0.6692348373727208,0.5952554812183234,0.5952554812183234,0.5952554812183234,11,8,0.2727272727272727,0.6363636363636364,0.3686441135502262,0.4128154477463212,0.125,0.625,0.25,180.62,73.625
6,Jahmyr Gibbs,developmental,high,292.3,D1,0.09390850846271,0.8296978472475058,0.5677116389961988,0.6813587559150645,0.3098607026617618,27,26,0.037037037037037,0.8518518518518519,0.7148474901568463,0.6474533017069941,0.1153846153846153,0.2307692307692307,0.6538461538461539,206.169,103.86666666666667
7,Chase Brown,developmental,high,231.25,D1,0.168837525962972,0.718782480899465,0.5935567369864367,0.8212255806142864,0.3567620648935371,27,26,0.037037037037037,0.8518518518518519,0.7148474901568463,0.6474533017069941,0.1153846153846153,0.2307692307692307,0.6538461538461539,206.169,103.86666666666667
8,Bijan Robinson,developmental,high,289.4,D1,0.1003393348645486,0.8195641912736169,0.5620034892826515,0.6843010295319795,0.3098357165533358,27,26,0.037037037037037,0.8518518518518519,0.7148474901568463,0.6474533017069941,0.1153846153846153,0.2307692307692307,0.6538461538461539,206.169,103.86666666666667
