index,stage,block,n,D0_CRPS,D1_CRPS,D0_minus_D1_gain,D1_win_share
0,developmental,early,27,0.3016024471411641,0.2701206522078693,0.0314817949332947,0.5925925925925926
1,developmental,mid,26,0.2947032703577208,0.2191901646424703,0.0755131057152505,0.8461538461538461
2,developmental,validation,26,0.3319141855615899,0.273778209556972,0.0581359760046178,0.6923076923076923
3,developmental,postfreeze,14,0.3153597572549778,0.24842593272915,0.0669338245258277,0.9285714285714286
4,established,early,20,0.2301114209948979,0.186941721706361,0.0431696992885368,0.75
5,established,mid,6,0.2515479019061237,0.1782533972693022,0.0732945046368215,1.0
6,established,validation,7,0.252073682516615,0.1894096833760268,0.0626639991405881,0.8571428571428571
7,established,postfreeze,21,0.3737554749789521,0.2963599166193801,0.0773955583595719,0.9047619047619048
8,veteran,early,3,0.1783201416867986,0.2112805344996075,-0.0329603928128088,0.3333333333333333
