index,source_season,player_id,horizon,career_stage,source_points,source_percentile,target_points,target_state,active,realized_retention,selected_route,p_active,p0_expected_retention,p0_conditional_retention,p_out,p_depth,p_usable,p_starter,p_premium,p_elite,d1_mean_depth,d1_mean_usable,d1_mean_starter,d1_mean_premium,d1_mean_elite,window,outcome_bucket
0,2014,00-0025399,2,established,271.3,0.984567901234568,0.0,out,False,0.0,D1,0.8684802763522914,0.5154906855223005,0.5935548561763724,0.1315197236477086,0.0096769073258446,0.0171217950578465,0.048532616972562,0.1684629833361575,0.6246859736598807,14.219794974556024,23.31017312724453,40.5564152635564,90.09289581782473,195.5707115474277,selection,inactive
1,2014,00-0025399,3,established,271.3,0.984567901234568,147.2,elite,True,0.5425727976409878,D0,0.6580382197873966,0.3008213706455938,0.4571487819397256,0.3419617802126034,0.0221470310060605,0.0379442515146182,0.0320174040480786,0.240441056905626,0.3254884763130131,7.7744371084788355,19.34018966616248,32.706622511998084,81.13058722482856,183.6990045959946,selection,active_0_40_to_0_60
2,2014,00-0026184,2,established,251.6,0.9783950617283952,155.6,elite,True,0.6184419713831478,D1,0.8933807527245464,0.5197606615769809,0.5817907538212178,0.1066192472754535,0.0136693143304067,0.0184466593156974,0.0516884361996537,0.2003574499296704,0.609218892949118,3.954232643961724,13.059648501607462,30.25931347920067,79.81057476772088,185.3555846543075,selection,active_ge_0_60
3,2014,00-0026184,3,established,251.6,0.9783950617283952,88.4,premium,True,0.3513513513513513,D0,0.7119573512736611,0.3233637107526989,0.4541897210194052,0.2880426487263389,0.0283247815280098,0.0389360656018277,0.0594846179819233,0.2305869405496543,0.3546249456122458,4.890999624473139,16.36807015649103,29.96009935850681,78.11620635738831,181.50434126787025,selection,active_lt_0_40
4,2014,00-0026213,2,established,219.4,0.9598765432098766,11.4,usable,True,0.0519598906107566,D1,0.9155099466807752,0.6181798946717351,0.6752301238375134,0.0844900533192247,0.0124253501729962,0.0178755347652438,0.0510730465487353,0.2116275976242755,0.6225084175695242,5.834624361501874,14.96135358164718,32.077857258272175,81.5452886507131,186.9744709105272,selection,active_lt_0_40
5,2014,00-0026213,3,established,219.4,0.9598765432098766,49.5,premium,True,0.2256153144940747,D0,0.7760145111789855,0.4400621516628924,0.5670797972505871,0.2239854888210145,0.0311866381351975,0.0416718160089955,0.0739047130512724,0.2197725543412357,0.4094787896422842,7.404828948014746,18.747661733387773,32.62837742704121,80.3597235972262,184.5801873005605,selection,active_lt_0_40
6,2014,00-0026373,2,established,206.9,0.9537037037037036,43.6,starter,True,0.2107298211696471,D1,0.8372801806913089,0.3708390799216708,0.4429091819843194,0.162719819308691,0.045230264339405,0.0658547365180797,0.1614374328076238,0.2897850368925284,0.2749727101336719,0.1928976845927223,9.33019246116855,26.41074893108724,75.86887657765575,181.30560930242257,selection,active_lt_0_40
7,2014,00-0026373,3,established,206.9,0.9537037037037036,0.0,out,False,0.0,D0,0.5712933640192244,0.2312623850287732,0.4048049559017653,0.4287066359807756,0.0254995495842186,0.0738717809173237,0.0949019767550514,0.2607431659039035,0.1162768908587271,0.748010836719061,12.026929351198596,26.060314072194096,73.59498414837581,178.32947322839942,selection,inactive
8,2014,00-0026796,2,established,240.5,0.9722222222222222,13.3,usable,True,0.0553014553014553,D1,0.8807449213900334,0.4622048191657508,0.5247885147453105,0.1192550786099666,0.0289397552230971,0.0365093111443236,0.094846093344802,0.2847995293604335,0.4356502323173771,8.806398737965331,17.918780782180477,35.09105397752834,84.61362733573716,190.11818398028413,selection,active_lt_0_40
9,2014,00-0026796,3,established,240.5,0.9722222222222222,0.0,out,False,0.0,D0,0.678090055500796,0.3011318758568889,0.4440883233931091,0.3219099444992039,0.0268643908973404,0.0590690508875837,0.0854250968959017,0.3063706379222914,0.2003608788976786,3.705111895124276,15.138202268347712,28.824205571116146,76.84092638395882,180.49705299170984,selection,inactive
