index,stage,n,active_n,inactive_share,realized_active_retention_median,realized_active_retention_mean,p0_conditional_retention_median_active,p0_conditional_bias_mean_active,realized_middle_0_40_0_60_share_active,realized_lt_0_40_share_active,realized_ge_0_60_share_active,p0_expected_retention_mean,realized_unconditional_retention_mean
0,all,35,28,0.1999999999999999,0.7312917329958191,0.687909486564511,0.5529939479335905,-0.1240175156984091,0.0714285714285714,0.3214285714285714,0.6071428571428571,0.4492067049720566,0.5503275892516089
1,developmental,14,13,0.0714285714285714,0.7276650841605524,0.6871430927173563,0.622656077630319,-0.0677416403318422,0.0769230769230769,0.2307692307692307,0.6923076923076923,0.5323744608082587,0.6380614432375451
2,established,21,15,0.2857142857142857,0.8141838351822503,0.6885736945653783,0.5197891678582117,-0.1727899410161004,0.0666666666666666,0.4,0.5333333333333333,0.3937615344145886,0.4918383532609846
