index,horizon,rule,n_active,realized_retention_median,D1_retention_median,D1R_retention_median,D1_mean_retention_bias,D1R_mean_retention_bias,bias_improvement_toward_zero_signed
0,2,source_points > 225.5,25,0.6510212950890918,0.5992784841553597,0.5845153584400825,0.0088922059857508,0.0057568800267129,-0.0031353259590378
1,3,source_points > 225.5,25,0.6980234260614934,0.5202401147115076,0.5105098991113625,-0.1256649091677379,-0.1359297062582622,-0.0102647970905243
