index,position,horizon,n,crps_gain,crps_ci_low,crps_ci_high,mae_gain,mae_ci_low,mae_ci_high
0,QB,2,484,0.153316461909099,-0.3349304742386833,0.6008676076323298,0.3009657690971921,-0.3102602868486579,0.8784520043602578
1,QB,3,484,0.1023528063885537,-0.6789866937666176,0.8685099546441001,0.744464922621348,-0.2104332083470022,1.6407984622423366
2,RB,2,1158,0.1475134746630804,-0.029249083276887,0.323980259727029,0.5572404494749446,0.2916797396814314,0.8102485122020789
3,RB,3,1158,0.1697035835227591,0.0250431617042158,0.3246589417370422,0.4775566184268303,0.2702022475434034,0.6860214927974677
4,WR,2,1476,0.0113939982366401,-0.1308767850325822,0.1445732202008079,0.0217026589813997,-0.1741473060670269,0.2149466629179722
5,WR,3,1476,0.0043174059898503,-0.1240303936088756,0.1137380244444385,0.1218618694672312,-0.0443053876376905,0.2953413728855621
6,TE,2,840,0.0589556528726073,-0.1944070320497241,0.2698981713963038,0.1715746439703363,-0.1224433921611245,0.4553755639014918
7,TE,3,840,0.0814021602177907,-0.0924456349895977,0.2240231150335099,0.1592193846840288,-0.0533100104916505,0.3609737585891717
