index,horizon,component,future_threshold,lp_coef,dpts_coef,pct_RB_coef,p_RB_coef,source_log_total_coef,source_pct_total_coef,source_log_scaler_sd,source_pct_scaler_sd
0,2,ordered_state_logit,useful,0.6419656905397102,-0.3890726897551132,0.4428534634237857,-0.0870050553456013,,,,
1,2,ordered_state_logit,starter,0.7415091400777453,-0.2904854866225469,0.4798798705607011,-0.0694638399958034,,,,
2,2,ordered_state_logit,premium,1.2063367711321051,-0.3353136433121628,0.633367101999286,-0.1933235920074024,,,,
3,2,ordered_state_logit,elite,1.3326065744023643,-0.3996573046260007,0.7742602154961429,-0.4157398742755838,,,,
4,2,D1_state_mean_source_effect,depth,,,,,11.47431308106144,-6.790096296159874,1.2863153520710022,0.2750753105496988
5,2,D1_state_mean_source_effect,usable,,,,,12.243681410023092,-7.603827200853102,1.2863153520710022,0.2750753105496988
6,2,D1_state_mean_source_effect,starter,,,,,11.832299520690118,-6.731766120910764,1.2863153520710022,0.2750753105496988
7,2,D1_state_mean_source_effect,premium,,,,,14.336453359115088,-7.018018231977662,1.2863153520710022,0.2750753105496988
8,2,D1_state_mean_source_effect,elite,,,,,12.964771981042947,2.99050460049169,1.2863153520710022,0.2750753105496988
9,3,ordered_state_logit,useful,0.4770311102518479,-0.0390021327132723,0.199997561451088,-0.1218604477555446,,,,
10,3,ordered_state_logit,starter,0.6383183242397747,-0.1741221561608893,0.1312398344988497,-0.1199043654193517,,,,
11,3,ordered_state_logit,premium,0.8751919967364823,-0.2173994328065439,0.4170281807249364,-0.23632578271439,,,,
12,3,ordered_state_logit,elite,0.9340537195152432,-0.3493888949612272,0.3725812159656007,-0.439845320737968,,,,
13,3,D1_state_mean_source_effect,depth,,,,,7.847322670754023,-2.283290044808948,1.2768262655886329,0.2738196611663043
14,3,D1_state_mean_source_effect,usable,,,,,7.984771121073865,-2.1446646987871207,1.2768262655886329,0.2738196611663043
15,3,D1_state_mean_source_effect,starter,,,,,4.650750434365776,1.0025443149463815,1.2768262655886329,0.2738196611663043
16,3,D1_state_mean_source_effect,premium,,,,,13.397078339462189,-4.104372855499967,1.2768262655886329,0.2738196611663043
17,3,D1_state_mean_source_effect,elite,,,,,14.012880500598817,1.106580644165263,1.2768262655886329,0.2738196611663043
