index,horizon,source_percentile_tertile,n,crps_gain_D1_minus_D1R,ci_low,ci_high,mae_gain_D1_minus_D1R
0,2,low,268,0.1783756470517661,-0.0495198761405368,0.3924310621309185,0.7550869732375463
1,2,mid,257,0.0468815463659673,-0.2757893666743723,0.3568737258014245,0.5596153682548727
2,2,high,248,0.1439131243314281,-0.4245265436115132,0.7020859958062424,0.4473768324496568
3,3,low,268,0.0305370764289184,-0.1611923257578166,0.1852632533402483,0.5242264781091156
4,3,mid,257,0.1602757145307033,-0.0493666591468899,0.3826538755671937,0.5164616673700857
5,3,high,248,0.3541550454437751,-0.2416422903143429,0.9276577387312692,0.5373256953532433
