index,player,y2_active_calc,y2_cond_calc,y2_exp_calc,y2_active_diff,y2_cond_diff,y2_exp_diff,y3_active_calc,y3_cond_calc,y3_exp_calc,y3_active_diff,y3_cond_diff,y3_exp_diff
0,Jahmyr Gibbs,0.9562612782128316,180.61426034241745,172.71442345850522,0.0,0.0,0.0,0.90609149153729,165.9421120785889,150.35873584213678,0.0,0.0,0.0
1,Chase Brown,0.9289345074316032,157.2823714920147,146.10502228960914,0.0,0.0,0.0,0.8311624740370279,137.25999542811348,114.08535738634195,0.0,0.0,0.0
2,Bijan Robinson,0.9533976524434852,178.3509865898798,170.0394119257709,0.0,0.0,0.0,0.8996606651354514,162.64380979839933,146.3242381033918,0.0,0.0,0.0
