index,horizon,block,n,D1_crps,D1R_crps,crps_gain_D1_minus_D1R,D1_mae,D1R_mae,mae_gain_D1_minus_D1R,crps_gain_ci_low,crps_gain_ci_high,mae_gain_ci_low,mae_gain_ci_high
0,2,early,329,24.892538715980542,24.57435932762859,0.318179388351959,36.7211265797311,35.904185680062966,0.8169408996681399,,,,
1,2,mid,219,27.23129353161327,27.317601384503718,-0.086307852890441,38.60976053995663,38.26763767197554,0.3421228679810872,,,,
2,2,validation,225,25.440655455172905,25.39725951439365,0.0433959407792587,36.79032011504225,36.286162564651136,0.5041575503911265,,,,
3,2,pooled_2014_2020,773,25.71467787631929,25.591076730575278,0.1236011457440118,37.27633923527367,36.68496289256127,0.5913763427123928,-0.1120038664752014,0.3637426510464874,0.2680615210294577,0.9154236665942258
4,3,early,329,21.593795260488942,21.22215506703861,0.3716401934503381,34.526077196552215,33.890130178774875,0.6359470177773398,,,,
5,3,mid,219,24.131002973672373,24.06363903921065,0.0673639344617278,36.76612410917179,36.306228903465154,0.4598952057066397,,,,
6,3,validation,225,23.75478466795045,23.75397168530548,0.0008129826449667,37.00114711305328,36.572096009957896,0.4290511030953798,,,,
7,3,pooled_2014_2020,773,22.9416233405226,22.764126255933466,0.1774970845891295,35.88113671152819,35.35528921205217,0.5258474994760146,-0.0416165302707952,0.3935812265836395,0.2492102021209631,0.7815051996185257
