index,horizon,dimension,group,n_active,source_points_median,realized_retention_median,p0_conditional_retention_median,mean_retention_bias,mean_point_bias
0,2,top10_source_points_band,low-top10,28,174.0,0.6857254286709702,0.7890362180887007,0.1096397470952885,18.886872773779668
1,2,top10_source_points_band,mid-top10,25,202.3,0.7822616407982262,0.7469348113164659,-0.0887042582485516,-17.537858351977043
2,2,top10_source_points_band,high-top10,25,273.2,0.6510212950890918,0.5992784841553597,0.0088922059857508,0.6979276027774028
3,2,experience,0,18,192.35,0.7071348306994247,0.7623249564212653,0.0110118004090696,6.507168042112864
4,2,experience,1,21,204.2,0.6021188934667451,0.6962135501463451,0.0742921222163642,10.32179625964873
5,2,experience,2,21,193.7,0.708838821490468,0.7060352035816467,-0.0208254115660376,-5.1354549571390375
6,2,experience,3,18,208.45,0.7248775188555859,0.6817679495108189,-0.0136889843845586,-6.5671123986053
7,2,prior1_coverage,0,18,192.35,0.7071348306994247,0.7623249564212653,0.0110118004090696,6.507168042112864
8,2,prior1_coverage,1,60,203.25,0.6863057564437343,0.6966414308683371,0.0146066534122467,-0.1549142637031965
9,2,prior2_coverage,0,41,199.2,0.6637726913970007,0.7469348113164659,0.0506482784806516,9.471541189764588
10,2,prior2_coverage,1,37,204.6,0.7117296222664016,0.6921180453806829,-0.0270802109623961,-7.581054590392118
11,2,source_state,elite,78,200.3,0.7055378863044718,0.7134748580116038,0.013777071949975,1.3824893453312794
12,3,top10_source_points_band,low-top10,24,175.5,0.5842096165629779,0.7117809057421653,0.0778790461780049,11.775732792431882
13,3,top10_source_points_band,mid-top10,23,201.4,0.6251137397634213,0.6410564792458606,-0.0259976182085782,-5.951101294627218
14,3,top10_source_points_band,high-top10,25,272.8,0.6980234260614934,0.5202401147115076,-0.1256649091677378,-32.721175066212815
15,3,experience,0,17,191.8,0.6251137397634213,0.6776958441282187,-0.0839710699707647,-20.43795213729928
16,3,experience,1,20,208.9,0.6996671437423572,0.5926186237556665,0.043105333225978,6.220532874482727
17,3,experience,2,17,195.4,0.7666232073011734,0.6022099647752841,-0.1203642436702506,-32.426944930832086
18,3,experience,3,18,208.45,0.522910909700699,0.5752869050323377,0.0411734904255039,5.666970736399845
19,3,prior1_coverage,0,17,191.8,0.6251137397634213,0.6776958441282187,-0.0839710699707647,-20.43795213729928
20,3,prior1_coverage,1,55,204.6,0.6491435321913762,0.5943288607481607,-0.0080538663675568,-5.906216965078066
21,3,prior2_coverage,0,39,199.2,0.6491435321913762,0.6468197581946076,0.0017325287235033,-2.947956730346033
22,3,prior2_coverage,1,33,212.3,0.6390666164847573,0.5940458372197649,-0.0587284684828867,-16.888388088784428
23,3,source_state,elite,72,201.85,0.6441050743380667,0.6123262255993134,-0.0259787616627587,-9.337321102963632
