player_id,historical_gsis_id,identity_method,position,evidence_tier,weeks_observed_current,current_opportunities,current_fumbles_lost,history_games,history_opportunities,history_fumbles_lost,predicted_season_equivalent_fumbles_lost,predictive_stddev,model
sleeper:player:1479,00-0030279,retained_gsis,WR,history_plus_current,2,7.0,0.0,71,434.0,2.0,0.31012435,0.5568881,calibrated_position_opportunity_rate
sleeper:player:19,00-0026158,retained_gsis,QB,history_only,0,0.0,0.0,32,1201.0,13.0,2.14384928,1.72663038,calibrated_position_opportunity_rate
sleeper:player:2133,00-0031381,retained_gsis,WR,history_plus_current,2,11.0,0.0,78,474.0,0.0,0.34815676,0.5900481,calibrated_position_opportunity_rate
sleeper:player:2216,00-0031408,retained_gsis,WR,history_plus_current,2,9.0,0.0,70,335.0,0.0,0.27750683,0.52678917,calibrated_position_opportunity_rate
sleeper:player:2306,00-0031503,retained_gsis,QB,history_plus_current,1,31.0,0.0,30,810.0,4.0,1.58798361,1.72663038,calibrated_position_opportunity_rate
sleeper:player:2307,00-0032268,retained_gsis,QB,history_plus_current,1,17.0,0.0,35,820.0,7.0,1.26483792,1.72663038,calibrated_position_opportunity_rate
sleeper:player:2449,00-0031588,retained_gsis,WR,history_plus_current,2,9.0,0.0,75,455.0,1.0,0.32803092,0.57273984,calibrated_position_opportunity_rate
sleeper:player:2505,00-0031610,retained_gsis,TE,history_plus_current,2,5.0,0.0,40,160.0,0.0,0.20515925,0.45294509,calibrated_position_opportunity_rate
sleeper:player:3163,00-0033106,retained_gsis,QB,history_plus_current,2,87.0,0.0,82,3092.0,19.0,2.26420252,1.72663038,calibrated_position_opportunity_rate
sleeper:player:3198,00-0032764,retained_gsis,RB,history_plus_current,2,44.0,0.0,75,1593.0,7.0,0.99992047,0.99996024,calibrated_position_opportunity_rate
sleeper:player:3202,00-0032392,retained_gsis,TE,history_plus_current,1,2.0,0.0,78,170.0,1.0,0.12565065,0.45240602,calibrated_position_opportunity_rate
sleeper:player:3214,00-0033090,retained_gsis,TE,history_plus_current,2,6.0,0.0,78,259.0,0.0,0.18837577,0.45240602,calibrated_position_opportunity_rate
sleeper:player:3257,00-0033119,retained_gsis,QB,history_plus_current,2,75.0,0.0,47,1491.0,12.0,1.92208486,1.72663038,calibrated_position_opportunity_rate
sleeper:player:3271,00-0033110,retained_gsis,TE,history_plus_current,1,2.0,1.0,59,213.0,0.0,0.19274041,0.45240602,calibrated_position_opportunity_rate
