player_id,current_player_id,player_name,position,historical_gsis_id,age,experience,career_stage,age_band,mapping_status,history_status,experience_source,source_state,source_percentile,state_percentile,standard_y1_points,league_y1_points,prior1_coverage,prior2_coverage,league_bridge_multiplier,y2_candidate,y2_route_cell,y2_active_probability,y2_standard_conditional_active_points,y2_standard_expected_points,y2_standard_conditional_to_y1_ratio,y2_standard_expected_to_y1_ratio,y2_league_conditional_active_points,y2_league_expected_points,y2_league_bridge_application_count,y2_p_out,y2_p_depth,y2_p_usable,y2_p_starter,y2_p_premium,y2_p_elite,y2_standard_mean_depth,y2_league_mean_depth,y2_standard_mean_usable,y2_league_mean_usable,y2_standard_mean_starter,y2_league_mean_starter,y2_standard_mean_premium,y2_league_mean_premium,y2_standard_mean_elite,y2_league_mean_elite,y3_candidate,y3_route_cell,y3_active_probability,y3_standard_conditional_active_points,y3_standard_expected_points,y3_standard_conditional_to_y1_ratio,y3_standard_expected_to_y1_ratio,y3_league_conditional_active_points,y3_league_expected_points,y3_league_bridge_application_count,y3_p_out,y3_p_depth,y3_p_usable,y3_p_starter,y3_p_premium,y3_p_elite,y3_standard_mean_depth,y3_league_mean_depth,y3_standard_mean_usable,y3_league_mean_usable,y3_standard_mean_starter,y3_league_mean_starter,y3_standard_mean_premium,y3_league_mean_premium,y3_standard_mean_elite,y3_league_mean_elite
sleeper:player:5849,sleeper:5849,Kyler Murray,QB,00-0035228,28.06902263564618,7,established,prime,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,elite,0.7131147540983607,0.4166666666666667,278.78,291.4205,1,1,1.045759529798389,D1,QB|established,0.895609260549675,209.8562919134447,187.94923842229696,0.7527666687475598,0.6741847995634442,219.4592171566374,196.5497071984666,1,0.10439073945032495,0.023967505856520112,0.048295150365426164,0.051831269700202756,0.16831713104142423,0.6031982035861018,21.4506119065193,22.432181821249348,32.26542111914812,33.74187161830735,55.97667380674215,58.53814007981647,120.53601348518798,126.05168478604246,269.70776499342037,282.0494655024937,D1,QB|established,0.8341655344317287,176.32339225776164,147.08289673551107,0.632482216291562,0.527594865971415,184.39186777993373,153.81334093151307,1,0.1658344655682713,0.04082953180232319,0.06492863768969279,0.10727070035405742,0.203543091364815,0.4175935732208403,21.359365537014796,22.33676006078051,28.360888104224703,29.65866900853875,54.507114341385765,57.00133426431461,119.91924367304641,125.40669187730346,273.2647900483697,285.7692583514386
sleeper:player:5850,sleeper:5850,Josh Jacobs,RB,00-0035700,27.554296118332342,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,premium,0.4887640449438202,0.6833333333333333,83.6,90.523,1,1,1.1143068393793185,D1,RB|established,0.6676549479896776,90.78753481165204,60.61474683278459,1.0859752967900962,0.7250567802964665,101.16517097101183,67.54342696301775,1,0.3323450520103224,0.027926512415498154,0.05646890680290828,0.14524061710334105,0.2679247679518574,0.17009414371607273,12.7168097762084,14.170428108714802,21.28259162546815,23.71533740797617,38.410729441208304,42.80133852188696,86.16139900147095,96.01023619782947,178.6906618789236,199.11622666490183,D0,RB|established,0.4149974065274019,62.629521750757654,25.991089098615934,0.7491569587411203,0.31089819495952076,69.78850443392504,28.962048345504982,1,0.5850025934725981,0.04015055054331569,0.05407030929917502,0.07714283014762091,0.1597744788111303,0.08385923772615998,62.629521750757654,69.78850443392504,62.629521750757654,69.78850443392504,62.629521750757654,69.78850443392504,62.629521750757654,69.78850443392504,62.629521750757654,69.78850443392504
sleeper:player:5854,sleeper:5854,Drew Lock,QB,00-0035704,28.808257527533076,7,established,prime,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,depth,0.00819672131147541,0.038461538461538464,2.64,2.7755,1,1,1.045759529798389,D1,QB|established,0.3574247200807994,35.35296936284379,12.636025178539517,13.391276273804465,4.786373173689211,36.97070461786437,13.214243749230091,1,0.6425752799192006,0.18469404832738553,0.10008255830808403,0.055487322594491684,0.010460503317742554,0.006700287533095604,20.595038540674466,21.53745782047543,30.898104142536205,32.31198685976032,53.76322080361501,56.223400508035404,110.60322777862562,115.66437947595965,238.75695036473593,249.68235614952354,D1,QB|established,0.2683524624536541,49.74366548996441,13.3488351257028,18.842297534077424,5.056376941554091,52.019912233233526,13.95967154441118,1,0.7316475375463459,0.10758060740877616,0.08117978177358735,0.048187853938749255,0.01944232190530635,0.011961897427234965,25.471441111180106,26.637002279715063,31.648676269266772,33.096904814089854,61.0305525280349,63.82328191505366,109.8468003226971,114.87333825532126,247.683212574089,259.01707992043373
sleeper:player:5857,sleeper:5857,Noah Fant,TE,00-0035644,27.781542399912386,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,premium,0.3046875,0.26,33.1,46.6405,1,1,1.3587707610638076,D1,TE|established,0.6830983680861097,37.34366981919569,25.509399911839083,1.1282075474077247,0.770676734496649,50.741486661144066,34.66142673249062,1,0.3169016319138903,0.053652156442940496,0.09603556672674227,0.22580058517478901,0.22964716739048233,0.07796289235115555,7.100234573695836,9.64759113543225,14.56712389677,19.79338202372495,24.410537297323202,33.168324341460306,49.41735870537401,67.14686209786423,88.10633824346132,119.7163162696132,D1,TE|established,0.4667894391780505,41.91366926312694,19.564858169229318,1.2662739958648621,0.591083328375508,56.95106828363571,26.584157224709173,1,0.5332105608219495,0.05127902304987222,0.06778870168320267,0.12524304612112647,0.15868397566430184,0.06379469265954738,10.349666642456434,14.06282442052723,15.892993804191747,21.594935286903997,23.393066707870375,31.78581505426945,54.204811358204445,73.65191278250758,100.72182797864056,136.85787485827535
sleeper:player:5859,sleeper:5859,A.J. Brown,WR,00-0035676,28.173063101911744,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,elite,0.9297520661157025,0.8111111111111111,158.75,204.5555,1,1,1.2899047488253008,D1,WR|established,0.854408360527152,120.48388517998701,102.94243880657433,0.758953607432989,0.6484563074429879,155.41273565058754,132.78594067225816,1,0.14559163947284803,0.012685348714925701,0.02464596502529262,0.05133247383117966,0.20878210467298117,0.5569624682827728,6.406705286964204,8.264039573979288,14.971462983720642,19.311761199563463,34.34723099271423,44.30465636650164,73.75574561140624,95.13788651730376,153.20632553451918,197.62156685705122,D1,WR|established,0.6900719591955721,100.82211905486442,69.57451722643951,0.6350999625503271,0.43826467544213865,130.05093015549946,89.74450016761202,1,0.30992804080442793,0.022476306316883476,0.04264859615799139,0.06946136825141569,0.21101696920110433,0.3444687192681772,3.5503756760091605,4.579646444598054,13.072903426753413,16.862800211103774,31.884128874849456,41.127489247826205,71.66982811408698,92.44725163185385,149.79273559879977,193.2183609884245
sleeper:player:5870,sleeper:5870,Daniel Jones,QB,00-0035710,28.266151940149353,7,established,prime,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,elite,0.6639344262295082,0.31666666666666665,269.55,283.6855,1,1,1.045759529798389,D1,QB|established,0.9398911354009436,215.81661049204675,202.844119073753,0.8006552049417427,0.7525287296373697,225.69227711084488,212.12617058493638,1,0.06010886459905641,0.013853016103877454,0.03476106693877789,0.055112229455660626,0.1684388516696228,0.6677259712330049,20.538352776914124,21.478178142819154,31.478582935638496,32.919028089492905,55.04464974560005,57.56346703587572,119.58986057722568,125.06223636589444,267.0079753377832,279.22613474166,D1,QB|established,0.8907037878501454,196.3699699962459,174.90747609567563,0.7285103691198141,0.6488869452631261,205.3557674897979,182.9111599600367,1,0.10929621214985463,0.03868247976719852,0.06262305582722036,0.08640349734393499,0.1792827355620749,0.5237120193497166,25.177478292752177,26.329587860937664,32.1504913272715,33.62168269319463,57.81904848863563,60.46482096086585,123.91862697298058,129.58908507652615,276.31206275181364,288.9559728209596
sleeper:player:5872,sleeper:5872,Deebo Samuel,WR,00-0035719,29.62962962962963,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,premium,0.5826446280991735,0.875,94.9,121.578,1,1,1.2899047488253008,D1,WR|established,0.6122087925039673,65.82078484906383,40.29606321410879,0.6935804515180592,0.4246160507282275,84.90254294821584,51.978083298843444,1,0.3877912074960327,0.028602767542083754,0.06403502766653082,0.12572371108732847,0.24409873376801403,0.14974855244001026,0.0,0.0,9.177644423683311,11.838287125139145,27.61619305487784,35.622258565963214,66.3924764701711,85.63997068514576,133.7578391116266,172.5348718626977,D1,WR|established,0.37775028884347606,57.54839676144927,21.738923499116424,0.6064109247781798,0.22907190199279687,74.23195026987598,28.0411406558602,1,0.6222497111565239,0.03559855807081321,0.05127996404296872,0.08993865746034635,0.12671242770132127,0.07422068156802655,0.0,0.0,9.228843161448353,11.904328620116132,25.383004622514036,32.74165820203542,68.14687604399042,87.90297902675236,139.41800416237504,179.8359456407931
sleeper:player:5892,sleeper:5892,David Montgomery,RB,00-0035685,28.236034963072477,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,elite,0.7921348314606742,0.4861111111111111,184.75,202.6605,1,1,1.1143068393793185,D1,RB|established,0.8678620746787398,119.30298278948057,103.5385341590406,0.6457536280892047,0.5604250834048206,132.94012968067133,115.37369675272814,1,0.13213792532126023,0.018891637845423935,0.03744602221732617,0.10688388247687694,0.32395748996808826,0.38068304217102444,9.842794623956692,10.96789336808093,17.98154186649444,20.03695508442031,35.81992143084331,39.914383436418525,84.78596103017821,94.47757625927595,187.51460698609188,208.94880904812712,D0,RB|established,0.667576244665111,100.14753108253231,66.8561127125594,0.5420705335996336,0.36187341116405625,111.59507883221865,74.49822364991954,1,0.332423755334889,0.02669268938706867,0.06242704361935493,0.10387065088468568,0.2596340002869253,0.21495186048707643,100.14753108253231,111.59507883221865,100.14753108253231,111.59507883221865,100.14753108253231,111.59507883221865,100.14753108253231,111.59507883221865,100.14753108253231,111.59507883221865
sleeper:player:5906,sleeper:5906,Dawson Knox,TE,00-0035689,28.797305899505123,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,premium,0.4140625,0.54,46.35,61.1955,1,1,1.3587707610638076,D1,TE|established,0.7006792399369783,39.1801012189497,27.452683542747554,0.8453096271618058,0.5922909070711446,53.2367759518293,37.30190371062296,1,0.29932076006302166,0.04371867561705089,0.08019503933318749,0.2053814823940368,0.25405609768009163,0.11732794491261153,3.377691391922326,4.5895083032409705,10.717370197759344,14.562449260212034,20.802545893983833,28.2658911164332,46.33461168168759,62.958115578322634,88.65310891613157,120.45925227264472,D1,TE|established,0.4747281219127579,44.53781032101943,21.1433510478042,0.9609020565484234,0.4561672286473398,60.51667442600707,28.728967194664165,1,0.5252718780872421,0.044264574982382766,0.0636908397826586,0.11847743817456846,0.16594162269392615,0.08235364627922201,8.642937498342611,11.74377076244991,14.2769751254937,19.399136356956124,22.17700471598244,30.133465576051112,53.197496632311505,72.28320298577525,101.95430703236491,138.53253136009957
sleeper:player:5927,sleeper:5927,Terry McLaurin,WR,00-0035659,29.963654284482228,7,established,aging,DIRECT_ID,MAPPED_2025,PHASE2_ENTRY_SEASON,elite,0.8305785123966942,0.5444444444444444,138.55,174.838,1,1,1.2899047488253008,D1,WR|established,0.7758255634086207,104.34408277921764,80.95280681054228,0.753114996602076,0.5842858665502871,134.59392788873313,104.42140993565565,1,0.22417443659137926,0.01694505240797819,0.03308911697452438,0.07097661723740513,0.24570622280813012,0.40910855398058293,4.690183890594085,6.049890473341235,13.46746006527863,17.371740692818,32.57205658824127,42.014850472178836,71.8205967656462,92.64172883147407,147.80693902558176,190.6568725584296,D1,WR|established,0.5491106797682077,85.31298028073803,46.846268595007764,0.6157559024232264,0.3381181421509041,110.04561840056323,60.42722432544607,1,0.4508893202317923,0.01931954026730623,0.04301805045441943,0.07694970979744944,0.19520826471251823,0.21461511453651436,0.05630483827657429,0.07262787827479374,9.514071783046624,12.272246373616637,27.538420940325373,35.521939946075804,68.24773326609915,88.03307523650375,144.41810856279636,186.28560405151887
