index,kind,origin,threshold,n,active_n,active_rate,realized_active_retention_median,d1_retention_bias,D1_vs_D0_crps_gain
0,RB_DEV_TAIL,2014,0.75,23,17,0.7391304347826086,0.436955820702999,0.2461735136834989,10.623179238741727
1,RB_DEV_TAIL,2014,0.9,9,8,0.8888888888888888,0.626615064906259,-0.0029111994575309,9.176560130854128
2,RB_DEV_TAIL,2014,0.95,3,3,1.0,0.436955820702999,0.0390393373099113,8.51234497920155
3,RB_DEV_TAIL,2015,0.75,25,18,0.72,0.5662479179919487,0.2206686310031566,8.15093692955913
4,RB_DEV_TAIL,2015,0.9,7,7,1.0,0.6491435321913762,0.0121124812566613,2.659979599675125
5,RB_DEV_TAIL,2015,0.95,5,5,1.0,0.7919534145050291,-0.1692938606012997,4.465504007798714
6,RB_DEV_TAIL,2016,0.75,28,20,0.7142857142857143,0.6169085172204833,0.029441017117706,8.740522899391316
7,RB_DEV_TAIL,2016,0.9,11,10,0.9090909090909092,0.6169085172204833,0.058682437181359,4.757131489756787
8,RB_DEV_TAIL,2016,0.95,6,6,1.0,0.6169085172204833,-0.0565298708558392,-5.445177615945624
9,RB_DEV_TAIL,2017,0.75,24,20,0.8333333333333334,0.4866651696761339,0.1235612923199369,14.00702789124464
10,RB_DEV_TAIL,2017,0.9,11,11,1.0,0.481362467866324,0.1172076567428045,13.137308184080736
11,RB_DEV_TAIL,2017,0.95,5,5,1.0,0.7666232073011734,-0.1663763900954274,9.731367979831724
12,RB_DEV_TAIL,2018,0.75,33,29,0.8787878787878788,0.614314115308151,0.0072592864659193,15.00907515623301
13,RB_DEV_TAIL,2018,0.9,15,13,0.8666666666666667,0.6980234260614934,-0.0624316103106506,16.271873976200204
14,RB_DEV_TAIL,2018,0.95,8,7,0.875,0.6980234260614934,-0.0771187820710327,11.495743512734094
15,RB_DEV_TAIL,2019,0.75,26,24,0.9230769230769232,0.9119251610082906,-0.1256077503419511,14.968707744972969
16,RB_DEV_TAIL,2019,0.9,14,13,0.9285714285714286,0.9485446985446984,-0.3647200790100243,17.158300180947606
17,RB_DEV_TAIL,2019,0.95,7,7,1.0,0.8753056234718827,-0.3949023477950137,19.805456890344715
18,RB_DEV_TAIL,2020,0.75,30,24,0.8,0.5141960552358732,0.1218828678766453,11.280668947701557
19,RB_DEV_TAIL,2020,0.9,12,10,0.8333333333333334,0.5213617606390203,0.1744894752329323,6.09058780553417
20,RB_DEV_TAIL,2020,0.95,7,6,0.8571428571428571,0.5742807800534412,0.0275989390083432,-0.403487209644453
21,RB_DEV_TAIL,2021,0.75,26,17,0.6538461538461539,0.7276650841605524,-0.1740456405204326,15.373170019550445
22,RB_DEV_TAIL,2021,0.9,7,6,0.8571428571428571,0.6698915310462757,-0.0907291490003527,14.929475766827466
23,RB_DEV_TAIL,2021,0.95,5,4,0.8,0.5554027078006555,0.0355810543205937,18.19239175346785
24,RB_DEV_TAIL,2022,0.75,21,21,1.0,0.7349183818310858,0.0267136418135343,11.010037346681976
25,RB_DEV_TAIL,2022,0.9,7,7,1.0,0.7722960151802657,-0.0480380614731189,14.389349789616375
26,RB_DEV_TAIL,2022,0.95,1,1,1.0,0.7349183818310858,-0.2361075486267229,27.147354478489547
