index,threshold,n,origins,active_n,active_rate,realized_active_retention_median,d1_active_retention_median,d1_mean_active_retention_bias,D1_minus_D0_crps_mean
0,0.0,986,9,519,0.526369168356998,0.7457838850718301,1.122019402661743,0.0931856603797601,-5.547904023814496
1,0.75,236,9,190,0.8050847457627118,0.6218560612563737,0.7458021218711492,0.047054547352686,-12.215377165455642
2,0.9,93,9,85,0.913978494623656,0.6753133197318565,0.6224424864233427,-0.0323660254592067,-11.404955693821634
3,0.95,47,9,44,0.9361702127659576,0.6996671437423572,0.5439312164355301,-0.1166534107510352,-8.717859112610356
