index,position,horizon,career_stage,origin,n,current,alternative,crps_gain_current_vs_alt,mae_gain_current_vs_alt,current_crps,alternative_crps,current_mae,alternative_mae,active_n,p_active_mean,actual_active_rate,conditional_active_retention_bias
0,QB,2,developmental,2014,34,D1,D0,13.13880005346419,1.5379703944198102,48.94702565777353,62.08582571123772,72.02852474346594,73.56649513788571,21,0.6374568291658603,0.6176470588235294,-14.825370853287186
1,QB,2,developmental,2015,26,D1,D0,8.641943468683031,-4.125370291278881,40.39139312162086,49.0333365903039,61.15523133807997,57.029861046801095,14,0.6685911167266467,0.5384615384615384,2.9782047829500127
2,QB,2,developmental,2016,26,D1,D0,8.050464166332493,3.4408613733856,25.67530327337577,33.725767439708264,40.75838207193343,44.19924344531903,12,0.5846125824039831,0.4615384615384615,0.4824135995073448
3,QB,2,developmental,2017,29,D1,D0,17.75441083951804,1.0034034958548457,51.12387705040528,68.87828788992333,78.95949165483329,79.96289515068813,15,0.6421280924497987,0.5172413793103449,-0.7846513505712729
4,QB,2,developmental,2018,24,D1,D0,9.13692170682838,1.445885567915522,54.40238113239629,63.53930283922467,69.79412698132825,71.24001254924377,20,0.7404158734494685,0.8333333333333334,3.0645510775012093
5,QB,2,developmental,2019,27,D1,D0,5.154686482796978,-2.536212289101156,48.88686415015293,54.041550632949885,65.73511599660365,63.198903707502495,18,0.7451635770117205,0.6666666666666666,0.2737169246455842
6,QB,2,developmental,2020,36,D1,D0,11.272030074903888,1.2656872189660682,48.643105797326186,59.91513587223007,65.21148873082666,66.47717594979274,26,0.614424484316182,0.7222222222222222,2.2439083876751
7,QB,2,developmental,2021,30,D1,D0,14.516973235698943,2.7744838201649538,54.227090614395394,68.74406385009434,74.75817074524306,77.53265456540802,22,0.6848397615238652,0.7333333333333333,-0.2562456815318996
8,QB,2,developmental,2022,33,D1,D0,8.528575300901343,0.6120885382896242,41.24482473411851,49.77340003501986,56.28333662485007,56.8954251631397,22,0.6007284441083012,0.6666666666666666,-0.0502526814980906
9,QB,2,developmental,2023,28,D1,D0,8.015139652820546,-3.1706804140378586,42.90673355969814,50.92187321251868,63.37645266735566,60.20577225331778,20,0.763556927477498,0.7142857142857143,0.7454101999318276
10,QB,2,established,2014,17,D1,D0,15.235824112504432,8.115057087123695,23.10244931025787,38.3382734227623,40.59311373572994,48.70817082285364,11,0.5583945222879614,0.6470588235294118,-3.879844408670377
11,QB,2,established,2015,18,D1,D0,16.402769816429426,4.646652269693009,28.39433218315897,44.79710199958839,47.26747972861856,51.914131998311554,13,0.7010872442030863,0.7222222222222222,-7.620127409368565
12,QB,2,established,2016,22,D1,D0,14.486927820897415,3.576657174997208,48.58203017829293,63.068957999190346,66.97394122512722,70.55059840012443,19,0.7666334399646946,0.8636363636363636,4.07701679390615
13,QB,2,established,2017,20,D1,D0,8.170312905163609,-0.2823221609937413,36.31860849656276,44.488921401726365,52.00239021576449,51.72006805477074,10,0.6534380322798318,0.5,0.3949876898661754
14,QB,2,established,2018,24,D1,D0,12.158385214585124,6.319860355842574,58.189193545382864,70.34757875996797,72.9501210849511,79.26998144079367,20,0.5989413293797246,0.8333333333333334,5.247647388922273
15,QB,2,established,2019,22,D1,D0,9.966724768489524,5.451332102034902,37.99480130608902,47.96152607457855,49.855875635564594,55.30720773759949,16,0.5761590108277307,0.7272727272727273,-34.5870598315569
16,QB,2,established,2020,25,D1,D0,3.262477861754202,2.9281967063448064,49.10765338217558,52.37013124392978,60.55517199407177,63.48336870041658,18,0.5545297514335931,0.72,-12.82138453883402
17,QB,2,established,2021,23,D1,D0,14.7530686479381,4.326715243907303,39.52998109294737,54.28304974088547,56.97725763796527,61.30397288187256,17,0.6263577897587139,0.7391304347826086,0.9449099184475096
18,QB,2,established,2022,28,D1,D0,10.774112043238697,-1.2427327784458613,53.69406350430979,64.46817554754848,76.30708660606726,75.06435382762139,22,0.6596591882945237,0.7857142857142857,1.6904689926625318
19,QB,2,established,2023,32,D1,D0,14.477919763598925,2.463921279432232,39.31000396285826,53.78792372645718,60.52426920558176,62.98819048501399,20,0.6326121305707828,0.625,-0.205906619845796
20,QB,2,veteran,2014,20,D1,D0,11.211958969893526,-1.2647321585121545,55.57323219625857,66.78519116615209,80.25671459921185,78.99198244069972,15,0.6222544901152849,0.75,4.650469056545932
21,QB,2,veteran,2015,24,D1,D0,10.609919102059504,5.251612326635539,29.28924831895536,39.89916742101487,46.02795245214288,51.27956477877842,13,0.5179865917209906,0.5416666666666666,1.386970076533827
22,QB,2,veteran,2016,19,D1,D0,16.963810784360327,7.731285671296649,32.71920899653808,49.68301978089841,52.56575692223138,60.29704259352805,12,0.518476434408021,0.631578947368421,0.400488826607609
23,QB,2,veteran,2017,17,D1,D0,23.93560806278541,11.300971018752124,48.25532419451468,72.19093225730009,77.75937570334163,89.06034672209377,11,0.6495136212829458,0.6470588235294118,0.0083271135093181
24,QB,2,veteran,2018,19,D1,D0,11.55244234056282,3.546431790647916,35.00579476658377,46.55823710714658,55.14920616684483,58.69563795749274,12,0.5259036352190426,0.631578947368421,-0.2900210684590128
25,QB,2,veteran,2019,16,D1,D0,14.82571381463811,3.832911498178317,60.714575129395655,75.54028894403376,85.50732087501605,89.34023237319437,9,0.5085207603741717,0.5625,-1.5141093156085663
26,QB,2,veteran,2020,19,D1,D0,11.98738890567636,7.538743952064671,33.419291601638506,45.40668050731486,50.5226796223732,58.06142357443787,12,0.5334221448159012,0.631578947368421,0.6364228977023371
27,QB,2,veteran,2021,20,D1,D0,1.4260089871551305,-6.7143887905266295,49.05714528308117,50.4831542702363,68.46337374214534,61.748984951618695,10,0.5667403576593453,0.5,2.070735149899924
28,QB,2,veteran,2022,19,D1,D0,7.155273386120567,2.494630481929201,31.72390151325531,38.87917489937587,45.769319976363406,48.26395045829262,9,0.4973181179316787,0.4736842105263157,5.035932549858115
