index,position,horizon,career_stage,magnitude_bin,n,origins,source_percentile_mean,source_points_mean,target_points_mean,active_rate,active_retention_mean,active_retention_median,p_active_mean,current_crps_mean,alternative_crps_mean,crps_gain_current_vs_alt,conditional_retention_bias_active
0,QB,2,developmental,"(-0.001, 0.1]",27,10,0.0554948445205097,1.531111111111111,13.99185185185185,0.2222222222222222,73.04365018094408,8.455698287220027,0.30655433259411,12.879908236259556,15.578653050840366,2.69874481458081,-33.83206341848052
1,QB,2,developmental,"(0.1, 0.2]",27,10,0.1491114688287143,6.425925925925926,26.90888888888889,0.4444444444444444,7.594721267100557,4.365648496240601,0.3294766795712456,23.003776361333955,25.20903080570179,2.2052544443678346,2.570501863613148
2,QB,2,developmental,"(0.2, 0.3]",35,10,0.2488389515288303,15.163428571428572,14.602285714285712,0.4571428571428571,3.234539245179042,1.3677879497551628,0.4382422221965043,12.789025326997804,17.312670084156114,4.5236447571583085,1.0634567206039032
3,QB,2,developmental,"(0.3, 0.4]",30,10,0.3524339712818752,29.894,29.212666666666667,0.4333333333333333,2.5688772231762136,1.3084112149532712,0.4711274649940597,24.63645703091416,29.50813897595985,4.871681945045685,-0.1526022236606043
4,QB,2,developmental,"(0.4, 0.5]",31,10,0.4545892376223108,63.60064516129033,56.42258064516129,0.6451612903225806,1.343671251964062,0.6471841243293649,0.6335002599613867,44.03077857104662,56.33810986729436,12.307331296247728,0.286289191056203
5,QB,2,developmental,"(0.5, 0.6]",31,10,0.5595711191539567,120.0825806451613,66.35161290322581,0.6774193548387096,0.7655098880341973,0.5694738556768203,0.774110230551075,57.030812983754366,62.629409341974096,5.598596358219736,0.3219944676955843
6,QB,2,developmental,"(0.6, 0.7]",35,10,0.6519134021166838,184.30685714285715,131.53714285714287,0.8857142857142857,0.7892810311207227,0.6978698739313142,0.9011444580429006,81.79712621852582,104.92713256727168,23.13000634874588,0.1843264662478921
7,QB,2,developmental,"(0.7, 0.8]",24,10,0.7485943566190277,234.375,179.46166666666667,0.875,0.8781763507484166,0.8251786269027649,0.93950348998264,62.0459515793045,85.51670938292943,23.47075780362493,0.0207549035473826
8,QB,2,developmental,"(0.8, 0.9]",24,9,0.8546357291103135,289.25416666666666,240.42,0.9166666666666666,0.9062939969754952,0.8537258879059472,0.9464727675730454,72.19228322554882,86.77612240878209,14.583839183233277,-0.0926947473674659
9,QB,2,developmental,"(0.9, 1.0]",29,10,0.9515988289266916,352.8172413793104,271.2979310344828,0.9655172413793104,0.7922641819539452,0.8264371525917271,0.9500516215288818,70.9470587134339,84.27123918333452,13.32418046990062,-0.0849078871576327
10,QB,2,established,"(-0.001, 0.1]",24,10,0.044161873681389,1.038333333333333,25.727500000000003,0.5416666666666666,106.84249048047776,14.11842105263158,0.2434791694126206,24.51772212074513,25.072337948595703,0.5546158278505717,-55.37822656026533
11,QB,2,established,"(0.1, 0.2]",28,10,0.1558376857732525,8.08,26.67214285714286,0.5357142857142857,7.001442400457241,3.702341137123746,0.387677726188001,20.13520913552145,20.93040749640144,0.79519836087999,1.9237766127768856
12,QB,2,established,"(0.2, 0.3]",24,10,0.2540934172771895,16.515,25.781666666666663,0.4166666666666667,3.6471236694645937,1.4827233250620349,0.3947590835231446,21.699063648381827,24.882258483485504,3.183194835103676,-0.419771457489812
13,QB,2,established,"(0.3, 0.4]",25,10,0.3520820568636186,33.370400000000004,31.8576,0.6,1.911626874901222,0.5907365223993926,0.4677206574079267,23.36893360107956,24.32410222855792,0.9551686274783644,-0.0234920100281775
14,QB,2,established,"(0.4, 0.5]",25,10,0.4555348509514438,64.66799999999999,53.5224,0.68,1.508829822669837,0.4682255845942228,0.6340058732622771,40.65162019084373,54.84147714036648,14.189856949522746,-0.0642997009759133
15,QB,2,established,"(0.5, 0.6]",19,9,0.5488095041662789,100.75263157894736,80.4757894736842,0.7894736842105263,1.0229291693078528,0.4022301413955627,0.6993851881033307,56.05452124291154,66.43888466140918,10.384363418497646,0.0195383733014577
16,QB,2,established,"(0.6, 0.7]",21,9,0.6460102062236812,178.74,100.22190476190475,0.8571428571428571,0.675573675726153,0.4757429159436641,0.8716523558517065,70.98566330912152,87.65767999534657,16.672016686225064,0.266950497790141
17,QB,2,established,"(0.7, 0.8]",26,10,0.755746493633154,240.17923076923077,155.14692307692306,0.9615384615384616,0.6493083614730799,0.6572669709910175,0.9317240390290208,57.15563449985373,88.15101665904982,30.99538215919607,0.1566395844236856
18,QB,2,established,"(0.8, 0.9]",17,9,0.8502696255008535,285.37529411764706,258.29411764705884,1.0,0.9055268592079172,0.979449762366959,0.9347802706719944,68.60396965360779,100.92911724708468,32.325147593476885,-0.1303508107240415
19,QB,2,established,"(0.9, 1.0]",22,9,0.9502999396811233,347.38272727272727,257.36727272727273,0.9545454545454546,0.7706869997629064,0.7879677574334063,0.9388916731814178,61.278461663921775,76.72739220435164,15.448930540429888,-0.0243214599436774
20,QB,2,veteran,"(-0.001, 0.1]",21,10,0.0520616557585572,1.6333333333333333,1.6866666666666668,0.2857142857142857,4.700471007092012,2.275613275613276,0.1512997426192575,1.792438438496286,2.348472893016562,0.5560344545202759,25.16436643489345
21,QB,2,veteran,"(0.1, 0.2]",16,10,0.1466251592103188,6.8475,3.51625,0.1875,2.9272780901401827,0.4022801302931597,0.1683905207737491,3.566540919822648,3.765531863748688,0.1989909439260406,0.5701041205494791
22,QB,2,veteran,"(0.2, 0.3]",11,8,0.2468101028085152,16.21272727272727,27.567272727272726,0.5454545454545454,3.4316539914418684,1.0771916890834805,0.2078134309447253,23.022090675321262,25.09721341474631,2.0751227394250558,-1.0184201384061586
23,QB,2,veteran,"(0.3, 0.4]",16,9,0.3399993818875931,29.03125,13.425,0.5,1.0142031804501164,0.6669506141001258,0.2573538538276665,10.9114315503892,11.937794264858782,1.02636271446958,0.8205410164293647
24,QB,2,veteran,"(0.4, 0.5]",18,9,0.44049470023581,57.62222222222221,27.011111111111116,0.4444444444444444,0.990874726412046,0.6752047498548874,0.3797960126304885,20.770173240095904,24.001236634215967,3.2310633941200617,-0.0382600804878676
25,QB,2,veteran,"(0.5, 0.6]",19,10,0.5429669727760914,115.16631578947369,91.07684210526315,0.6842105263157895,1.0831368628684486,0.9063081936685288,0.5822389562755086,52.01305679467644,63.95318855489628,11.940131760219842,-0.0078143545137298
26,QB,2,veteran,"(0.6, 0.7]",16,8,0.6563597453106595,184.8875,101.60500000000002,0.625,0.9509524364733866,0.8771969004958065,0.7729433374899404,62.00759076381563,79.08333333053668,17.075742566721043,0.0068056068700788
27,QB,2,veteran,"(0.7, 0.8]",20,10,0.748015881015631,238.589,146.19400000000002,0.7,0.8639360982390573,1.0565989290453024,0.8561006614063643,63.716515867958265,95.76125813546108,32.044742267502826,-0.10033180570963
28,QB,2,veteran,"(0.8, 0.9]",30,10,0.846672799925331,282.0253333333333,179.51466666666664,0.8666666666666667,0.7295290429375576,0.8254642909011691,0.8467183900779577,65.19413867638198,85.76925000620113,20.575111329819144,0.0091301713889799
29,QB,2,veteran,"(0.9, 1.0]",20,8,0.9472747373402216,338.954,222.21600000000004,0.8,0.8180186640485381,0.8442284006726037,0.8656092436130949,77.36171600320766,94.80279298358369,17.441076980376018,-0.1098019823792812
30,QB,3,developmental,"(-0.001, 0.1]",25,9,0.0556101077578261,1.32,13.0544,0.36,137.4157050536083,19.46666666666667,0.3059447368047037,12.087513997123528,16.447626950459163,4.360112953335634,82.92572572841547
31,QB,3,developmental,"(0.1, 0.2]",25,9,0.1518511971458222,6.316,41.54879999999999,0.36,21.749313992239973,11.900332225913624,0.3276242594308234,34.94430367089989,37.77198105820082,2.827677387300922,-7.874543141396326
32,QB,3,developmental,"(0.2, 0.3]",32,9,0.2487301032346581,14.505625,17.261875,0.3125,4.288999979199824,1.6888991091938474,0.430152872164702,18.335242819787467,23.619888469194866,5.284645649407393,2.7902504290611105
33,QB,3,developmental,"(0.3, 0.4]",29,9,0.3508403617175037,28.88137931034483,34.49172413793103,0.4137931034482758,3.092588493699349,2.116137326766021,0.4418791421663977,27.88656578373468,31.923718496726643,4.037152712991959,-0.1016605370233348
34,QB,3,developmental,"(0.4, 0.5]",29,9,0.4528554105804198,62.88827586206897,44.68482758620691,0.4827586206896552,1.659683219103428,0.4974289658235675,0.5942212670761905,42.76887406796021,55.79072570592508,13.021851637964843,0.0915812395801562
35,QB,3,developmental,"(0.5, 0.6]",28,9,0.5584730440826141,121.50357142857143,69.36928571428572,0.6428571428571429,0.8564106497198687,0.5891566326518467,0.739506162451877,55.11330919198648,62.44631373969853,7.333004547712055,0.3125034341565693
