index,position,horizon,career_stage,omitted_origin,n,crps_gain_current_vs_alt
117,WR,2,developmental,2017,1209,4.2574549304599545
118,WR,2,developmental,2018,1209,4.410139453623331
119,WR,2,developmental,2019,1203,4.303974585470349
120,WR,2,developmental,2020,1194,4.333153740198092
121,WR,2,developmental,2021,1201,4.014442289862711
122,WR,2,developmental,2022,1208,4.197291963506357
123,WR,2,developmental,2023,1226,4.289812995219174
124,WR,2,established,2014,614,4.346937785969086
125,WR,2,established,2015,615,4.210196306658835
126,WR,2,established,2016,614,4.280976705119473
127,WR,2,established,2017,614,3.949633361460688
128,WR,2,established,2018,605,4.0963861726131725
129,WR,2,established,2019,610,4.157778821910576
130,WR,2,established,2020,620,4.048802569542935
131,WR,2,established,2021,597,4.349166795842971
132,WR,2,established,2022,598,4.195186522205506
133,WR,2,established,2023,597,4.452816653857241
134,WR,2,veteran,2014,118,1.2537805580823806
135,WR,2,veteran,2015,119,1.082278728518098
136,WR,2,veteran,2016,126,1.2763952799350538
137,WR,2,veteran,2017,125,1.4989373230790193
138,WR,2,veteran,2018,123,1.2849057927857974
139,WR,2,veteran,2019,123,1.3733290678270742
140,WR,2,veteran,2020,120,1.5082412808109382
141,WR,2,veteran,2021,119,1.165483790445565
142,WR,2,veteran,2022,122,1.575313531422508
143,WR,2,veteran,2023,120,1.0210670808609226
144,WR,3,developmental,2014,1106,3.485458587035001
145,WR,3,developmental,2015,1098,3.449804620648609
146,WR,3,developmental,2016,1094,3.45293180227724
147,WR,3,developmental,2017,1090,3.4807971501259614
148,WR,3,developmental,2018,1090,3.5236321652294555
149,WR,3,developmental,2019,1084,3.639570606995411
150,WR,3,developmental,2020,1075,3.365325800418325
151,WR,3,developmental,2021,1082,3.280555271111801
152,WR,3,developmental,2022,1089,3.518584449024393
153,WR,3,established,2014,535,3.092538434846869
154,WR,3,established,2015,536,2.9935347238675307
155,WR,3,established,2016,535,2.878958594959986
156,WR,3,established,2017,535,2.739234690933196
157,WR,3,established,2018,526,3.0731993387707432
158,WR,3,established,2019,531,2.8926925119026974
159,WR,3,established,2020,541,2.9309598033427293
160,WR,3,established,2021,518,3.226190034447346
161,WR,3,established,2022,519,2.934038195985177
162,WR,3,veteran,2014,103,-0.0003740442798393
163,WR,3,veteran,2015,104,-0.1775478536606438
164,WR,3,veteran,2016,111,-0.2292151445375331
165,WR,3,veteran,2017,110,-0.1485492059219579
166,WR,3,veteran,2018,108,-0.165307353583395
167,WR,3,veteran,2019,108,-0.0421718653802293
168,WR,3,veteran,2020,105,-0.1166367448741925
169,WR,3,veteran,2021,104,-0.0600986377120911
170,WR,3,veteran,2022,107,-0.2423992523244023
171,TE,2,developmental,2014,632,2.811095267392072
172,TE,2,developmental,2015,634,2.8103734756381664
173,TE,2,developmental,2016,626,2.854647037356344
174,TE,2,developmental,2017,633,2.8127987861289427
175,TE,2,developmental,2018,625,2.926550240344929
176,TE,2,developmental,2019,631,2.8555067394805307
177,TE,2,developmental,2020,626,2.7850946290418097
178,TE,2,developmental,2021,635,3.0372779101265257
179,TE,2,developmental,2022,631,2.867766000407244
180,TE,2,developmental,2023,636,2.959092741261353
181,TE,2,established,2014,386,2.749112176117575
182,TE,2,established,2015,390,3.012765982315402
183,TE,2,established,2016,390,3.0091341325754417
184,TE,2,established,2017,387,2.9439050811865317
185,TE,2,established,2018,385,2.8040812659986782
186,TE,2,established,2019,381,3.00441446840012
187,TE,2,established,2020,388,2.9406899807525
188,TE,2,established,2021,374,2.878230556324383
189,TE,2,established,2022,382,3.0704951429229914
190,TE,2,established,2023,380,3.0899718859999608
191,TE,2,veteran,2014,72,1.6661383106533547
192,TE,2,veteran,2015,66,1.6566258529776652
193,TE,2,veteran,2016,68,1.9436649001635256
194,TE,2,veteran,2017,66,1.8498691718348144
195,TE,2,veteran,2018,68,2.02313561275982
196,TE,2,veteran,2019,68,2.076393151692415
197,TE,2,veteran,2020,66,1.5258865982987198
198,TE,2,veteran,2021,68,1.7019895899365145
199,TE,2,veteran,2022,71,1.841819267991425
200,TE,2,veteran,2023,71,1.2310183266780073
201,TE,3,developmental,2014,567,2.4437523450574457
202,TE,3,developmental,2015,569,2.4562168157284767
203,TE,3,developmental,2016,561,2.5329886465633487
204,TE,3,developmental,2017,568,2.688461617370334
205,TE,3,developmental,2018,560,2.6907292384025028
206,TE,3,developmental,2019,566,2.572646517786009
207,TE,3,developmental,2020,561,2.60970655041146
208,TE,3,developmental,2021,570,2.709110955158952
209,TE,3,developmental,2022,566,2.6165829135982914
210,TE,3,established,2014,339,1.9949956692427613
211,TE,3,established,2015,343,2.1427294970719446
