position,horizon,career_stage,route,curve_mode,t,source_points,source_percentile,state_percentile,active_probability,conditional_points,expected_points,premium_mean,elite_mean
QB,2,developmental,D1,magnitude_only,0.00,3.5100000000000007,0.45081967213114754,0.75,0.45291738517530544,101.07803585966995,45.77999970021747,98.9339034444067,242.9637771722953
QB,2,developmental,D1,joint_evidence,0.00,3.5100000000000007,0.09344262295081969,0.155,0.45291738517530544,56.265434996363744,25.48359369430419,88.0350988256466,219.06192858941472
QB,2,developmental,D1,magnitude_only,0.05,18.3501,0.45081967213114754,0.75,0.5708543349131505,113.8097000484927,64.96876062784746,101.8056301284463,244.28244973862627
QB,2,developmental,D1,joint_evidence,0.05,18.3501,0.13295081967213115,0.19208333333333333,0.5708543349131505,68.23123675226184,38.95009727651414,92.11169335974179,223.02296148073384
QB,2,developmental,D1,magnitude_only,0.10,33.190200000000004,0.45081967213114754,0.75,0.6141040791769254,117.58041289892273,72.20661119253563,102.9280590080059,244.797859571797
QB,2,developmental,D1,joint_evidence,0.10,33.190200000000004,0.17245901639344263,0.22916666666666663,0.6141040791769254,74.31302119091956,45.635929449305,94.43899008935699,226.18073163889272
QB,2,developmental,D1,magnitude_only,0.15,48.0303,0.45081967213114754,0.75,0.6397897693086756,119.13346983873443,76.22037518506596,103.63889085267368,245.12426753326753
QB,2,developmental,D1,joint_evidence,0.15,48.0303,0.21196721311475408,0.26625,0.6397897693086756,78.95137775039764,50.512283757529005,96.35468978408034,229.1494999253514
QB,2,developmental,D1,magnitude_only,0.20,62.870400000000004,0.45081967213114754,0.75,0.6575422934167937,119.64853409449752,78.67397151245333,104.16026871923307,245.36367983289375
QB,2,developmental,D1,joint_evidence,0.20,62.870400000000004,0.2514754098360656,0.3033333333333333,0.6575422934167937,82.91304222748524,54.51883194042411,98.08093550069532,232.03127254996588
QB,2,developmental,D1,magnitude_only,0.25,77.71050000000001,0.45081967213114754,0.75,0.67080274906537,119.55987154152307,80.20109050795617,104.57221769919954,245.5528433147909
QB,2,developmental,D1,joint_evidence,0.25,77.71050000000001,0.29098360655737704,0.3404166666666666,0.67080274906537,86.46154128361545,57.998639581478216,99.69775233071738,234.86279635685116
QB,2,developmental,D1,magnitude_only,0.30,92.5506,0.45081967213114754,0.75,0.681188893576499,119.07704856656217,81.11396296341152,104.9127981945899,245.70923499314756
QB,2,developmental,D1,joint_evidence,0.30,92.5506,0.3304918032786885,0.37749999999999995,0.681188893576499,89.73914659077052,61.12930997666622,101.24320067616333,237.66154836019604
QB,2,developmental,D1,magnitude_only,0.35,107.39070000000001,0.45081967213114754,0.75,0.6895871553480996,118.31772066452744,81.59038042032253,105.2031253094699,245.8425507448805
