index,horizon,candidate,subset,metric,gain_mean,ci_low,ci_high,n
0,2,S1,full,crps,1.010101533078781,0.3407539080522109,1.6866763659162147,213
1,2,S1,full,brier4,0.01016807300679,-0.0075452390085703,0.0331374296380014,213
2,2,S1,sub_p90,crps,0.6086617132792488,0.1391757985804541,1.050054076642548,199
3,2,S1,sub_p90,brier4,0.0056129408988543,-0.0120062982722848,0.0231754710604467,199
4,2,S1,p90_plus,crps,6.716281828800705,2.422297603302909,11.98986924040648,14
5,2,S1,p90_plus,brier4,0.0749160222553045,-0.0929840974415414,0.2579124057837442,14
6,2,S1,p95_plus,crps,9.250154566838727,4.637946640641406,14.129435295894496,6
7,2,S1,p95_plus,brier4,0.1664735864973845,-0.1283906237459183,0.7297375666769048,6
8,2,S2,full,crps,1.0088089216879148,0.3715018789239774,1.7431851827782152,213
9,2,S2,full,brier4,0.0100772336025285,-0.0073289354822422,0.032513351807393,213
10,2,S2,sub_p90,crps,0.6092976538488325,0.107947140992572,1.074821000800716,199
11,2,S2,sub_p90,brier4,0.0057651783286984,-0.010921449255127,0.0227460269524113,199
12,2,S2,p90_plus,crps,6.6875762288291565,2.491458951421899,11.899369709598822,14
13,2,S2,p90_plus,brier4,0.0713700192805417,-0.0895525707579496,0.2526239439380845,14
14,2,S2,p95_plus,crps,9.311109732325477,4.61558396306643,13.95593935731718,6
15,2,S2,p95_plus,brier4,0.1659054753250558,-0.1118309781765004,0.705092810069319,6
16,3,S1,full,crps,0.5133238963546701,0.1603671583897634,0.876344437382243,213
17,3,S1,full,brier4,0.0014041608725743,-0.0150354680073141,0.0201452771276156,213
18,3,S1,sub_p90,crps,0.4498448781715814,0.1107888940658199,0.8000047918621764,199
19,3,S1,sub_p90,brier4,0.004059635608537,-0.0096924149539442,0.0193287992395622,199
20,3,S1,p90_plus,crps,1.4156327976714316,-1.8421066220153084,3.783692865268376,14
21,3,S1,p90_plus,brier4,-0.0363415157314667,-0.1962409730889394,0.1631784804556335,14
22,3,S1,p95_plus,crps,0.1176128397767459,-6.990052653354532,3.4053313606707176,6
23,3,S1,p95_plus,brier4,-0.0321569044190819,-0.1863760076627989,0.4792977636266156,6
24,3,S2,full,crps,0.504605869176307,0.1283512730035935,0.8513936888287204,213
25,3,S2,full,brier4,0.001368299051666,-0.0147702436619588,0.0194532716977307,213
26,3,S2,sub_p90,crps,0.4479397986191161,0.1288984850731873,0.8315494343004792,199
27,3,S2,sub_p90,brier4,0.0042129955457292,-0.0111340165325866,0.0187972800395143,199
28,3,S2,p90_plus,crps,1.3100735863820898,-2.371450171735896,3.982515433776821,14
29,3,S2,p90_plus,brier4,-0.0390670296853751,-0.1924580507203352,0.1769272848720704,14
30,3,S2,p95_plus,crps,0.0721410868548287,-7.277590540172696,3.637906335215111,6
31,3,S2,p95_plus,brier4,-0.0275386892519048,-0.1940107592831181,0.4869937504668462,6
