index,horizon,subset,candidate,n,crps,brier4,logloss4,survivor_brier,downside_brier,cover_10_90,cover_25_75,width_10_90,width_25_75,pit_mean,pit_var,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,max_abs_mean_diff_vs_d1,ess_min_material_min,ess_weighted_p10
0,2,full,D1,773,25.71467787631929,0.6540087310099323,2.9099003222844124,0.2350289319408914,0.2393234592366762,0.8421733505821475,0.6416558861578266,97.9688631668107,53.03338372215292,0.4850103577232623,0.0811071465738498,0.3454075032341526,0.1578266494178525,0.1086675291073738,0.3880983182406209,0.367152792931996,0.1075274888423679,0.1027613033063603,0.4225584149192756,8.526512829121202e-14,,
1,2,full,S1,773,24.46274958086502,0.6375878495836483,1.191780047072076,0.2342452594973594,0.2351929096004527,0.8589909443725744,0.6429495472186287,104.98286594104673,53.809643806323486,0.4946002764183247,0.0765576854334677,0.3454075032341526,0.1578266494178525,0.1086675291073738,0.3880983182406209,0.367152792931996,0.1205886153629631,0.1062717964523333,0.4059867952527075,1.4210854715202006e-13,,
2,2,full,S2,773,24.47024373465785,0.6379940730144679,1.1956248138855694,0.234481207998644,0.234871796295644,0.8615782664941786,0.6416558861578266,105.06489412348353,54.06433495959868,0.4944061271861205,0.0764541892939288,0.3454075032341526,0.1578266494178525,0.1086675291073738,0.3880983182406209,0.367152792931996,0.1201881128033913,0.1064897847430682,0.4061693095215444,1.4210854715202006e-13,17.83060007038896,47.69108176131244
3,2,lt_p75,D1,584,18.324812093734387,0.6374382616442154,2.756998205969067,0.2332299782122831,0.2420368134610689,0.8886986301369864,0.7003424657534246,74.88402353243268,35.24334887960712,0.4955407680663791,0.0735140902244135,0.4263698630136986,0.1301369863013698,0.0770547945205479,0.3664383561643836,0.453014657618666,0.081831250631242,0.0708291694379612,0.3943249223121308,4.263256414560601e-14,,
4,2,lt_p75,S1,584,17.933960001149437,0.6246886865286627,1.1767173159358335,0.2309217327007193,0.2396444376682975,0.8835616438356164,0.6986301369863014,73.23108623033225,35.86915149142024,0.50039267322434,0.0722190152657713,0.4263698630136986,0.1301369863013698,0.0770547945205479,0.3664383561643836,0.453014657618666,0.0928987330742736,0.0729534186427967,0.3811331906642636,5.684341886080803e-14,,
5,2,lt_p75,S2,584,17.936318003929575,0.6249755382043002,1.1813805200718346,0.2311749955794151,0.2395482222666006,0.8852739726027398,0.6934931506849316,73.19735494319634,35.88489984068172,0.5003262404461215,0.0721779615426288,0.4263698630136986,0.1301369863013698,0.0770547945205479,0.3664383561643836,0.453014657618666,0.0921429717740304,0.0734595504170602,0.3813828201902434,2.8421709430404014e-14,20.93956380792361,43.68337473345738
6,2,p75_p90,D1,110,47.01163951580868,0.7189837084652511,3.135667281613107,0.2228901261003378,0.2633975650440237,0.7363636363636363,0.4636363636363636,175.1298636654795,114.21361439220156,0.4299812577073534,0.0980730720821979,0.1545454545454545,0.2636363636363636,0.1636363636363636,0.4181818181818181,0.1264418872240022,0.1997721225623308,0.1580871620420721,0.515698828171595,5.684341886080803e-14,,
7,2,p75_p90,S1,110,43.81892818311493,0.7049039889563189,1.3106343903014366,0.2397779706004995,0.249649798382799,0.7818181818181819,0.4454545454545454,192.53412227239437,110.03948588129384,0.4400724262995794,0.0925713818714158,0.1545454545454545,0.2636363636363636,0.1636363636363636,0.4181818181818181,0.1264418872240022,0.2051745435665805,0.1720025247974471,0.49638104441197,1.1368683772161605e-13,,
8,2,p75_p90,S2,110,43.845620936498776,0.7059217162552749,1.314462534425866,0.2399703137149006,0.2485203310840626,0.7909090909090909,0.4636363636363636,192.58475433808024,110.97581552921224,0.4401386101065423,0.0923039405007969,0.1545454545454545,0.2636363636363636,0.1636363636363636,0.4181818181818181,0.1264418872240022,0.2089201389934608,0.1647787281468623,0.4998592456356744,8.526512829121202e-14,21.848402517464727,75.52264803233368
9,2,p90_p95,D1,38,50.88334994811245,0.656875664587703,1.1804969074895864,0.2574549632283069,0.1713188814943455,0.7368421052631579,0.4736842105263157,163.07200478980965,99.03898393440018,0.4555554150042166,0.0933268931327142,0.0,0.2105263157894736,0.2894736842105263,0.5,0.0689248739358069,0.106093982405911,0.2647043802095984,0.5602767634486836,8.526512829121202e-14,,
10,2,p90_p95,S1,38,45.39448482857985,0.6526831836008931,1.1609161403679942,0.2545719184698423,0.1740337020059008,0.7894736842105263,0.5526315789473685,214.0197833937148,113.08694330013738,0.4865402289616063,0.0793880758463733,0.0,0.2105263157894736,0.2894736842105263,0.5,0.0689248739358069,0.2078754524765301,0.1652480574365009,0.5579516161511622,1.1368683772161605e-13,,
