index,horizon,block,candidate,n,crps,mae,brier4,logloss4,survivor_brier,downside_brier,cover_10_90,cover_25_75,width_10_90,pit_mean,pit_var,max_abs_mean_diff,ess_min_material_min,ess_weighted_p10
0,2,early,D1,329,24.892538715980542,36.7211265797311,0.666381223013099,2.968251225740544,0.2451419052389031,0.250800467318253,0.8449848024316109,0.6352583586626139,99.10134575054698,0.4643120573550358,0.0837965789089588,5.684341886080803e-14,,
1,2,early,S1,329,23.572705740520146,36.7211265797311,0.6430667557522703,1.1581939663464802,0.23601290014345,0.2478498909732548,0.8541033434650456,0.6322188449848024,102.95365071354811,0.4726698448881642,0.0805578449431027,1.4210854715202006e-13,,
2,2,early,S2,329,23.58210413813664,36.7211265797311,0.6435011191791543,1.1596047811305947,0.2361303099399509,0.2474907519591173,0.8541033434650456,0.6322188449848024,103.00021124161918,0.4725685512355774,0.0806415514448856,1.1368683772161605e-13,17.83060007038896,37.75513354785009
3,2,mid,D1,219,27.23129353161327,38.60976053995663,0.5960016605521646,1.9447405536916391,0.2170530456562008,0.2222627037910839,0.8401826484018264,0.6484018264840182,95.96939263372124,0.4844833832122178,0.0780050737994227,8.526512829121202e-14,,
4,2,mid,S1,219,25.86981343964944,38.60976053995663,0.5893649565511507,1.069480232695527,0.223937200006296,0.2189810372172877,0.8493150684931506,0.639269406392694,104.48289879417052,0.4970953016045484,0.0749160352357442,8.526512829121202e-14,,
5,2,mid,S2,219,25.88168517143488,38.60976053995663,0.5896412994777638,1.0667138429932088,0.2243171102017642,0.2184749506571961,0.8584474885844748,0.6438356164383562,104.56063750663496,0.4970173062620767,0.0745814741965219,1.4210854715202006e-13,35.96403898369411,53.98556751293494
6,2,validation,D1,225,25.44065545517291,36.79032011504225,0.6923776135041957,3.7640005093277455,0.2377380469688974,0.2391473249422136,0.84,0.6444444444444445,98.25907328546565,0.5157887943413303,0.0793311476372283,5.684341886080803e-14,,
7,2,validation,S1,225,24.39464930708581,36.79032011504225,0.6765134204487167,1.359928846659566,0.2416937539683776,0.2324651459571693,0.8755555555555555,0.6622222222222223,108.43666422999308,0.5242389495633906,0.0713866921517306,1.1368683772161605e-13,,
8,2,validation,S2,225,24.39509819066368,36.79032011504225,0.6770049139760514,1.3737674512269642,0.2419629096823183,0.232379675324699,0.8755555555555555,0.6533333333333333,108.5747290889199,0.5237959683865395,0.0712531724854878,5.684341886080803e-14,46.92976444388081,66.66903622793305
9,3,early,D1,329,21.593795260488942,34.52607719655221,0.6208391853982732,2.5267064417447345,0.2018691799329836,0.2387787580639919,0.905775075987842,0.7203647416413373,100.99070373870268,0.4591145289846036,0.0708199036198362,5.684341886080803e-14,,
10,3,early,S1,329,20.57117546209841,34.52607719655221,0.5994864223401114,1.07262313018601,0.1975923252279469,0.2312751765008574,0.9088145896656536,0.7203647416413373,100.05380983823213,0.4597162475464923,0.0688346874975205,5.684341886080803e-14,,
11,3,early,S2,329,20.57623850653963,34.52607719655221,0.5995805493677573,1.072228107444263,0.1979971677884879,0.2312960161397826,0.9088145896656536,0.7173252279635258,100.54229798538942,0.4598760496306888,0.0688839871963314,8.526512829121202e-14,6.980897534654498,21.746577219670463
12,3,mid,D1,219,24.131002973672373,36.76612410917179,0.6293099416216063,2.5813946180980927,0.2064504187618566,0.2305508496834798,0.863013698630137,0.7442922374429224,97.71836104107,0.4986201123879025,0.0649040985727379,5.684341886080803e-14,,
13,3,mid,S1,219,23.54045141497453,36.76612410917179,0.607014351435411,1.100012949286195,0.2066813492646158,0.2215148242643847,0.8858447488584474,0.7077625570776256,102.60229364987843,0.5115552380367043,0.0651807783483449,1.1368683772161605e-13,,
14,3,mid,S2,219,23.53865484811101,36.76612410917179,0.6069766875026591,1.1030531763965268,0.2066002472281183,0.2212841722371354,0.8858447488584474,0.7123287671232876,103.23346634418772,0.5111781640616017,0.0649994343724112,5.684341886080803e-14,13.927174155104936,34.51785401445138
15,3,validation,D1,225,23.75478466795044,37.00114711305327,0.6677084428898972,3.745560675147632,0.2041401754105085,0.2335249260591119,0.8755555555555555,0.7066666666666667,98.59696040459986,0.5091324993526359,0.0703801967556074,5.684341886080803e-14,,
16,3,validation,S1,225,23.03696813867289,37.00114711305327,0.6517445823656254,1.260005122875587,0.2046012799544657,0.2293331865865157,0.9155555555555556,0.6933333333333334,103.65367438574204,0.5155530383995475,0.0666458384647363,7.105427357601003e-14,,
17,3,validation,S2,225,23.04853944346919,37.00114711305327,0.6514603076664633,1.2601325621192458,0.2044964826357811,0.2295865964876515,0.9155555555555556,0.6933333333333334,104.42670868793324,0.5154822433604676,0.066561685927848,5.684341886080803e-14,16.772908867285235,42.91075739748892
