index,block,horizon,training_cutoff,state,n,source_season_min,source_season_max,target_points_mean,target_points_sd,source_percentile_min,source_percentile_max
0,early,2,2013,depth,67,2005,2011,2.8716417910447767,1.5059282821417224,0.002906976744186,0.8771428571428571
1,early,2,2013,usable,70,2005,2011,10.79314285714286,3.305934734995488,0.0091463414634146,0.9628571428571427
2,early,2,2013,starter,97,2005,2011,30.336494845360825,8.340490098663906,0.0228571428571428,0.9971428571428572
3,early,2,2013,premium,108,2005,2011,83.59055555555554,25.02689595582721,0.0398773006134969,0.9913294797687862
4,early,2,2013,elite,112,2005,2011,189.7625,49.15688076990877,0.1695402298850574,0.997093023255814
5,early,3,2013,depth,38,2005,2010,3.121052631578947,1.4334154816734035,0.0520231213872832,0.9023668639053254
6,early,3,2013,usable,49,2005,2010,11.769795918367349,3.603221064660941,0.002906976744186,0.9628571428571427
7,early,3,2013,starter,64,2005,2010,30.11125,8.188885130623074,0.0228571428571428,0.9563953488372092
8,early,3,2013,premium,83,2005,2010,78.3720481927711,24.34218198523968,0.0201149425287356,0.9969325153374232
9,early,3,2013,elite,86,2005,2010,186.28627906976743,47.63190786823747,0.0398773006134969,0.9971428571428572
10,mid,2,2016,depth,89,2005,2014,2.6595505617977526,1.5313926446452406,0.002906976744186,0.8771428571428571
11,mid,2,2016,usable,103,2005,2014,10.740970873786408,3.280751203600733,0.0088235294117647,0.9628571428571427
12,mid,2,2016,starter,143,2005,2014,29.677902097902106,8.039812804662162,0.0209580838323353,0.9971428571428572
13,mid,2,2016,premium,173,2005,2014,80.21491329479768,24.017920383671687,0.0029940119760479,0.9913294797687862
14,mid,2,2016,elite,142,2005,2014,187.3042253521127,48.01076680847233,0.1617647058823529,0.997093023255814
15,mid,3,2016,depth,60,2005,2013,2.7,1.5157925711138935,0.0088235294117647,0.9131736526946108
16,mid,3,2016,usable,71,2005,2013,11.290422535211269,3.471664663126206,0.002906976744186,0.9628571428571427
17,mid,3,2016,starter,101,2005,2013,29.32990099009901,8.033395109796293,0.0228571428571428,0.9610778443113772
18,mid,3,2016,premium,128,2005,2013,77.36937499999999,23.343669048495123,0.0029940119760479,0.9969325153374232
19,mid,3,2016,elite,113,2005,2013,185.6046017699115,47.5093784733115,0.0389221556886227,0.9971428571428572
20,validation,2,2018,depth,106,2005,2016,2.60377358490566,1.4921333100345442,0.002906976744186,0.8794117647058823
21,validation,2,2018,usable,129,2005,2016,10.64434108527132,3.2569790078770757,0.0088235294117647,0.9676470588235294
22,validation,2,2018,starter,172,2005,2016,29.74558139534884,8.321033815192074,0.0029411764705882,0.9971428571428572
23,validation,2,2018,premium,211,2005,2016,79.4842654028436,23.73942412760213,0.0029940119760479,0.9913294797687862
24,validation,2,2018,elite,168,2005,2016,186.08726190476187,49.60186993894462,0.1617647058823529,0.997093023255814
25,validation,3,2018,depth,71,2005,2015,2.708450704225352,1.4642156826753203,0.0088235294117647,0.9210526315789472
26,validation,3,2018,usable,90,2005,2015,11.153555555555556,3.358367484329291,0.002906976744186,0.9970760233918128
27,validation,3,2018,starter,125,2005,2015,29.55216,8.505849939894308,0.0228571428571428,0.9660493827160492
28,validation,3,2018,premium,158,2005,2015,76.8581012658228,23.164051743750104,0.0029940119760479,0.9969325153374232
29,validation,3,2018,elite,133,2005,2015,183.4422556390977,48.43703971224572,0.0389221556886227,0.9971428571428572
