index,horizon,subset,candidate,n,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,tail_abs_error,survivor_abs_error,downside_abs_error
0,3,full,D1,213,0.5070422535211268,0.1549295774647887,0.0798122065727699,0.2582159624413145,0.5095673508763174,0.1000172413360877,0.0883006947641342,0.3021147130234607,0.0962859893556565,0.0438987505821461,0.0523872387735103
1,3,full,S1,213,0.5070422535211268,0.1549295774647887,0.0798122065727699,0.2582159624413145,0.5095673508763174,0.1148404827067419,0.0763093751773817,0.2992827912395588,0.0786308262011004,0.0410668287982443,0.0375639974028561
2,3,full,S2,213,0.5070422535211268,0.1549295774647887,0.0798122065727699,0.2582159624413145,0.5095673508763174,0.1151637322430694,0.0764467939360364,0.2988221229445766,0.0778469083697907,0.0406061605032621,0.0372407478665286
3,3,p90+,D1,14,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.5,0.1384427344284061,0.2533429370203841,0.2567489968610275,0.3514653316901822,0.2546060540443223,0.1485346683098177,0.1060713857345045
4,3,p90+,S1,14,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.5,0.138442734428406,0.2874251904505596,0.2407475686293643,0.33338450649167,0.30676913267301,0.16661549350833,0.14015363916468
5,3,p90+,S2,14,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.5,0.1384427344284061,0.2900244337776937,0.2456850138322548,0.3258478179616454,0.3169050645301687,0.1741521820383545,0.1427528824918141
6,3,p95+,D1,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.139492211827039,0.2838441434268434,0.3015442674004312,0.2751193773456864,0.148216977908196,0.0582139559876468,0.0900030219205491
7,3,p95+,S1,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.139492211827039,0.2938092557617961,0.3026807668681184,0.2640177655430465,0.1692837020457886,0.0693155677902868,0.0999681342555018
8,3,p95+,S2,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.139492211827039,0.2969870930744564,0.3047955511286552,0.2587251439698494,0.177754160931646,0.0746081893634839,0.1031459715681621
9,3,sub_p90,D1,199,0.5376884422110553,0.1507537688442211,0.0703517587939698,0.2412060301507537,0.5356766203751655,0.0892305089763884,0.0764500604457598,0.2986428102026863,0.120971861755655,0.0574367800519325,0.0635350817037224
10,3,sub_p90,S1,199,0.5376884422110553,0.1507537688442211,0.0703517587939698,0.2412060301507537,0.5356766203751655,0.1026988449760211,0.0647408590551317,0.2968836755936817,0.1057443911470176,0.0556776454429279,0.0500667457040897
11,3,sub_p90,S2,199,0.5376884422110553,0.1507537688442211,0.0703517587939698,0.2412060301507537,0.5356766203751655,0.1028619743461612,0.0645405875111768,0.2969208177674965,0.1056184039506924,0.0557147876167427,0.0499036163339496
