index,horizon,block,candidate,n,crps,mae,brier4,logloss4,survivor_brier,downside_brier,cover_10_90,cover_25_75,width_10_90,pit_mean,pit_var,max_abs_mean_diff,ess_min_material_min,ess_weighted_p10
0,2,holdout,D1,213,20.66084744427301,31.36582424874031,0.6640569442246231,2.543601620783138,0.229306792805606,0.2431837191226879,0.8967136150234741,0.6525821596244131,88.25652756341356,0.4770107438954094,0.0739346558647696,5.684341886080803e-14,,
1,2,holdout,S1,213,19.65074591119423,31.36582424874031,0.653888871217833,1.1736665444766692,0.2279444185053965,0.2376181317179729,0.9107981220657276,0.6431924882629108,94.03562568786596,0.4884888676842601,0.0708654842406922,5.684341886080803e-14,,
2,2,holdout,S2,213,19.65203852258509,31.36582424874031,0.6539797106220945,1.174305284331501,0.2278030083721894,0.237244936935194,0.9061032863849764,0.6431924882629108,94.11132076766756,0.488313924792064,0.0708453389652714,8.526512829121202e-14,46.781398802820526,75.02305364436094
3,3,holdout,D1,213,21.472279835969367,34.03092005669329,0.5963373080583421,3.0459656614150097,0.1793439624142332,0.2031510069326727,0.8967136150234741,0.7183098591549296,89.6937806563243,0.4845397344649677,0.0680975788450937,5.684341886080803e-14,,
4,3,holdout,S1,213,20.958955939614697,34.03092005669329,0.5949331471857678,1.2896490676446817,0.1831076750590001,0.1982407245924564,0.92018779342723,0.7136150234741784,90.17530703231256,0.4911591777849537,0.0656112468644532,7.105427357601003e-14,,
5,3,holdout,S2,213,20.96767396679306,34.03092005669329,0.5949690090066762,1.291401990794995,0.1831437743446053,0.1983032921720758,0.92018779342723,0.7089201877934272,90.8120639054702,0.490961706318452,0.0655144877891502,5.684341886080803e-14,14.071451431279073,49.20054668330162
