index,candidate,horizon,block,crps_gain_D1_minus_candidate,brier4_gain_D1_minus_candidate,mae_gain_D1_minus_candidate
0,S1,2,early,1.3198329754604003,0.0233144672608286,0.0
1,S1,2,mid,1.361480091963834,0.0066367040010139,0.0
2,S1,2,validation,1.0460061480870984,0.015864193055479,0.0
3,S1,3,early,1.022619798390533,0.0213527630581618,0.0
4,S1,3,mid,0.5905515586978396,0.0222955901861952,0.0
5,S1,3,validation,0.7178165292775525,0.0159638605242717,0.0
6,S2,2,early,1.3104345778439104,0.0228801038339446,0.0
7,S2,2,mid,1.34960836017839,0.0063603610744008,0.0
8,S2,2,validation,1.0455572645092277,0.0153726995281442,0.0
9,S2,3,early,1.0175567539493109,0.0212586360305159,0.0
10,S2,3,mid,0.5923481255613616,0.0223332541189471,0.0
11,S2,3,validation,0.706245224481254,0.0162481352234338,0.0
