index,phase,horizon,candidate,crps_gain_vs_D1,crps_ci_low,crps_ci_high,mae_gain_vs_D1,mae_ci_low,mae_ci_high,high_source_reference,high_source_active_n,high_source_d1_mean_bias,high_source_candidate_mean_bias
0,selection_2014_2020,2,D1H90,0.0398992872144379,-0.1892134298437549,0.3142168606979849,0.3176097925605752,0.0413012605259369,0.6308783398967899,old >225.5,25,0.0088922059857508,0.0581216135558996
1,selection_2014_2020,3,D1H90,0.205965042753923,0.0229172978231383,0.4345689865707882,0.3586126204929223,0.0917765044526259,0.63273664687609,old >225.5,25,-0.1256649091677378,-0.0817397154726205
2,locked_2021_2022,2,D1H90,-0.0063294214157628,-0.2103962849760857,0.2161894675357013,0.0496358835434901,-0.2544372229275567,0.3395654845063454,old >225.5,3,,
3,locked_2021_2022,3,D1H90,0.0979040549855102,-0.0830989591566867,0.3485391023684269,0.1317513238090922,-0.1220539156670051,0.4152292675142432,old >225.5,3,,
