index,horizon,subset,candidate,n,crps,brier4,logloss4,survivor_brier,downside_brier,cover_10_90,cover_25_75,width_10_90,width_25_75,pit_mean,pit_var,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,max_abs_mean_diff_vs_d1,ess_min_material_min,ess_weighted_p10
0,2,full,D1,213,20.66084744427301,0.6640569442246231,2.543601620783138,0.229306792805606,0.2431837191226879,0.8967136150234741,0.6525821596244131,88.25652756341356,46.52109417835514,0.4770107438954094,0.0739346558647696,0.3755868544600939,0.1877934272300469,0.0704225352112676,0.3661971830985915,0.4042696146107881,0.1078816266930581,0.1035748081546446,0.3842739505415091,5.684341886080803e-14,,
1,2,full,S1,213,19.65074591119423,0.653888871217833,1.1736665444766692,0.2279444185053965,0.2376181317179729,0.9107981220657276,0.6431924882629108,94.03562568786596,47.327540818352055,0.4884888676842601,0.0708654842406922,0.3755868544600939,0.1877934272300469,0.0704225352112676,0.3661971830985915,0.4042696146107881,0.1242768580128895,0.0951760567002048,0.3762774706761175,5.684341886080803e-14,,
2,2,full,S2,213,19.65203852258509,0.6539797106220945,1.174305284331501,0.2278030083721894,0.237244936935194,0.9061032863849764,0.6431924882629108,94.11132076766756,47.506818916045695,0.488313924792064,0.0708453389652714,0.3755868544600939,0.1877934272300469,0.0704225352112676,0.3661971830985915,0.4042696146107881,0.1246458169972211,0.095111393593548,0.3759731747984428,8.526512829121202e-14,46.781398802820526,75.02305364436094
3,2,lt_p75,D1,166,14.39673976822577,0.6589545910705304,2.605215307193988,0.225148116524456,0.2433947691309066,0.9216867469879518,0.6987951807228916,64.80163202762552,29.526469497625275,0.4839348491645231,0.069568680963919,0.4518072289156626,0.1746987951807229,0.0421686746987951,0.3313253012048193,0.4908794292666549,0.0861415215729562,0.0644085913358556,0.3585704578245332,2.8421709430404014e-14,,
4,2,lt_p75,S1,166,14.016734287600006,0.650279514544575,1.1524121816743873,0.2217720438819085,0.2421577982987154,0.9156626506024096,0.6867469879518072,63.80678780400536,29.77985021393298,0.4910224321215008,0.0682585206092193,0.4518072289156626,0.1746987951807229,0.0421686746987951,0.3313253012048193,0.4908794292666549,0.0966198902522254,0.0661043010150465,0.3463963794660732,2.8421709430404014e-14,,
5,2,lt_p75,S2,166,14.019362879758267,0.6507103070677882,1.154120370553093,0.2217049331059929,0.2421094717851409,0.9156626506024096,0.6867469879518072,63.86824173050621,29.818125707262507,0.491102831339306,0.0682481306440109,0.4518072289156626,0.1746987951807229,0.0421686746987951,0.3313253012048193,0.4908794292666549,0.0964765074949043,0.0665016732408154,0.3461423899976254,2.131628207280301e-14,53.28810316976012,72.69297706881837
6,2,p75_p90,D1,33,43.35540431065053,0.7017184061136498,2.053638238427503,0.2332870367285972,0.2613267391870155,0.7575757575757576,0.4242424242424242,173.41900689169017,110.33973167925669,0.478970994064082,0.1074837906842499,0.1515151515151515,0.2424242424242424,0.1515151515151515,0.4545454545454545,0.1119320270237684,0.198092274867487,0.2187371295124833,0.4712385685962613,5.684341886080803e-14,,
7,2,p75_p90,S1,33,41.59653245735679,0.7115089353390012,1.3472247671184776,0.2551495948451444,0.2468621735680547,0.8787878787878788,0.4242424242424242,192.48148053731956,108.22247348614384,0.4872789991521922,0.0938528595961843,0.1515151515151515,0.2424242424242424,0.1515151515151515,0.4545454545454545,0.1119320270237684,0.2232240416119352,0.1751379462942431,0.4897059850700532,5.684341886080803e-14,,
8,2,p75_p90,S2,33,41.57947492791378,0.7084238805695351,1.3409775310101844,0.2541129241777481,0.2437955787560441,0.8484848484848485,0.4242424242424242,191.8503081916684,108.95420232334956,0.4861811632694658,0.0942764176242255,0.1515151515151515,0.2424242424242424,0.1515151515151515,0.4545454545454545,0.1119320270237684,0.2282859781653837,0.1683586012417814,0.4914233935690664,8.526512829121202e-14,46.781398802820526,149.58588787709104
9,2,p90_p95,D1,8,28.039852799531957,0.438753428520177,0.8385231008518527,0.1901864005286504,0.1313311534819667,1.0,0.875,169.33467180248755,104.612369776839,0.4091850776812873,0.0111488326320634,0.0,0.125,0.125,0.75,0.0667174600309859,0.1451126751551831,0.2380512717973358,0.5501185930164951,5.684341886080803e-14,,
