player_id,source_season,position,age,leverage,observations
00-0029567,2014,QB,25.6131200503775,169.14994191155395,2
00-0030565,2015,QB,24.8930505075395,165.23388018110842,2
00-0030526,2014,QB,24.4549853864213,163.91587958743963,2
00-0033869,2019,QB,25.0326837648959,162.55098468579575,2
00-0028986,2018,QB,30.5386147559498,142.07910780416,2
00-0033936,2018,QB,24.7917479482809,113.09480016097183,2
00-0028986,2017,QB,29.539278698399,109.0375547726419,2
00-0033869,2020,QB,26.0347577294537,90.62795335223589,2
00-0031503,2018,QB,24.6521146909245,86.47990738339135,2
00-0026158,2019,QB,34.6235720103767,82.01534493252463,1
00-0032156,2017,QB,25.6843056325592,76.25579877831123,1
00-0030533,2016,QB,25.9827374963209,75.25113450089454,2
00-0030520,2014,QB,24.7205623660992,70.03003842722563,1
00-0032450,2016,RB,22.3577486190682,69.25830440516572,2
00-0032950,2020,QB,27.6720261196328,68.94204769942033,1
00-0031332,2014,RB,24.3290416640999,68.7908965433184,2
00-0032436,2019,QB,26.3578307562784,68.35840038689315,1
00-0036425,2020,RB,21.9607521030548,65.43516655505181,2
00-0029384,2014,RB,26.8780330876062,65.4195588456769,2
00-0026898,2015,QB,28.8055196205261,64.70435710151384,1
00-0029682,2015,QB,24.775320506239,64.10245592308898,2
00-0029567,2015,QB,26.6124561079283,63.18713661606768,1
00-0035040,2019,QB,24.0881058474849,62.23040444804919,1
00-0029638,2015,WR,25.7609670287549,62.02398062077155,2
00-0032128,2019,WR,26.8506540175363,60.95336188252441,2
00-0021206,2016,QB,37.164349712862,60.09097134750112,1
00-0032393,2016,RB,22.2865630368865,58.288852372367934,2
00-0034366,2019,WR,22.62880141276,57.22734171234545,2
00-0034869,2019,QB,22.2400186177676,55.78739246525659,1
00-0026625,2016,QB,30.8863289458374,55.29093618199616,1
00-0033936,2017,QB,23.7924118907301,54.66495027912804,1
00-0021678,2014,QB,34.3634708447128,54.4030581703521,1
00-0030520,2017,QB,27.7213084457586,53.46415275419323,1
00-0030287,2014,RB,25.5747893522796,48.86133696744427,1
00-0032434,2020,QB,27.9896233324435,47.99855338641335,1
00-0033119,2017,QB,24.7233002731062,47.80304092250488,1
00-0029567,2019,QB,30.6125382451385,46.81115096256825,1
00-0026158,2018,QB,33.6242359528259,46.27607090355304,1
00-0030542,2015,WR,25.9526205192441,41.88865213297449,1
00-0032268,2017,QB,23.8389563098489,41.633115941926064,1
00-0030404,2017,RB,26.8670814595782,38.872841852991726,1
00-0026898,2014,QB,27.8061835629753,37.83562363182884,1
00-0030465,2015,RB,26.3441412212434,37.53820583109927,1
00-0032972,2017,RB,25.2654058604899,36.30150098979088,1
00-0034869,2020,QB,23.2420925823254,36.006097656974646,1
00-0027218,2014,RB,28.0772363566671,35.8882568819449,1
00-0035289,2020,QB,24.296186780016,35.77310025641083,1
00-0033118,2020,RB,26.5987665728934,35.291005498560004,1
00-0034577,2019,QB,23.4830283989404,35.14517185037971,1
00-0027948,2017,QB,27.880107052164,34.69671746206534,1
00-0027854,2015,QB,27.8143972839963,34.542007303816206,1
00-0032156,2016,QB,24.6849695750084,33.93324578887308,1
00-0035537,2019,RB,21.9552762890408,33.76311460055797,1
00-0028011,2014,RB,25.5939547013286,33.68908160163687,1
00-0032782,2017,RB,23.6144479352759,33.12880148410402,1
00-0031589,2017,QB,24.2140495698064,33.12401625244723,1
00-0029000,2020,WR,31.3517731370254,33.116494471597875,1
00-0029682,2016,QB,25.7773944707968,33.04921264408388,1
00-0030821,2016,WR,24.8054374833159,32.996271998427574,1
00-0034808,2018,RB,21.908731869922,32.70926186170067,1
00-0034578,2020,RB,24.6603284119455,32.69104894436028,1
00-0034845,2019,RB,24.537122596631,32.57804325721724,1
00-0033925,2018,RB,22.3550107120612,32.539905191010924,1
00-0029665,2016,QB,26.5522221537745,31.93397113362287,1
00-0032268,2020,QB,26.8397023895083,31.872996676023973,1
00-0032112,2016,WR,24.3564207341698,31.738171728032626,1
00-0025430,2014,QB,30.3195821953907,31.562100661508342,1
00-0030113,2014,WR,25.5090795841119,31.4936197931058,1
00-0030542,2016,WR,26.9546944838019,31.415852636419334,1
00-0029738,2019,TE,33.361396880155,31.216686861879367,1
00-0031511,2017,WR,25.8786970300554,31.207203989998035,1
00-0025396,2018,WR,33.3887759502248,31.11615357147482,1
00-0032104,2016,RB,23.2201893262695,30.88811606641216,1
00-0034845,2020,RB,25.5391965611888,30.718967332418213,1
00-0029137,2018,WR,28.5454184548622,30.5228636941428,1
00-0036364,2020,WR,22.8834267644099,30.13992051350844,1
00-0021206,2017,QB,38.1636857704128,30.00968129253542,1
00-0029567,2020,QB,31.6146122096963,29.98155165346335,1
00-0029615,2017,RB,26.3550928492714,29.950640660869325,1
00-0029640,2014,WR,25.240764697427,29.768426211455484,1
00-0034366,2018,WR,21.6294653552092,29.753890815220863,1
00-0027691,2014,WR,26.6453109920122,29.64908828696041,1
00-0026625,2015,QB,29.8842549812796,29.37489769180352,1
00-0033891,2017,WR,22.4261962942429,29.323236357771112,1
00-0031390,2015,RB,24.9505465546863,29.319616978491347,1
00-0031972,2015,WR,23.1763828141577,29.17988503067698,1
00-0032170,2015,WR,22.9381849045497,29.15473827682522,1
00-0028091,2014,WR,25.8129872618876,29.12433324233847,1
00-0032187,2020,RB,28.7124307822885,28.94676660128902,1
