player_id,player_name,position,broad_market_percentile,shapley_intrinsic_raw,shapley_intrinsic_percentile,intrinsic_minus_market_pct_points,fsffl_cardinal_market_value,league_y1_points
sleeper:4984,Josh Allen,QB,1.0,659.4108298244762,0.9985074626865672,-0.14925373134327957,9069.0,389.0705
sleeper:3294,Dak Prescott,QB,0.86084142394822,523.9140534359329,0.9746268656716418,11.378544172342176,2424.0,313.043
sleeper:9221,Jahmyr Gibbs,RB,0.9969512195121951,493.7886342370721,0.9567164179104478,-4.0234801601747305,10000.0,328.023
sleeper:5967,Tony Pollard,RB,0.5304878048780488,219.9295643054995,0.7298507462686568,19.936294139060795,326.0,183.598
sleeper:9508,Tyjae Spears,RB,0.4077669902912621,127.19548866448547,0.5626865671641791,15.491957687291697,176.0,108.023
sleeper:9493,Puka Nacua,WR,0.9834437086092715,436.2352158103197,0.9298507462686567,-5.359296234061484,7089.0,276.308
sleeper:6786,CeeDee Lamb,WR,0.9449838187702265,321.30985263052804,0.8552238805970149,-8.975993817321159,4972.0,214.5355
sleeper:12501,Matthew Golden,WR,0.7184466019417476,141.9100461331028,0.5895522388059702,-12.88943631357774,927.0,118.4205
sleeper:11604,Brock Bowers,TE,0.9725609756097561,279.6269712806806,0.8014925373134328,-17.106843829632325,6348.0,188.323
sleeper:7553,Kyle Pitts,TE,0.7185430463576159,200.41572793836184,0.691044776119403,-2.749827023821294,1187.0,146.703
sleeper:5022,Dallas Goedert,TE,0.6084142394822006,143.59317011614837,0.5925373134328358,-1.587692604936486,409.0,125.0455
