player_id,canonical_name,resolved
00-0032268,Marcus Mariota,True
00-0032355,Chester Rogers,True
00-0032371,Rob Kelley,True
00-0032385,Sterling Shepard,True
00-0032393,C.J. Prosise,True
00-0032394,Nick Vannett,True
00-0032398,Chris Moore,True
00-0032417,Paul Perkins,True
00-0032434,Brandon Allen,True
00-0032436,Jeff Driskel,True
00-0032450,Dwayne Washington,True
00-0032464,Kalif Raymond,True
00-0032543,Alex Erickson,True
00-0032602,J.D. McKissic,True
00-0032688,Robbie Chosen,True
00-0032725,Stephen Anderson,True
00-0032775,Demarcus Robinson,True
00-0032778,Tajae Sharpe,True
00-0032780,Jordan Howard,True
00-0032782,Wendell Smallwood,True
00-0032791,Jakeem Grant,True
00-0032795,Cody Core,True
00-0032940,DeAndre Washington,True
00-0032950,Carson Wentz,True
00-0032951,Laquon Treadwell,True
00-0032964,Byron Marshall,True
00-0032966,Corey Coleman,True
00-0032972,Devontae Booker,True
00-0032975,Jonathan Williams,True
00-0032977,Rashard Higgins,True
00-0032980,Marcus Johnson,True
00-0033025,Jalen Richard,True
00-0033080,Seth DeValve,True
00-0033118,Kenyan Drake,True
00-0033119,Jacoby Brissett,True
00-0033217,Mo Alie-Cox,True
00-0033251,Zach Pascal,True
00-0033282,Curtis Samuel,True
00-0033292,Trent Taylor,True
00-0033307,Kendrick Bourne,True
00-0033308,Matt Breida,True
00-0033319,Nick Mullens,True
00-0033439,Pharaoh Brown,True
00-0033455,Anthony Firkser,True
00-0033460,John Ross,True
00-0033466,Isaiah McKenzie,True
00-0033471,Isaiah Ford,True
00-0033526,Samaje Perine,True
00-0033528,Jeremy Sprinkle,True
00-0033536,Mike Williams,True
00-0033564,Jake Butt,True
00-0033567,Brian Hill,True
00-0033572,Jamal Agnew,True
00-0033576,Eric Saubert,True
00-0033589,David Moore,True
00-0033591,Noah Brown,True
00-0033627,Jason Croom,True
00-0033658,Blake Jarwin,True
00-0033681,Keelan Cole,True
00-0033725,Corey Clement,True
00-0033733,Greg Ward,True
00-0033757,Robert Tonyan,True
00-0033839,Dede Westbrook,True
00-0033857,JuJu Smith-Schuster,True
00-0033869,Mitchell Trubisky,True
00-0033891,Zay Jones,True
00-0033893,Dalvin Cook,True
00-0033895,Gerald Everett,True
00-0033896,Adam Shaheen,True
00-0033925,D'Onta Foreman,True
00-0033936,C.J. Beathard,True
00-0033948,Jamaal Williams,True
00-0033949,Joshua Dobbs,True
00-0033950,Wayne Gallman,True
00-0033951,Marlon Mack,True
00-0033955,Jeremy McNichols,True
00-0034011,Dan Arnold,True
00-0034073,Ross Dwelley,True
00-0034104,Cam Sims,True
00-0034115,Jeff Wilson,True
00-0034132,Christian Blake,True
00-0034159,Will Dissly,True
00-0034208,Mike Boone,True
00-0034270,Tyler Conklin,True
00-0034273,Damion Ratley,True
00-0034286,Richie James,True
00-0034297,Byron Pringle,True
00-0034331,Jaylen Samuels,True
00-0034349,Kerryon Johnson,True
00-0034353,Anthony Miller,True
00-0034365,Ian Thomas,True
00-0034366,Keke Coutee,True
00-0034367,Nyheim Hines,True
00-0034378,Ito Smith,True
00-0034400,Jordan Wilkins,True
00-0034401,Mike White,True
00-0034407,Ray-Ray McCloud,True
00-0034414,Boston Scott,True
00-0034418,Cedrick Wilson Jr.,True
00-0034419,Braxton Berrios,True
00-0034440,Justin Jackson,True
00-0034457,Josh Adams,True
00-0034487,Trent Sherfield,True
00-0034510,Robert Foster,True
00-0034521,Allen Lazard,True
00-0034577,Kyle Allen,True
00-0034578,Reggie Bonnafon,True
00-0034681,Chase Edmonds,True
00-0034686,Auden Tate,True
00-0034750,Rashaad Penny,True
00-0034765,Tre'Quan Smith,True
00-0034766,Chris Herndon,True
00-0034771,Mason Rudolph,True
00-0034772,Antonio Callaway,True
00-0034777,DJ Chark,True
00-0034796,Lamar Jackson,True
00-0034798,Durham Smythe,True
00-0034799,Kalen Ballage,True
00-0034808,John Kelly,True
00-0034816,Ronald Jones,True
00-0034838,Royce Freeman,True
00-0034845,Sony Michel,True
00-0034860,Dante Pettis,True
00-0034869,Sam Darnold,True
00-0034928,Steven Sims,True
00-0034981,Foster Moreau,True
00-0034988,Kaden Smith,True
00-0035040,David Blough,True
00-0035140,Mecole Hardman,True
00-0035208,Olamide Zaccheaus,True
00-0035215,Deonte Harty,True
00-0035217,Benny Snell,True
00-0035249,Josh Oliver,True
00-0035264,Jarrett Stidham,True
00-0035289,Gardner Minshew,True
00-0035298,Scott Miller,True
00-0035308,Tommy Sweeney,True
00-0035311,Myles Gaskin,True
00-0035342,Patrick Laird,True
00-0035350,Preston Williams,True
00-0035414,Jalen Guyton,True
00-0035510,Jeff Smith,True
00-0035537,Ty Johnson,True
00-0035544,Tom Kennedy,True
00-0035567,Craig Reynolds,True
00-0035624,N'Keal Harry,True
00-0035628,D'Ernest Johnson,True
00-0035639,Parris Campbell,True
00-0035657,Damien Harris,True
00-0035704,Drew Lock,True
00-0035715,Derrick Gore,True
00-0035806,JaMycal Hasty,True
00-0035860,Tony Jones,True
00-0035993,Tyler Huntley,True
00-0036020,Salvon Ahmed,True
00-0036096,J.J. Taylor,True
00-0036145,Lawrence Cager,True
00-0036165,Isaiah Hodgins,True
00-0036182,Nick Westbrook-Ikhine,True
00-0036232,Harrison Bryant,True
00-0036233,Donovan Peoples-Jones,True
00-0036259,Jauan Jennings,True
00-0036265,AJ Dillon,True
00-0036268,Laviska Shenault Jr.,True
00-0036326,Chase Claypool,True
00-0036331,Devin Duvernay,True
00-0036332,Josiah Deguara,True
00-0036345,K.J. Osborn,True
00-0036360,Clyde Edwards-Helaire,True
00-0036364,Lynn Bowden,True
00-0036370,Joshua Kelley,True
00-0036387,Jalen Reagor,True
00-0036389,Jalen Hurts,True
00-0036412,KJ Hamler,True
00-0036414,Cam Akers,True
00-0036415,Van Jefferson,True
00-0036422,Adam Trautman,True
00-0036425,DeeJay Dallas,True
00-0036450,Ke'Shawn Vaughn,True
00-0036534,Shane Zylstra,True
00-0036556,Brevin Jordan,True
00-0036628,John Bates,True
00-0036754,Brock Wright,True
00-0036849,Tutu Atwell,True
00-0036862,Ben Skowronek,True
00-0036876,Kylen Granson,True
00-0036898,Davis Mills,True
00-0036906,Khalil Herbert,True
00-0036924,Michael Carter,True
00-0036955,Terrace Marshall Jr.,True
00-0036980,Elijah Moore,True
00-0036984,Trey Sermon,True
00-0037013,Zach Wilson,True
00-0037258,Dameon Pierce,True
00-0037277,Teagan Quitoriano,True
00-0037382,Brandon Johnson,True
00-0037557,Ronnie Rivers,True
00-0037741,Jahan Dotson,True
00-0037742,Treylon Burks,True
00-0037755,Jelani Woods,True
00-0037827,Tyrion Davis-Price,True
00-0038046,Charlie Kolar,True
00-0038102,Kenny Pickett,True
00-0038104,Tyquan Thornton,True
00-0038115,Daniel Bellinger,True
00-0038122,Desmond Ridder,True
