index,position,horizon,cohort,n,active_n,inactive_share,active_q10,active_q25,active_median,active_q75,active_q90,active_lt_040,active_040_060,active_ge_060,active_ge_080
0,QB,2,top10,50,46,0.08,0.4492215021263046,0.6913629426288049,0.8443058618716717,1.0142066608959084,1.0714077019053203,0.0869565217391304,0.108695652173913,0.8043478260869565,0.5652173913043478
1,QB,2,top5,23,22,0.0434782608695652,0.5905931880865769,0.7700753396248962,0.8662128659913891,0.979658021917681,1.0541708388035222,0.0454545454545454,0.0909090909090909,0.8636363636363636,0.6363636363636364
2,QB,3,top10,50,42,0.16,0.2727700690374057,0.591218203818771,0.7521501827678918,0.9624402969793028,1.0779667906803954,0.1904761904761904,0.0714285714285714,0.7380952380952381,0.4523809523809524
3,QB,3,top5,23,20,0.1304347826086956,0.5527625570493837,0.6501059594415086,0.7506372270827982,0.8727727776077121,1.0037094434184977,0.1,0.1,0.8,0.4
4,RB,2,top10,115,108,0.0608695652173913,0.1632748737124846,0.3750650382331899,0.6244668799614163,0.862147152390006,1.2253577037331365,0.287037037037037,0.1759259259259259,0.5370370370370371,0.324074074074074
5,RB,2,top5,58,54,0.0689655172413793,0.1775287106606584,0.3732571302034457,0.6218091380187953,0.7959443255098669,0.9768125132107378,0.3148148148148148,0.1481481481481481,0.5370370370370371,0.2407407407407407
6,RB,3,top10,115,96,0.1652173913043478,0.0817735415324839,0.2548734372588362,0.5493384184554573,0.8252724132933122,1.1271427579527256,0.34375,0.1666666666666666,0.4895833333333333,0.2916666666666667
7,RB,3,top5,58,50,0.1379310344827586,0.2178168397712685,0.3585277357018137,0.6267388433973022,0.7892138373877441,0.9927835032559768,0.3,0.16,0.54,0.24
8,WR,2,top10,148,140,0.054054054054054,0.3227471355237304,0.5476799929725121,0.7980406922422569,0.9695279367914538,1.1505277600599293,0.1714285714285714,0.1285714285714285,0.7,0.4928571428571429
9,WR,2,top5,73,70,0.0410958904109589,0.3239785340992528,0.613351392174661,0.8213063334983155,0.9740690553575344,1.1351088111410468,0.1571428571428571,0.0857142857142857,0.7571428571428571,0.5428571428571428
10,WR,3,top10,148,134,0.0945945945945946,0.2373884898248877,0.4200139980148493,0.7024047195430283,0.9235638566277627,1.1589256815777649,0.2388059701492537,0.1716417910447761,0.5895522388059702,0.3955223880597014
11,WR,3,top5,73,70,0.0410958904109589,0.262973330933377,0.4509104286628279,0.6969431724471788,0.8453832314527117,1.009241377632923,0.2,0.2,0.6,0.3571428571428571
12,TE,2,top10,83,76,0.0843373493975903,0.2564521260102526,0.451198105575737,0.7095560985124578,1.0056208149324055,1.1874359476851213,0.2105263157894736,0.2105263157894736,0.5789473684210527,0.4078947368421052
13,TE,2,top5,42,40,0.0476190476190476,0.2735835140092201,0.4787846877233551,0.6885525474857479,0.9032196501534032,1.0735750835282003,0.2,0.25,0.55,0.4
14,TE,3,top10,83,73,0.1204819277108433,0.2165025079799361,0.3545688545688545,0.6141304347826086,0.8409343715239154,1.2049267205046632,0.3013698630136986,0.1917808219178082,0.5068493150684932,0.3013698630136986
15,TE,3,top5,42,38,0.0952380952380952,0.2040833540750574,0.3452979981492066,0.5713566691634544,0.7842708330891369,1.0567510489899137,0.3157894736842105,0.2105263157894736,0.4736842105263157,0.2368421052631578
