index,origin,group,coordinate,n,mean_residual,intercept,slope_per_z,u_min,u_max
0,2014,lower,resid_log_ratio,87,1.450492985535808,1.2497096768344012,-1.3251900124789735,0.002906976744186,0.9628571428571427
1,2014,lower,resid_log1p,87,-0.1456428733719506,-0.176436803113046,-0.2032430305178712,0.002906976744186,0.9628571428571427
2,2014,upper,resid_log_ratio,233,-0.0322321850384043,-0.0342654749461338,0.0058654070243967,0.0201149425287356,0.9971428571428572
3,2014,upper,resid_log1p,233,-0.0311368847330665,-0.0329853389927885,0.0053322138461585,0.0201149425287356,0.9971428571428572
4,2015,lower,resid_log_ratio,98,1.4154316597050105,1.1563628783051436,-1.4734854411203342,0.002906976744186,0.9628571428571427
5,2015,lower,resid_log1p,98,-0.1915727667237295,-0.2160130720139029,-0.1390072313113734,0.002906976744186,0.9628571428571427
6,2015,upper,resid_log_ratio,270,-0.0381072023657242,-0.0427169820700444,0.0135040943302089,0.0201149425287356,0.9971428571428572
7,2015,upper,resid_log1p,270,-0.0367913267351654,-0.0411423924127844,0.0127462059179172,0.0201149425287356,0.9971428571428572
8,2016,lower,resid_log_ratio,115,1.6782351053822022,1.3374811218894918,-1.989073423094018,0.002906976744186,0.9628571428571427
9,2016,lower,resid_log1p,115,-0.1800452054620088,-0.2175965365518943,-0.2191973044807939,0.002906976744186,0.9628571428571427
10,2016,upper,resid_log_ratio,304,-0.0381584751328487,-0.0422246058585141,0.0127561021479657,0.0201149425287356,0.9971428571428572
11,2016,upper,resid_log1p,304,-0.0368383366285198,-0.040638475414246,0.0119216429076411,0.0201149425287356,0.9971428571428572
12,2017,lower,resid_log_ratio,131,0.9380451723747888,0.7730436255243774,-1.009981392191507,0.002906976744186,0.9628571428571427
13,2017,lower,resid_log1p,131,-0.2146138320407919,-0.248710944402147,-0.2087098555727617,0.002906976744186,0.9628571428571427
14,2017,upper,resid_log_ratio,342,-0.0388801824252136,-0.0398201663848091,0.0031306140712528,0.0029940119760479,0.9971428571428572
15,2017,upper,resid_log1p,342,-0.0374941044773176,-0.0382531403732186,0.0025279670275609,0.0029940119760479,0.9971428571428572
16,2018,lower,resid_log_ratio,144,0.9898974869707836,0.8016714418781119,-1.2723456806606086,0.002906976744186,0.9628571428571427
17,2018,lower,resid_log1p,144,-0.2043281819348404,-0.2345257306773192,-0.2041254210601651,0.002906976744186,0.9628571428571427
18,2018,upper,resid_log_ratio,381,-0.0412406417833981,-0.0439158457929934,0.0091843195318315,0.0029940119760479,0.9971428571428572
19,2018,upper,resid_log1p,381,-0.0397353165289428,-0.0421451286897373,0.0082731951720488,0.0029940119760479,0.9971428571428572
20,2019,lower,resid_log_ratio,161,0.8421755507612766,0.6833414138174253,-1.2617246078150453,0.002906976744186,0.9970760233918128
21,2019,lower,resid_log1p,161,-0.2177962210050164,-0.2465228220858176,-0.2281943930941383,0.002906976744186,0.9970760233918128
22,2019,upper,resid_log_ratio,416,-0.0413919066658212,-0.0435596527549854,0.0076817588750978,0.0029940119760479,0.9971428571428572
23,2019,upper,resid_log1p,416,-0.0398743129814976,-0.041790938273616,0.0067918717148479,0.0029940119760479,0.9971428571428572
24,2020,lower,resid_log_ratio,181,0.9536966991548376,0.731842551757214,-1.6700741371967136,0.002906976744186,0.9970760233918128
25,2020,lower,resid_log1p,181,-0.2056620399848267,-0.2402464761502504,-0.2603447943927128,0.002906976744186,0.9970760233918128
26,2020,upper,resid_log_ratio,449,-0.0416339624434134,-0.0422858474486632,0.0022553110672691,0.0029940119760479,0.9971428571428572
27,2020,upper,resid_log1p,449,-0.0401158186696758,-0.0405390163094869,0.0014641268214817,0.0029940119760479,0.9971428571428572
28,2021,lower,resid_log_ratio,198,0.648963230794639,0.5100444227443326,-0.995486955785452,0.002906976744186,0.9970760233918128
29,2021,lower,resid_log1p,198,-0.2049931952259787,-0.2390837748536785,-0.2442918119643739,0.002906976744186,0.9970760233918128
30,2021,upper,resid_log_ratio,489,-0.0435749204452174,-0.0426156927616681,-0.0032145891007668,0.0029940119760479,0.9971428571428572
31,2021,upper,resid_log1p,489,-0.0420129025553585,-0.0408858678465619,-0.003776948427591,0.0029940119760479,0.9971428571428572
32,2022,lower,resid_log_ratio,218,0.668977115337455,0.5495824052620497,-0.8889078222238452,0.002906976744186,0.9970760233918128
33,2022,lower,resid_log1p,218,-0.1912680596891937,-0.2220491744887235,-0.2291690620530145,0.002906976744186,0.9970760233918128
34,2022,upper,resid_log_ratio,539,-0.0437592978975766,-0.0449019610457345,0.0038430944723617,0.0029940119760479,0.9971428571428572
35,2022,upper,resid_log1p,539,-0.042188595138893,-0.0431069431687411,0.0030886602433125,0.0029940119760479,0.9971428571428572
