index,origin,support_u_min,support_u_max,corr_ratio_full_min,corr_ratio_full_max,corr_ratio_at_0,corr_ratio_at_05,corr_ratio_at_1,d1_ratio_support_min,d1_ratio_support_p01,d1_ratio_support_median,final_ratio_support_min,final_violations_support,n_support_rows,headroom_min_ratio_over_corr,headroom_p01
0,2014,0.0028901734104046,0.9971428571428572,1.1060296516109795,1.1551106242043216,1.1060296516109795,1.1473523454103762,1.1468953818522267,1.3977863690261074,1.4853570497575388,1.981392028561674,1.2177555640815876,0,596,1.2177555640815878,1.29240567809796
1,2015,0.0028901734104046,0.9971428571428572,1.1103441345681022,1.1527458534366517,1.1103441345681022,1.1485040202862782,1.1387939424937072,1.3786135493916132,1.488339936398397,1.998302913518528,1.209271678024588,0,704,1.209271678024588,1.3031838627861818
2,2016,0.0028901734104046,0.9971428571428572,1.102988196897016,1.1578681192502065,1.102988196897016,1.1499954768711895,1.1451234901815643,1.4560659325043666,1.5670270756580575,2.122785415983041,1.2700706023466088,0,813,1.2700706023466086,1.364579683043029
3,2017,0.0028901734104046,0.9971428571428572,1.1097037523963336,1.1387620603746045,1.124210527348471,1.1385059896248833,1.1097037523963336,1.5184464333541976,1.6327770422034993,2.1592333972465685,1.3665499059733115,0,919,1.3665499059733115,1.4573397320033996
4,2018,0.0028901734104046,0.9971428571428572,1.0990910152899414,1.1389936944772752,1.1232508191315225,1.1382663317130797,1.0990910152899414,1.5490740987853395,1.6715613391850976,2.194831307626006,1.407033524097065,0,1023,1.4070335240970648,1.5080821127418451
5,2019,0.0028901734104046,0.9971428571428572,1.0766061052361349,1.133281323625515,1.1246104588578945,1.1288066393386498,1.0766061052361349,1.5707235175703145,1.6995990160122698,2.2118382865316097,1.4560996853445003,0,1138,1.4560996853445007,1.557931486534239
6,2020,0.0028901734104046,0.9971428571428572,1.0613745231777674,1.130759773042893,1.1157070545452652,1.1269762077339376,1.0613745231777674,1.596407487811005,1.725480617280275,2.258128249758027,1.5003651080951734,0,1248,1.5003651080951732,1.5908827513280972
7,2021,0.0028901734104046,0.9971428571428572,1.05556069823898,1.1246367949644145,1.1217965260016651,1.113596424480763,1.05556069823898,1.6450918906800238,1.767882311101515,2.309331097629185,1.5556838658074192,0,1356,1.5556838658074197,1.6512839720119064
8,2022,0.0028901734104046,0.9971428571428572,1.0704609918330537,1.128248270118463,1.1253595717272222,1.1197740060208106,1.0704609918330537,1.7071078330023275,1.8058062735843607,2.3587732041842915,1.5863233536004406,0,1467,1.5863233536004409,1.6703058838274876
