index,regime,coordinate,group,n,mean_residual,linear_intercept_z0,linear_slope_per_z,source_percentile_mean,source_percentile_min,source_percentile_max
0,canonical_out_of_sample,resid_log_ratio,lower,167,-0.2306996804004781,-0.3698362418836284,-1.1019609626448714,0.4368686522482602,0.015527950310559,0.9970760233918128
1,canonical_out_of_sample,resid_log_ratio,upper,352,-0.0605107685324199,-0.083707515865352,0.0720034859403608,0.6610807242870534,0.0030674846625766,0.9971428571428572
2,canonical_out_of_sample,resid_log1p,lower,167,-0.4719375802226085,-0.5044950963960184,-0.2578553866887219,0.4368686522482602,0.015527950310559,0.9970760233918128
3,canonical_out_of_sample,resid_log1p,upper,352,-0.0581788798235495,-0.0805001038743046,0.0692858321489094,0.6610807242870534,0.0030674846625766,0.9971428571428572
4,challenger_fit_in_sample,resid_log_ratio,lower,1333,0.97964927402629,0.792687512919784,-1.2843685947052712,0.4272164696811943,0.002906976744186,0.9970760233918128
5,challenger_fit_in_sample,resid_log_ratio,upper,3423,-0.040670758713572,-0.0423076344232681,0.0054038536685449,0.6514544813846616,0.0029940119760479,0.9971428571428572
6,challenger_fit_in_sample,resid_log1p,lower,1333,-0.1982468420348284,-0.2307943750972251,-0.2235913325434499,0.4272164696811943,0.002906976744186,0.9970760233918128
7,challenger_fit_in_sample,resid_log1p,upper,3423,-0.0392150817813497,-0.0406247774947037,0.0046538593657511,0.6514544813846616,0.0029940119760479,0.9971428571428572
