index,boundary,min_D1_ratio,p01_D1_ratio,median_D1_ratio
0,depth<usable,1.448221962235542,1.637566220619424,2.439910890086164
1,usable<starter,1.4486516792950923,1.5695857873330012,2.0840056795445623
2,starter<premium,1.9137146757518149,1.990587539094353,2.4034517637203425
3,premium<elite,2.1033610257002944,2.1316681367295525,2.259094876153948
