index,origin,n_train_active,constrained_obj,unconstrained_obj,objective_improvement,c_a0,c_a1,c_d0,c_d1,u_a0,u_a1,u_d0,u_d1,u_d0_plus_d1,u_d0_minus_d1,uncon_success,constraint_plus_violated_unconstrained,constraint_minus_violated_unconstrained
0,2014,320,10.63389324015484,10.595943383629216,0.0379498565256213,0.6448002353617529,-0.5582790739597738,-2.775557561562905e-17,-6.938893903906963e-18,0.3769615201237142,-0.3614808773338194,0.4885303997437875,-0.1345644422558674,0.3539659574879201,0.6230948419996549,True,True,True
1,2015,368,10.364575092015327,10.32809318040003,0.036481911615299,0.6047330264577618,-0.5572273107212248,-2.775557561562892e-17,1.3877787807814457e-17,0.3507673472605314,-0.3603980444065997,0.4756375287513805,-0.1444494187699216,0.3311881099814588,0.6200869475213021,True,True,True
2,2016,419,12.491063294874674,12.449380488801046,0.0416828060736289,0.6793469865984505,-0.6161471459265824,-2.7755575615628467e-17,2.7755575615628756e-17,0.3876878203139239,-0.3949338907868837,0.5077126042136744,-0.1610359351702871,0.3466766690433872,0.6687485393839615,True,True,True
3,2017,473,7.930318355808839,7.904671943483395,0.025646412325444,0.441939532744431,-0.4433155940222488,1.3877787807814421e-17,-1.3877787807814488e-17,0.2615181002296817,-0.2972487008243117,0.3943933604752102,-0.1339453000150905,0.2604480604601197,0.5283386604903008,True,True,True
4,2018,525,8.19663604577178,8.169945019845153,0.0266910259266275,0.4523928945799747,-0.4862033802801494,1.3877787807813982e-17,6.9388939039071875e-18,0.2631716379011443,-0.3245396176244227,0.3942749442533174,-0.1594542591436278,0.2348206851096895,0.5537292033969452,True,True,True
5,2019,577,7.407713354087594,7.385042405749188,0.0226709483384057,0.3962394983758558,-0.4674792737254976,1.5077295640437706e-17,9.508709981393268e-18,0.2316025405318772,-0.3210105590643264,0.3535056778938175,-0.1709530282056357,0.1825526496881818,0.5244587060994532,True,True,True
6,2020,630,8.474137196034127,8.449385794180248,0.0247514018538783,0.4372647849834968,-0.5592590727232171,1.387778780781453e-17,-6.938893903907238e-18,0.2542722654115781,-0.3845544649873306,0.3551889473774701,-0.2075502191374957,0.1476387282399744,0.5627391665149659,True,True,True
7,2021,687,6.252938634437662,6.235994761071402,0.0169438733662596,0.319162574509178,-0.4286582494593208,-2.7755575615628803e-17,2.0816681711721688e-17,0.1900191181752746,-0.3104551777627816,0.2986079534420093,-0.1646699988290465,0.1339379546129628,0.4632779522710558,True,True,True
8,2022,757,6.2988195540294605,6.280815512493724,0.0180040415357369,0.3310383875920289,-0.4008491542707713,1.387778780781447e-17,6.938893903907231e-18,0.1963691154978962,-0.2855814309016701,0.3174153528106397,-0.1490856644763162,0.1683296883343235,0.4665010172869559,True,True,True
