index,origin,n_eval,u_min,u_max,corr_ratio_max,d1_ratio_min,final_ratio_min,violations
0,2014,104,0.0030864197530864,0.9969135802469136,1.1551065097383997,1.4486516792950923,1.262431162089638,0
1,2015,115,0.0087719298245614,0.9970760233918128,1.1527372286641269,1.550094121723829,1.3576129458056658,0
2,2016,110,0.0029411764705882,0.9970588235294118,1.1578540343545405,1.4691643535325016,1.2820569134707276,0
3,2017,108,0.0061728395061728,0.9969135802469136,1.1387594527161309,1.5425388723213322,1.389652560338317,0
4,2018,111,0.0030674846625766,0.9969325153374232,1.1389936957329134,1.5792716522092178,1.434300146461268,0
5,2019,112,0.015527950310559,0.9968944099378882,1.133280165154847,1.5440099706256434,1.4335351597850985,0
6,2020,113,0.0029585798816568,0.9911242603550297,1.1307585292895783,1.690071104347279,1.5882775678778185,0
7,2021,112,0.0028571428571428,0.9971428571428572,1.1246366172191875,1.632949615504971,1.5463918762772506,0
8,2022,101,0.0238095238095238,0.9970238095238096,1.1282471090396835,1.888617775897318,1.7187200956918525,0
