index,block,horizon,abs_mu_decline_diff,abs_mu_survivor_diff,abs_sigma_decline_diff,abs_sigma_survivor_diff,abs_beta0_diff,abs_beta1_diff,ess_decline,ess_survivor
0,early,2,2.342419829093334e-05,0.0001004754828715,2.058844863706e-06,2.260957075872483e-05,0.0001605656833196,4.382555070048255e-05,359.9026088041171,94.09739119588292
1,early,3,1.3261759386207217e-06,1.4535547410154948e-05,4.90120383311865e-06,9.93999326182049e-07,2.435078602935903e-05,7.225998524873489e-06,202.5453803202051,117.45461967979487
2,mid,2,1.4714943116556078e-05,7.75441161291468e-05,1.6886280052030855e-06,1.964805048237928e-05,0.0001129473239622,3.616510024428976e-05,527.4939705216868,122.50602947831322
3,mid,3,1.581848229237348e-06,3.9809970499460334e-05,1.7023870856669454e-05,1.34947610939129e-05,9.041296706097102e-05,1.3173754006778893e-05,284.84049686683863,188.15950313316137
4,validation,2,1.823352521690413e-05,0.0001149158337214,1.9403865392231268e-06,3.020784047835789e-05,0.0001568053076206,4.783377141492906e-05,652.6909510893357,133.30904891066425
5,validation,3,4.461058945359753e-06,2.258980467817473e-05,9.41878268045926e-07,6.594186529707002e-06,3.06989405947089e-05,6.291307625083675e-06,465.11528331748775,111.88471668251228
