index,source_season,player_id,horizon,source_points,source_percentile,target_points,observed_region,d1_crps,m1_crps,d1_mae,m1_mae,d1_expected,m1_expected,d1_brier4,m1_brier4,d1_logloss4,m1_logloss4,d1_survivor_p,m1_survivor_p,d1_downside_p,m1_downside_p,d1_pit,m1_pit,p_out,m1_pi_survivor,prob_norm_error,block
0,2014,00-0027966,2,165.9,0.910493827160494,201.2,3,54.057354571203945,63.76673787000985,91.93588057181928,15.38170534050451,109.2641194281807,216.5817053405045,0.4940225234438896,0.4622763421334555,0.8804730260121116,0.8431400052763398,0.4145867549722471,0.4303570761355234,0.2401447953101785,0.4001119807789287,1.0,0.7284940825242576,0.0796447322370568,0.0283163896491279,0.0,early
1,2014,00-0027994,2,114.8,0.8240740740740741,32.2,1,21.23464465985904,25.266329340481548,39.98627442023452,106.56112041144064,72.18627442023453,138.76112041144063,0.9085311292660438,0.7370856198017024,1.4028572178298138,1.3058784835493398,0.5436605634585921,0.3750213677317955,0.4563394365414078,0.481380467269229,0.2842955611513296,0.4008428657813556,0.2104460482288892,0.0429708716528822,0.0,early
2,2014,00-0028000,2,42.9,0.5030864197530864,0.0,0,11.807930028429285,12.45879835832487,33.08111161474822,69.47860189972454,33.08111161474822,69.47860189972454,0.616353573766235,0.5456641554260141,0.973137747911176,0.9731377479111762,0.4449037664302283,0.339283188405316,0.5550962335697718,0.5613954247691202,0.1889477176329818,0.1889477176329817,0.3778954352659635,0.1827677838678479,0.0,early
3,2014,00-0028009,2,310.1,0.9969135802469136,244.8,3,68.26518829348299,72.3031834899381,99.48654008335085,138.50493885512373,145.31345991664918,383.3049388551237,1.5357952148661975,0.4700925336179873,27.631021115928547,0.8541535874621108,0.0,0.4256433084898047,0.3095507240605071,0.4034764979802536,1.0,0.6112288100834042,0.0800619534691534,0.0185626333587372,0.0,early
4,2014,00-0028011,2,48.0,0.5401234567901234,0.7,1,21.40462837640121,15.657248746645289,49.91398347834284,78.46604053464674,50.613983478342846,79.16604053464674,1.1467491987005638,0.87083238410954,2.392222108647857,1.5674216450900278,0.44889217584005,0.3652529677389162,0.405187530760083,0.5223435207424003,0.3137612319399863,0.3141437495303097,0.3137612319399863,0.1567027334434104,0.0,early
5,2014,00-0028043,2,92.3,0.7685185185185185,0.0,0,31.367650587019547,31.035110963488407,64.28322755656345,117.08335448212496,64.28322755656345,117.08335448212496,0.9556531233352896,0.8345109762792393,1.5048459985161242,1.5048459985161249,0.5436469608520562,0.3746001267427863,0.4563530391479438,0.4855191791774111,0.1110257437287562,0.1110257437287562,0.2220514874575125,0.0559659764569807,0.0,early
6,2014,00-0028064,2,37.3,0.4845679012345679,143.0,3,87.65647879521906,83.1697008620962,105.88301205541148,72.01051692352787,37.11698794458852,70.98948307647213,0.367378015525696,0.5175818422352145,0.7007545571672132,0.9475789407716648,0.496210743122791,0.3876784807402069,0.3595869472993094,0.5018946336015779,0.9429404052462844,0.888111614600122,0.2983867022910637,0.1970118857698143,0.0,early
7,2014,00-0028074,2,32.9,0.4660493827160494,16.1,2,6.7344034946159255,10.15090381297292,7.435396685022248,47.7307975725783,23.53539668502225,63.8307975725783,1.3398307892771009,1.0830872634881477,27.631021115928547,2.241233325038219,0.397483630020786,0.384257707071218,0.602516369979214,0.5094150055552694,0.602516369979214,0.5464441694387978,0.3139972017518057,0.2120780241036187,0.0,early
8,2014,00-0028083,2,59.0,0.595679012345679,79.8,3,17.570301412516297,29.7700639454295,19.88417630164298,23.733759189755236,59.915823698357016,103.53375918975524,0.4067640898638905,0.4540215403212546,0.7995191755498479,0.8647141025696395,0.4495450644183215,0.4211719473937237,0.3295277675390626,0.4406675162627719,0.5504549355816785,0.7352905188126415,0.1829348136947078,0.1233737882584492,0.0,early
9,2014,00-0028121,2,55.9,0.5771604938271605,17.9,1,11.102186781185395,17.494636278335065,26.042816402185444,86.8307537004014,43.94281640218544,104.7307537004014,0.7252713015005703,0.7810575898106975,1.3155491859996813,1.3381435562447517,0.3040565202866183,0.4379965661736823,0.4271466585037005,0.4211519589510678,0.2605109884014674,0.3705646660191183,0.158819737124837,0.1337465449060277,0.0,early
