index,horizon,training_cutoff,training_source_max,mu_decline,mu_survivor,sigma_decline,sigma_survivor,beta0,beta1,n_active,ess_decline,ess_survivor,iterations
0,2,2020,2018,-0.4919886635980197,1.8952809109601496,1.2317055314228782,1.2611152514091275,-2.114180297943352,-6.676661843552696,927,769.6322801818561,157.36771981814388,67
1,3,2020,2017,-0.6136124866739929,1.788160088041627,1.2004822778019886,1.3021617118313067,-1.6362646043017406,-6.143670737753099,687,551.1690722294328,135.8309277705672,58
