index,block,horizon,n,d1_crps,m1_crps,crps_gain,d1_brier4,m1_brier4,brier4_gain,d1_logloss4,m1_logloss4,d1_mae,m1_mae,mae_gain,mean_expected_change,max_prob_norm_error,d1_pit_mean,m1_pit_mean,d1_pit_var,m1_pit_var
0,early,2,329,24.892538715980542,25.319514349445967,-0.42697563346542,0.666381223013099,0.6336454678040268,0.0327357552090722,2.968251225740544,1.1473724712763342,36.7211265797311,55.24940857513629,-18.528281995405187,33.52294136951253,2.220446049250313e-16,0.4643120573550358,0.477100157229912,0.0835418780612112,0.0747571872134095
1,early,3,329,21.593795260488942,22.42318293119357,-0.8293876707046225,0.6208391853982732,0.6010201912794769,0.0198189941187963,2.526706441744735,1.1021631421771183,34.52607719655221,98.49499078654851,-63.96891358999631,83.4053223920993,2.220446049250313e-16,0.4591145289846036,0.4630676840162735,0.0706046455541224,0.0703264555218463
2,mid,2,219,27.231293531613275,29.182445562627084,-1.9511520310138104,0.5960016605521646,0.5951588095802736,0.0008428509718911,1.9447405536916391,1.0685301184797775,38.60976053995663,61.219220736399805,-22.609460196443177,42.638739751254725,2.220446049250313e-16,0.4844833832122178,0.5042258124632211,0.0776488862478272,0.0672913759194032
3,mid,3,219,24.131002973672373,26.60109048980542,-2.470087516133044,0.6293099416216063,0.6081816151744126,0.0211283264471937,2.5813946180980927,1.1068623612302069,36.76612410917179,121.20143991110446,-84.43531580193266,112.31305960042972,2.220446049250313e-16,0.4986201123879025,0.5107965029881245,0.0646077328258304,0.0642307516186753
4,validation,2,225,25.440655455172905,28.14295819671674,-2.702302741543833,0.6923776135041957,0.6781263348155283,0.0142512786886673,3.7640005093277455,1.2250326524552029,36.79032011504225,57.31973613624372,-20.52941602120146,42.24478590021979,1.1102230246251563e-16,0.5157887943413304,0.5385407804676957,0.0789785647588406,0.0617794183105129
5,validation,3,225,23.75478466795044,24.69016911374854,-0.9353844457980872,0.6677084428898972,0.6392780348213873,0.0284304080685099,3.745560675147632,1.1922399097156435,37.00114711305327,52.51373137865901,-15.512584265605735,38.82750262427136,2.220446049250313e-16,0.5091324993526359,0.5206578607693111,0.0700673958811381,0.0617362044251127
