index,horizon,subset,metric,mean,ci_low,ci_high,nboot,n
0,2,full,crps_gain,-1.5210807180459385,-2.9714699547013583,-0.2236101521844923,2000,773
1,2,full,brier4_gain,0.0183197742969975,-0.0081093070254458,0.0462087817348672,2000,773
2,2,full,mae_gain,-20.26700538716648,-24.892092452031584,-15.983435728283826,2000,773
3,2,full,survivor_brier_gain,0.0016629486477157,-0.0153317723973527,0.0198207367066134,2000,773
4,2,full,downside_brier_gain,0.0037103443925281,-0.0093298393764044,0.0160172139498257,2000,773
5,2,sub_p90,crps_gain,-0.3692611222931944,-1.2452036188684004,0.5324874708842943,2000,694
6,2,sub_p90,brier4_gain,0.0172613977086947,-0.0043479146104024,0.0404836857443977,2000,694
7,2,sub_p90,mae_gain,-13.65123518844382,-16.86531660259321,-10.451201661621914,2000,694
8,2,sub_p90,survivor_brier_gain,0.0007305365496313,-0.0137571490511268,0.0169955291460855,2000,694
9,2,sub_p90,downside_brier_gain,0.0065470131656927,-0.0049927455772956,0.0183641674170289,2000,694
10,2,p90plus,crps_gain,-11.639597166810544,-18.12849637424478,-4.160221104355879,2000,79
11,2,p90plus,brier4_gain,0.0276174116676576,-0.1188111620954727,0.2030108150219715,2000,79
12,2,p90plus,mae_gain,-78.38529042404659,-102.63216408460411,-51.41841162510612,2000,79
13,2,p90plus,survivor_brier_gain,0.0098540118891155,-0.065185494773867,0.1107806385912563,2000,79
14,2,p90plus,downside_brier_gain,-0.0212092521717277,-0.0704247194403061,0.0403362704799164,2000,79
15,2,p95plus,crps_gain,-18.437999837158863,-28.503705982754465,-9.04293304894504,2000,41
16,2,p95plus,brier4_gain,0.0573963236133493,-0.1985079591766947,0.3786113346321548,2000,41
17,2,p95plus,mae_gain,-99.72214936603054,-143.12467603440356,-58.37553619417277,2000,41
18,2,p95plus,survivor_brier_gain,0.0160606076272139,-0.1150544912742279,0.2204828579484842,2000,41
19,2,p95plus,downside_brier_gain,-0.0109622761488462,-0.0667110671766897,0.0525544085154149,2000,41
20,3,full,crps_gain,-1.325070129365494,-2.3588961288319683,-0.3090428864013457,2000,773
21,3,full,brier4_gain,0.022696499834973,0.0045446681447321,0.0429474322875882,2000,773
22,3,full,mae_gain,-55.662921334402746,-76.76321212229563,-33.2965903606756,2000,773
23,3,full,survivor_brier_gain,0.0034735925414972,-0.0084504557891884,0.0163480150329302,2000,773
24,3,full,downside_brier_gain,0.0081333781978069,-0.0017670968292359,0.0178722431093094,2000,773
25,3,sub_p90,crps_gain,-0.7741193428732761,-1.5228416618674847,-0.0715869039102005,2000,694
26,3,sub_p90,brier4_gain,0.0149562391651903,-6.68743107192868e-05,0.0322520250301798,2000,694
27,3,sub_p90,mae_gain,-44.97003087823498,-61.407125823583385,-27.942211805098975,2000,694
28,3,sub_p90,survivor_brier_gain,0.0013150338023981,-0.0085464809165066,0.0120735651054913,2000,694
29,3,sub_p90,downside_brier_gain,0.0067091086352979,-0.0025993569219793,0.0159494350743952,2000,694
30,3,p90plus,crps_gain,-6.1650681777908005,-11.381640719455158,-0.152068142703778,2000,79
31,3,p90plus,brier4_gain,0.0906932201492672,-0.0227560405623,0.2180209501460993,2000,79
32,3,p90plus,mae_gain,-149.5979336961804,-231.82073176168737,-56.97384805404989,2000,79
33,3,p90plus,survivor_brier_gain,0.0224361212115576,-0.0385986727189416,0.1029288083424197,2000,79
34,3,p90plus,downside_brier_gain,0.0206453158735191,-0.0303986479809026,0.071852863226465,2000,79
35,3,p95plus,crps_gain,-7.866761086617823,-15.952159198282748,2.2371362928358383,2000,41
36,3,p95plus,brier4_gain,0.1379750511874914,-0.0709151274624524,0.3924312840477128,2000,41
37,3,p95plus,mae_gain,-156.5921737698866,-255.55764768188325,-35.37124125823745,2000,41
38,3,p95plus,survivor_brier_gain,0.0396635767518175,-0.0700683189499519,0.2081645669749898,2000,41
39,3,p95plus,downside_brier_gain,0.0278525765860129,-0.0289537040342601,0.0807348602139664,2000,41
