index,block,horizon,training_cutoff,training_source_max,mu_decline,mu_survivor,sigma_decline,sigma_survivor,beta0,beta1,n_active,ess_decline,ess_survivor,iterations,penalized_loglik,source_percentile_min,source_percentile_max
0,early,2,2013,2011,-0.4930228743418578,1.5595818625952944,1.163080458583348,1.116599790378049,-1.4822683738131162,-5.002075455192327,454,359.9026088041171,94.09739119588292,68,-769.6483215815585,0.002906976744186,0.9971428571428572
1,early,3,2013,2010,-0.4659820991642607,0.5503692342302735,0.879388483315388,1.935043449182916,-0.2390711142898037,-4.0504860878192215,320,202.5453803202051,117.45461967979487,64,-541.4767053353277,0.002906976744186,0.9971428571428572
2,mid,2,2016,2014,-0.4888782812359415,1.822731413860411,1.2054957411879026,1.221365013449154,-1.841835471403116,-5.9823808944362415,650,527.4939705216868,122.50602947831322,63,-1125.6111389591742,0.002906976744186,0.9971428571428572
3,mid,3,2016,2013,-0.4666100417254422,0.4567434462032667,0.8950679426828457,2.0686553500524014,-0.139854922906265,-4.404940962346006,473,284.84049686683863,188.15950313316137,38,-828.754960514369,0.002906976744186,0.9971428571428572
4,validation,2,2018,2016,-0.482641287772424,1.9147750487797464,1.2321335461193317,1.270467132196721,-2.080074275992257,-6.370065280252099,786,652.6909510893357,133.30904891066425,67,-1371.7463245931965,0.002906976744186,0.9971428571428572
5,validation,3,2018,2015,-0.5963720912353444,1.8682030908929963,1.2050665591310632,1.2696428727106093,-1.6391184890010864,-5.873310740261696,577,465.11528331748775,111.88471668251228,139,-1009.992647944967,0.002906976744186,0.9971428571428572
