index,horizon,subset,candidate,n,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,downside_obs,downside_pred,combined_tail_abs_error
0,2,full,D1,213,0.3755868544600939,0.1877934272300469,0.0704225352112676,0.3661971830985915,0.3932956026901957,0.1188556386136506,0.1035748081546445,0.3842739505415091,0.5633802816901408,0.5121512413038464,0.0693058078292119
1,2,full,M1,213,0.3755868544600939,0.1877934272300469,0.0704225352112676,0.3661971830985915,0.3932956026901957,0.1859738152916994,0.092695378458391,0.3280352035597138,0.5633802816901408,0.5792694179818951,0.0540511158306321
2,2,sub_p90,D1,199,0.4020100502512563,0.185929648241206,0.0603015075376884,0.3517587939698492,0.4162928523163964,0.1164522723156984,0.0900007609832361,0.3772541143846689,0.5879396984924623,0.5327451246320949,0.080689894275187
3,2,sub_p90,M1,199,0.4020100502512563,0.185929648241206,0.0603015075376884,0.3517587939698492,0.4162928523163964,0.1752132517478992,0.0875563815825494,0.3209375143531549,0.5879396984924623,0.5915061040642956,0.0343876851885276
4,2,p90plus,D1,14,0.0,0.2142857142857142,0.2142857142857142,0.5714285714285714,0.0664061258606281,0.1530177738488267,0.2965201929482371,0.484055907342308,0.2142857142857142,0.2194238997094549,0.0925108495100039
5,2,p90plus,M1,14,0.0,0.2142857142857142,0.2142857142857142,0.5714285714285714,0.0664061258606281,0.3389275399500031,0.1657425483364251,0.4289237858529436,0.2142857142857142,0.4053336658106312,0.3335527371005448
6,2,p95plus,D1,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0659910136334843,0.1635579054403517,0.3744787544827719,0.395972326443392,0.3333333333333333,0.2295489190738361,0.1664234073695559
7,2,p95plus,M1,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0659910136334843,0.3394610287778627,0.1659838907571789,0.4285640668314741,0.3333333333333333,0.4054520424113471,0.1673494425761545
8,3,full,D1,213,0.5070422535211268,0.1549295774647887,0.0798122065727699,0.2582159624413145,0.5059785087075797,0.1036060835048254,0.0883006947641342,0.3021147130234606,0.6619718309859155,0.6095845922124051,0.0962859893556564
9,3,full,M1,213,0.5070422535211268,0.1549295774647887,0.0798122065727699,0.2582159624413145,0.5059785087075797,0.1614112161442638,0.0763855949252552,0.2562246802229013,0.6619718309859155,0.6673897248518434,0.0074091760843411
10,3,sub_p90,D1,199,0.5376884422110553,0.1507537688442211,0.0703517587939698,0.2412060301507537,0.531835296847823,0.0930718325037308,0.0764500604457597,0.2986428102026863,0.6884422110552764,0.6249071293515539,0.120971861755655
11,3,sub_p90,M1,199,0.5376884422110553,0.1507537688442211,0.0703517587939698,0.2412060301507537,0.531835296847823,0.1487870567564745,0.0707086600580703,0.2486689863376321,0.6884422110552764,0.6806223536042976,0.0152828136378571
12,3,p90plus,D1,14,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.5,0.138442734428406,0.2533429370203842,0.2567489968610275,0.3514653316901822,0.2857142857142857,0.3917856714487902,0.2546060540443223
13,3,p90plus,M1,14,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.5,0.138442734428406,0.3408546245849833,0.1570791691088106,0.3636234718778,0.2857142857142857,0.4792973590133892,0.3299596014213035
14,3,p95plus,D1,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.1394922118270389,0.2838441434268434,0.3015442674004311,0.2751193773456863,0.3333333333333333,0.4233363552538824,0.148216977908196
15,3,p95plus,M1,6,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.1394922118270389,0.3411585110737163,0.1571769374604731,0.3621723396387715,0.3333333333333333,0.4806507229007553,0.1761563958728602
