index,horizon,subset,candidate,n,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,downside_obs,downside_pred,survivor_abs_error,downside_abs_error,combined_tail_abs_error
0,2,full,D1,773,0.3454075032341526,0.1578266494178525,0.1086675291073738,0.3880983182406209,0.367152792931996,0.1075274888423679,0.1027613033063603,0.4225584149192756,0.5032341526520052,0.474680281774364,0.0344600966786546,0.0285538708776412,0.0630139675562958
1,2,full,M1,773,0.3454075032341526,0.1578266494178525,0.1086675291073738,0.3880983182406209,0.3608949039682413,0.1902824442550838,0.0993579125882793,0.3494647391883956,0.5032341526520052,0.5511773482233251,0.0386335790522253,0.0479431955713198,0.0865767746235452
2,2,sub_p90,D1,694,0.3832853025936599,0.1512968299711815,0.0907780979827089,0.3746397694524496,0.4012524029451602,0.100525048775939,0.0846596869976906,0.4135628612812101,0.5345821325648414,0.5017774517210992,0.0389230918287605,0.0328046808437422,0.0717277726725027
3,2,sub_p90,M1,694,0.3832853025936599,0.1512968299711815,0.0907780979827089,0.3746397694524496,0.3942821606267417,0.1741797488247596,0.0914617922705172,0.3400762982779814,0.5345821325648414,0.5684619094515013,0.0345634711744681,0.0338797768866598,0.068443248061128
4,2,p90plus,D1,79,0.0126582278481012,0.2151898734177215,0.2658227848101265,0.5063291139240507,0.0675941935758452,0.1690425952487178,0.261780565562269,0.5015826456131679,0.2278481012658228,0.236636788824563,0.0047464683108827,0.0087886875587402,0.0135351558696229
5,2,p90plus,M1,79,0.0126582278481012,0.2151898734177215,0.2658227848101265,0.5063291139240507,0.0675941935758451,0.3317415661366659,0.1687238303164682,0.4319404099710206,0.2278481012658228,0.399335759712511,0.07438870395303,0.1714876584466882,0.2458763623997183
6,2,p95plus,D1,41,0.024390243902439,0.2195121951219512,0.2439024390243902,0.5121951219512195,0.0663608800714904,0.2273852120298558,0.2590706885720615,0.4471832193265921,0.2439024390243902,0.2937460921013463,0.0650119026246273,0.049843653076956,0.1148555557015834
7,2,p95plus,M1,41,0.024390243902439,0.2195121951219512,0.2439024390243902,0.5121951219512195,0.0663608800714904,0.3327877775159878,0.1691815665615951,0.4316697758509266,0.2439024390243902,0.3991486575874782,0.0805253461002929,0.155246218563088,0.2357715646633809
8,3,full,D1,773,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049492,0.1032441085381106,0.0918016181799887,0.3297293901769513,0.6093143596377749,0.5784689916430599,0.0412429736180897,0.030845367994715,0.0720883416128048
9,3,full,M1,773,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4716605026393655,0.155378598213035,0.0941490681044183,0.2788118310431812,0.6093143596377749,0.6270391008524006,0.0096745855156804,0.0177247412146256,0.027399326730306
10,3,sub_p90,D1,694,0.5072046109510087,0.1340057636887608,0.085014409221902,0.2737752161383285,0.5135356145681804,0.0880043845821867,0.0736979620539586,0.3247620387956741,0.6412103746397695,0.6015399991503672,0.0509868226573456,0.0396703754894023,0.090657198146748
11,3,sub_p90,M1,694,0.5072046109510087,0.1340057636887608,0.085014409221902,0.2737752161383285,0.5096188845803035,0.1408206370405565,0.0840785060165422,0.2654819723625978,0.6412103746397695,0.6504395216208599,0.0082932437757306,0.0092291469810904,0.0175223907568211
12,3,p90plus,D1,79,0.0886075949367088,0.240506329113924,0.2531645569620253,0.4177215189873418,0.1386723813899811,0.2371221898724292,0.2508387998441015,0.3733666288934881,0.3291139240506329,0.3757945712624103,0.0443548900938536,0.0466806472117774,0.0910355373056311
13,3,p90plus,M1,79,0.0886075949367088,0.240506329113924,0.2531645569620253,0.4177215189873418,0.1382033245759363,0.2832675229434156,0.1826170439143677,0.3959121085662804,0.3291139240506329,0.4214708475193519,0.0218094104210613,0.092356923468719,0.1141663338897804
14,3,p95plus,D1,41,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.3229100486108593,0.2196781893865408,0.3219309074228393,0.2195121951219512,0.4583909031906198,0.1658739706259411,0.2388787080686685,0.4047526786946097
15,3,p95plus,M1,41,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1350442700194624,0.2857906398087738,0.1837937941745523,0.3953712959972112,0.2195121951219512,0.4208349098282363,0.0924335820515692,0.201322714706285,0.2937562967578542
